gene,pathway,hormone,line,sex,direction,excluded,contrast,note
BEST4,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
DBX2,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
DRAM1,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
EMILIN3,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
GPR45,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
HOXC10,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
HOXC8,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
INHA,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
NKX1-2,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
SLC25A10,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
TBC1D3H,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
TP53I3,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
VSX2,androgen,Testosterone,CTL04,female,down,FALSE,down(agonist_vs_inhibitor),
BAG3,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_inhibitor),
CALCA,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_inhibitor),
CRYAB,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_inhibitor),
DNAJB1,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_inhibitor),
H3C6,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_dmso(line-comp: UP BOTH)),
HSPA1A,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_inhibitor),
HSPA1B,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_inhibitor),
HSPA6,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_inhibitor),
HSPB8,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_inhibitor),
HSPE1-MOB4,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_inhibitor),
SNX31,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_dmso(line-comp)),
SPR,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_inhibitor),
TBC1D3,androgen,Testosterone,CTL04,female,up,FALSE,up(agonist_vs_inhibitor),
