"gene","estimate","std_error","t_value","p_value","r_squared","n_samples","adj_p_value"
"FAM133B",0.00291887158317868,8.6200008148504e-05,33.8616160934706,2.06265178077126e-129,0.704474485665497,483,7.55013057833511e-125
"CSNK1A1",0.0030739837519858,9.11866975269939e-05,33.7108792768355,9.3473983485137e-129,0.702613424866522,483,1.71076084574498e-124
"SRSF11",0.0028907567486677,8.63202414586296e-05,33.4887472488494,8.70898350749627e-128,0.699843280556914,483,1.06261210769465e-123
"GPATCH2L",0.0029489624226994,8.87073183329872e-05,33.2437331904191,1.02822297045522e-126,0.696749188453637,483,9.40926840263571e-123
"JAK1",0.00300699155055203,9.05968398241846e-05,33.1909099300539,1.7524234289234e-126,0.696076768483017,483,1.06909511987187e-122
"U2SURP",0.00281563879010369,8.48305726275339e-05,33.1913212759548,1.74516038957431e-126,0.696082012139665,483,1.06909511987187e-122
"RSF1",0.00288136236090471,8.70537748867634e-05,33.0986492504512,4.45055005733786e-126,0.694897735285234,483,2.3272562042685e-122
"MFF",0.00287948328443827,8.73456917191544e-05,32.9665176125317,1.69388376692412e-125,0.693198957627188,483,6.90896150381523e-122
"NKTR",0.00300065064648139,9.10219398454145e-05,32.9662348613696,1.69873930538567e-125,0.693195309421178,483,6.90896150381523e-122
"RAB2A",0.00280195456937393,8.52817128316316e-05,32.8552801807079,5.22713518408959e-125,0.69175942253047,483,1.91334056278415e-121
"PRRC2C",0.00272727949003742,8.30960749701888e-05,32.8207979861365,7.41472718362114e-125,0.691311433493302,483,2.21356311085002e-121
"HNRNPD",0.00282026967833571,8.59420190153101e-05,32.8159579056816,7.78774730545275e-125,0.691248485157442,483,2.21356311085002e-121
"MRPS31",0.0027756010319937,8.45832286753452e-05,32.8150281735787,7.8615234512759e-125,0.691236391521661,483,2.21356311085002e-121
"DHX36",0.00287235339129406,8.75712984764085e-05,32.800169019623,9.14024082887282e-125,0.691043026661139,483,2.38978125214329e-121
"TNRC18",0.00293086885694919,8.96885405579001e-05,32.678298015755,3.1491887995134e-124,0.689451251952213,483,7.68486045449256e-121
"NRDC",0.00286470398235189,8.77686809770443e-05,32.6392507038034,4.68264937956186e-124,0.688939038197225,483,1.07127311180927e-120
"RBM5",0.00292924562616967,8.9763205185566e-05,32.6330328792748,4.98809240637546e-124,0.688857374842925,483,1.07402432025275e-120
"GIGYF2",0.00284147693055569,8.709110809981e-05,32.6264872792667,5.33121438406856e-124,0.688771377050049,483,1.08413206285803e-120
"TUT4",0.00289757496304982,8.89192173477552e-05,32.5865999440555,7.99710091596073e-124,0.688246671888146,483,1.38707045670786e-120
"KMT2A",0.0029874838953573,9.16769842053227e-05,32.5870655678031,7.95932671384611e-124,0.688252803516841,483,1.38707045670786e-120
"TNRC6B",0.00298345678859355,9.15418028042885e-05,32.5911954669717,7.63200665115319e-124,0.688307181925417,483,1.38707045670786e-120
"ATRX",0.00288046066469516,8.84051174709672e-05,32.5825104597719,8.33667086864084e-124,0.688192812367932,483,1.38707045670786e-120
"N4BP1",0.00293148253436483,9.00698125282147e-05,32.5467817915857,1.19898824132088e-123,0.687721752652245,483,1.90816372110042e-120
"KIAA0319L",0.00277405154718931,8.53286051061615e-05,32.5102179244343,1.73937876588543e-123,0.68723874305543,483,2.44877770563347e-120
"SEC63",0.0029621056792704,9.11108414388837e-05,32.5110122186431,1.72537449723777e-123,0.687249245800326,483,2.44877770563347e-120
"PPP2R5E",0.00300800644883427,9.25242042326307e-05,32.510481703483,1.734715479836e-123,0.687242230986678,483,2.44877770563347e-120
"AGO4",0.00305263766656323,9.39729777908035e-05,32.4842070383127,2.26662885342229e-123,0.686894559798109,483,2.79576020147069e-120
"MRPS25",0.00292482564752889,9.00319982422652e-05,32.4865126247508,2.21404638857227e-123,0.686925087414194,483,2.79576020147069e-120
"TAF1D",0.00289613619097103,8.91581318332608e-05,32.4831412617218,2.29135630106329e-123,0.68688044687278,483,2.79576020147069e-120
"RBM39",0.00278031711046048,8.55806821642671e-05,32.4876717519478,2.1880737989985e-123,0.686940433658347,483,2.79576020147069e-120
"RC3H1",0.00301235070430879,9.27564064503924e-05,32.4759315241459,2.46587586276907e-123,0.686784954870071,483,2.86722451327106e-120
"BPTF",0.00289487027590077,8.91433598772736e-05,32.474323156388,2.50658901826778e-123,0.68676364720243,483,2.86722451327106e-120
"ZKSCAN1",0.00274865262272505,8.46807018101303e-05,32.4590203431241,2.92924792204059e-123,0.686560823173765,483,3.15621542465137e-120
"CFDP1",0.00286696930119002,8.83260331974235e-05,32.458938745521,2.93168299743598e-123,0.686559741228629,483,3.15621542465137e-120
"PAK2",0.00301523603122179,9.29107918833804e-05,32.4530226263322,3.11374361096306e-123,0.686481283664593,483,3.18703933029242e-120
"CSNK2A1",0.00288349949526719,8.88532743259614e-05,32.4523718134345,3.1344502210285e-123,0.686472651280206,483,3.18703933029242e-120
"ATG12",0.00280571696747392,8.64706870540128e-05,32.4470298902721,3.3097056777358e-123,0.686401784570993,483,3.27428288183355e-120
"SMARCE1",0.00285499782573702,8.80459801604356e-05,32.4262143545305,4.09141007848736e-123,0.686125448345157,483,3.94110459244609e-120
"KMT2E",0.00287753805895509,8.87624094088007e-05,32.4184311593257,4.42904346762122e-123,0.686022043180321,483,4.06363410083633e-120
"NCOR1",0.00282420582708009,8.71179787111583e-05,32.4181743982355,4.44064484847156e-123,0.686018631192738,483,4.06363410083633e-120
"RBM6",0.00299382229996195,9.24401600149641e-05,32.386597983791,6.12616595860995e-123,0.68559866630182,483,5.46932143290143e-120
"RSBN1L",0.0029735702517215,9.18235214401833e-05,32.3835353413077,6.32041089560906e-123,0.685557895327384,483,5.508388581497e-120
"TRA2A",0.00280454825262007,8.66439517321597e-05,32.3686558213515,7.3555506117826e-123,0.685359718290889,483,6.18762412578074e-120
"ENSG00000288899",0.00283367571457735,8.75467704625066e-05,32.3675642129017,7.43786093143789e-123,0.685345173152084,483,6.18762412578074e-120
"SLC25A46",0.00287213278659298,8.87429078580412e-05,32.3646458733066,7.66246818311182e-123,0.685306283536005,483,6.23282189721389e-120
"ACIN1",0.0028287371842946,8.74347710787015e-05,32.3525429230941,8.6687765408716e-123,0.685144935170742,483,6.89808470656661e-120
"RAF1",0.00289697055343716,8.95614848392525e-05,32.3461648568771,9.25127187157924e-123,0.685059864815285,483,7.2049692678146e-120
"DHX9",0.00284181100833321,8.79462333300042e-05,32.3130496978736,1.29681121195296e-122,0.684617706792747,483,9.88926616715131e-120
"RERE",0.00291069363024176,9.00869796519411e-05,32.3098148199382,1.34031794331727e-122,0.684574472020889,483,9.98554595972188e-120
"CRBN",0.00295279675213383,9.13949419122238e-05,32.3080981327141,1.36399655225138e-122,0.684551525106448,483,9.98554595972188e-120
"PAFAH1B1",0.00297454157271953,9.20905449572176e-05,32.3001842816916,1.4786859695474e-122,0.684445713451781,483,1.06129061233947e-119
"GNB1",0.0030103785419806,9.32333859785599e-05,32.2886325577929,1.66365056733289e-122,0.684291180944656,483,1.15117002543905e-119
"IMMT",0.00276888513154761,8.57546718879742e-05,32.2884464553109,1.66681268026089e-122,0.68428869058347,483,1.15117002543905e-119
"PRPF40A",0.00285550496891925,8.84458684539035e-05,32.2853403876914,1.72048581016207e-122,0.68424712254398,483,1.1662344925032e-119
"HNRNPC",0.00281023842747272,8.70546948548688e-05,32.2812966280308,1.79296346260301e-122,0.684192995102201,483,1.19326608336583e-119
"CHCHD3",0.00300142064508166,9.29920188732173e-05,32.2761101592354,1.89041448298897e-122,0.684123554773081,483,1.23565592384514e-119
"AFF4",0.00290562704587915,9.00526654018653e-05,32.2658639021135,2.09879885953339e-122,0.683986313242579,483,1.34779707814667e-119
"SBNO1",0.00292069379191761,9.05553203492771e-05,32.2531440521918,2.38976700488583e-122,0.683815834355574,483,1.50819019735933e-119
"THRAP3",0.0029077969112109,9.01920288375847e-05,32.2400654324694,2.73111024034905e-122,0.683640425334125,483,1.63884523340552e-119
"FNBP4",0.0027735983777202,8.6029361293112e-05,32.2401368094578,2.72912079941238e-122,0.68364138296951,483,1.63884523340552e-119
"KPNA3",0.0030278990309298,9.39134004780538e-05,32.2413948969655,2.69429219429306e-122,0.68365826160305,483,1.63884523340552e-119
"ZNF131",0.00286607630029696,8.89141327244564e-05,32.2342040851806,2.89953367688216e-122,0.683561773522003,483,1.71184726949346e-119
