"gene","estimate","std_error","t_value","p_value","r_squared","n_samples","adj_p_value"
"XIST",-6.62663102082217,0.0697413588096987,-95.0172341623581,7.64375988073113e-314,0.949417804119632,483,2.79792186674282e-309
"TSIX",-4.53781140459625,0.0876167586165017,-51.7915918855003,7.34763544074378e-199,0.847946919402913,483,1.34476423836493e-194
"UTY",4.22939530895184,0.0893714863526457,47.3237660193243,4.20801723352019e-183,0.823196789308282,483,5.13434209385911e-179
"NLGN4Y",4.26841183668785,0.097802963921801,43.6429701670462,2.22949152288858e-169,0.798382773737144,483,2.04020769259534e-165
"ENSG00000290853",3.93676095941895,0.0954985621075297,41.2232485237445,5.68260703165827e-160,0.779393845903947,483,4.16012295573639e-156
"USP9Y",4.20549737543077,0.103511666252988,40.6282453723847,1.30441565670667e-157,0.77435365808281,483,7.95780511634852e-154
"TTTY14",3.88391557491141,0.114899701590414,33.8026602432487,3.72357598585405e-129,0.703748384756095,483,1.94711107694574e-125
"TXLNGY",2.87392010024796,0.0864947324067014,33.226533226725,1.22311617322478e-126,0.696530449078547,483,5.59636805059e-123
"KDM5D",3.01144039349215,0.0906764558212975,33.2108303772592,1.4331786588668e-126,0.696330572469005,483,5.82889684768447e-123
"DDX3Y",2.85179508579354,0.0860781755510271,33.1302919414573,3.23249658102897e-126,0.695302767984472,483,1.18322304851985e-122
"TTTY10",2.5530812448396,0.0906052462593368,28.1780730172289,6.9714554230875e-104,0.622746222096964,483,2.31984685733359e-100
"ENSG00000288049",1.68320732850007,0.077932506964697,21.5982700166768,8.0130825016138e-73,0.492340391570546,483,2.44425726574226e-69
"RPS4Y1",2.22473372300671,0.112949132121724,19.6967757185521,9.13533695439638e-64,0.446466633729994,483,2.57222979906712e-60
"ZFY-AS1",1.53519967576131,0.0810786574594344,18.9346953176846,3.71784620290044e-60,0.42705538804606,483,9.72057445792626e-57
"BCORP1",1.6258535331556,0.0888177245156078,18.3055076227481,3.43028793685863e-57,0.410605384857511,483,8.3708173093849e-54
"ENSG00000289826",1.44878693330954,0.0841162995952851,17.223617066849,3.89367748646302e-52,0.381472187002251,483,8.90776066965577e-49
"EIF1AY",1.35495775295022,0.0789844482445297,17.1547410036387,8.12719729243749e-52,0.379583103216367,483,1.74992899819048e-48
"ENSG00000291034",2.05719910987225,0.123034157120187,16.7205527149884,8.26797998547706e-50,0.367585301774014,483,1.6813396632689e-46
"NLGN4Y-AS1",0.931030861095988,0.0630694227805233,14.7620006660899,6.07197547407209e-41,0.311792056184096,483,1.16978205396281e-37
"ENSG00000286009",1.02321948163857,0.0710913982602816,14.3930138761983,2.57649876321293e-39,0.301033473463166,483,4.71550803643231e-36
"ZFY",1.54582406858892,0.113291013292573,13.6447192382051,4.58359606563507e-36,0.279053358726029,483,7.98942620888124e-33
"PCDH11Y",1.99338514818111,0.160674917319149,12.4063244060779,7.38028215014227e-31,0.242420525961711,483,1.22794476283549e-27
"ENSG00000260197",0.665106298559256,0.0561776241967636,11.8393454345756,1.47788916362904e-28,0.225654937749218,483,2.35202847589032e-25
"TBL1Y",1.21076504662126,0.103585549402107,11.6885516716354,5.91778904167532e-28,0.221206801329829,483,9.02561458672848e-25
"TMSB4Y",0.557105525806487,0.0511368595519823,10.8944024073315,7.47604115124288e-25,0.19791625488294,483,1.09461204120038e-21
"ENSG00000278847",0.413942581334427,0.0430382654294762,9.61801264999226,3.79969608467443e-20,0.161299341845281,483,5.34938751859319e-17
"ENSG00000237531",-0.604343036569218,0.0953390284033187,-6.33888394595996,5.33338788873999e-10,0.0770968531305038,483,7.23049371405328e-07
"ENSG00000286050",0.245761468707851,0.0403460953693499,6.09133217125519,2.29468569784997e-09,0.0716155523945781,483,2.99980983157502e-06
"ENSG00000189229",0.841031055352438,0.141865631736638,5.92836365691265,5.84446146156362e-09,0.0680922258256615,483,7.13102224463582e-06
"CD99P1",0.476755405699264,0.0804141076691399,5.92875329364907,5.83155571386247e-09,0.0681005671672469,483,7.13102224463582e-06
"ENSG00000290841",0.140713990598623,0.0241575046414391,5.82485619633272,1.04704523656551e-08,0.0658905461174762,483,1.23632399481433e-05
"LINC03020",0.277126292812758,0.0484209308133863,5.72327479372092,1.84046539398007e-08,0.0637576639001218,483,2.10526235253896e-05
"PAX8-AS1",0.61246315511461,0.109983852693866,5.5686643094725,4.27537349104864e-08,0.0605652640525637,483,4.74229609898013e-05
"ENSG00000273906",0.13209932659037,0.0237508914790834,5.56186813900041,4.43481053086942e-08,0.0604264502905356,483,4.77446484329248e-05
"ENSG00000291032",0.327935628901189,0.060171372041811,5.45002744283972,8.05838327233914e-08,0.0581606350668906,483,8.42768746573434e-05
"LINC00278",0.28853595686824,0.0533885515920612,5.40445373144652,1.02492256487614e-07,0.0572474623249782,483,0.000104211848790907
"ENSG00000289007",0.356604089821539,0.0686573427842335,5.19396870546277,3.04526441495919e-07,0.0531073147043168,483,0.000301267185527476
"ENSG00000291100",0.595544440633899,0.114807418611993,5.18733412730599,3.14976723700116e-07,0.0529789101255233,483,0.000303405473534712
"ENSG00000290901",0.474750769650202,0.0916618577896698,5.17937101754559,3.27978687592784e-07,0.0528249641763703,483,0.000307829022580674
"CALCRL-AS1",0.649083374418463,0.127184529295929,5.10347742773178,4.81000006714994e-07,0.0513671510493749,483,0.000440163106144891
"FIRRE",-0.320128851128538,0.063051620667691,-5.07725016008318,5.4845317800897e-07,0.0508673330762565,483,0.000489648295800984
"ENSG00000290931",0.542572411716288,0.107482283767505,5.04801714941157,6.34420922300537e-07,0.0503126530351249,483,0.000552912939044973
"SPECC1",0.490524407515426,0.0974717123325664,5.03247963718738,6.85275123790058e-07,0.0500188786208443,483,0.000583344433283983
"RNF17",0.385340586283812,0.0769849223747642,5.00540332310742,7.83458378036556e-07,0.0495086677237973,483,0.000651766147037502
"ENSG00000290435",0.103317663170056,0.0211559610811153,4.88361945713172,1.42012498290362e-06,0.0472412624184352,483,0.00115516121942676
"ENSG00000288016",0.664394039752982,0.136491858137322,4.86764594474601,1.53395587368278e-06,0.0469472157805535,483,0.00122062871304967
"ENSG00000272769",0.405534283144842,0.0847088314561929,4.78739083249618,2.25251419593438e-06,0.0454817261015499,483,0.00175427722612728
"MIR325HG",0.484415426545613,0.101485144442215,4.7732643945877,2.40877863605629e-06,0.0452258320719698,483,0.00183689444154593
"KAT2B",0.485129391235656,0.101993472512678,4.75647489279624,2.60809796609099e-06,0.0449225037064927,483,0.00194830240715907
"STEAP1B-AS1",0.201652025955753,0.0426212412440025,4.73125653007887,2.93760335182862e-06,0.0444685434906272,483,0.0021505606618067
