gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
ENSG00000290826,0.3267396976414812,-3.85431970864842,1.0094311977796842,0.3187435356590531,0.9998770327822782,-4.598454385716333,Excitatory neuron,combined
OR4F5,0.15568606699805962,-3.8227685681010914,0.4993866398128346,0.6202013209156522,0.9998770327822782,-4.647379488387968,Excitatory neuron,combined
ENSG00000238009,-0.031469765485903176,-0.26026983727681713,-0.2171638478040165,0.8291678062210472,0.9998770327822782,-4.733228694319492,Excitatory neuron,combined
ENSG00000241860,0.010729062269965223,0.5617074508113927,0.08236068803197492,0.9347644267008155,0.9998770327822782,-4.7756858885048405,Excitatory neuron,combined
ENSG00000241599,0.33665915952489833,-3.264293331110045,1.249020795217063,0.21880788570769283,0.9998770327822782,-4.562313217224593,Excitatory neuron,combined
ENSG00000290385,-0.015706534810306767,-0.018861477597221243,-0.1325005095486175,0.8952426374860225,0.9998770327822782,-4.74858944194044,Excitatory neuron,combined
ENSG00000291215,-0.09264984256403684,1.6085882873159065,-0.78433430000268,0.4373943832256425,0.9998770327822782,-4.71377445971528,Excitatory neuron,combined
ENSG00000229905,0.29468784761686045,-2.2126748697279135,1.1698295206676146,0.2488882018836286,0.9998770327822782,-4.572406397348258,Excitatory neuron,combined
LINC01409,-0.05554429644060859,4.2374903705812415,-0.8953221604109618,0.37589011244734605,0.9998770327822782,-4.827971344149238,Excitatory neuron,combined
ENSG00000290784,-0.10053220524367473,2.1909666930698313,-1.2235449152977027,0.22817460263734676,0.9998770327822782,-4.556085161714102,Excitatory neuron,combined
FAM87B,0.020641611325476927,-1.8778802230492102,0.08174033962170603,0.9352546627456004,0.9998770327822782,-4.695616114092934,Excitatory neuron,combined
LINC00115,-0.07576397216982296,2.4903287749799836,-0.9447053242468147,0.3503952407726828,0.9998770327822782,-4.698078784697378,Excitatory neuron,combined
LINC01128,-0.03639304376281453,4.461000189447056,-0.7743455546020573,0.44321062080108986,0.9998770327822782,-4.909580233540427,Excitatory neuron,combined
ENSG00000288531,0.1468542927141656,-0.25826670298059906,1.136310101967955,0.26248665847013064,0.9998770327822782,-4.578427202713764,Excitatory neuron,combined
FAM41C,-0.13570700955225698,-2.099964620945566,-0.5760562276238836,0.5677555042708113,0.9998770327822782,-4.658645972304625,Excitatory neuron,combined
ENSG00000272438,0.014157315794694128,1.2525455516587434,0.12098195435897934,0.9043018333705123,0.9998770327822782,-4.81078946518157,Excitatory neuron,combined
ENSG00000230699,0.32397656533511776,-0.40721975972461677,1.7353643786213666,0.09025851925088088,0.9998770327822782,-4.366835424144807,Excitatory neuron,combined
ENSG00000241180,0.05624125414396679,-3.3948889402557163,0.1827045664896546,0.8559387079834968,0.9998770327822782,-4.66447773533499,Excitatory neuron,combined
LINC02593,0.25893177206444945,-3.457455957411192,0.914981732387266,0.36560128721681007,0.9998770327822782,-4.610726548060428,Excitatory neuron,combined
SAMD11,0.16589093894347542,-1.7955099843180025,0.8613380266381858,0.39410824323732396,0.9998770327822782,-4.628568052820346,Excitatory neuron,combined
NOC2L,-0.05911834219315044,3.6201896938911355,-0.6052245274031012,0.5483965484681295,0.9998770327822782,-4.911659965003246,Excitatory neuron,combined
KLHL17,0.019568281703913785,1.2035263086845682,0.14774592031668202,0.8832742742896931,0.9998770327822782,-4.812941150867823,Excitatory neuron,combined
PLEKHN1,0.5230292514835971,-1.804048623752139,2.31703027943166,0.025623344116468716,0.9998770327822782,-4.2161226549696496,Excitatory neuron,combined
PERM1,0.2956884998534873,-2.6747467174280604,1.1604711477918552,0.25263236647159176,0.9998770327822782,-4.575297947464718,Excitatory neuron,combined
ENSG00000272512,0.21805213078171354,-1.066299334313585,1.0341809401064264,0.307169840436786,0.9998770327822782,-4.602133641033158,Excitatory neuron,combined
HES4,-0.16332472468184667,4.831629399045965,-0.7908968535816665,0.4335980686415072,0.9998770327822782,-4.921062633287385,Excitatory neuron,combined
ISG15,-0.0019755183221267267,1.3930140079264055,-0.017343538098749146,0.9862474659790207,0.9998770327822782,-4.828246531054774,Excitatory neuron,combined
ENSG00000224969,0.058406484661946506,-0.9888248315134361,0.367593806430417,0.7150846441198682,0.9998770327822782,-4.699459564121212,Excitatory neuron,combined
AGRN,-0.03727341179792669,3.226950534139625,-0.3429876228744414,0.7333765861611884,0.9998770327822782,-4.9480758570853745,Excitatory neuron,combined
ENSG00000291156,-0.19831536917554585,0.7247604301902814,-0.797450670710211,0.4298265991952509,0.9998770327822782,-4.676408953503897,Excitatory neuron,combined
C1orf159,-0.02593382719690446,4.99926118875954,-0.45931509571907847,0.6484567072889769,0.9998770327822782,-5.090246819215543,Excitatory neuron,combined
ENSG00000285812,-0.055901145222203165,2.239656399232724,-0.4948237097487646,0.6233906280506253,0.9998770327822782,-4.827850142746756,Excitatory neuron,combined
LINC01342,0.15261493737255086,-1.1272603632878702,0.42371361093432125,0.67401012380524294,0.9998770327822782,-4.696242908568335,Excitatory neuron,combined
TTLL10,-0.09999980199375177,-3.093069650260201,-0.36964077984408594,0.7135703932403704,0.9998770327822782,-4.660501162693737,Excitatory neuron,combined
