gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
ENSG00000290826,-0.026379720351817185,-3.814055381483494,-0.7848668353856464,0.43719318226223625,0.7259677357183312,-5.586376734709001,Excitatory neuron,combined
OR4F5,-0.01764624572509926,-3.782504240936165,-0.5484715018719305,0.5864413821357854,0.8221061757868047,-5.737220795567578,Excitatory neuron,combined
ENSG00000238009,0.009827189291704745,-0.22168568069148614,0.7552162035743886,0.4545793063656868,0.7375809708938592,-6.105718545879086,Excitatory neuron,combined
ENSG00000241860,0.008875069468712497,0.5629180384588544,0.738155825591189,0.4647636876425101,0.744793920882089,-6.254583089404295,Excitatory neuron,combined
ENSG00000241599,0.016731149516887492,-3.2240290039451187,0.5658763936642699,0.5746645201310596,0.8149371684040776,-5.800623444764757,Excitatory neuron,combined
ENSG00000290385,-0.004337340256292717,-0.014343084472373306,-0.3625399924608407,0.7188726674125541,0.8891947530460611,-6.346315615700121,Excitatory neuron,combined
ENSG00000291215,-0.015432780466186704,1.616450348133268,-1.320068134551477,0.19437786637248378,0.5084828863807536,-5.827059599101435,Excitatory neuron,combined
ENSG00000229905,0.005767820724648486,-2.291816703895581,0.21355406273312147,0.8319884400780571,0.9383646432805212,-6.036845068869467,Excitatory neuron,combined
LINC01409,0.0022863738713272156,4.265141465601476,0.35797447161471657,0.7222599246989091,0.890272076974834,-7.11204148842817,Excitatory neuron,combined
ENSG00000290784,0.005111780993178362,2.209945845532967,0.6346713248905729,0.5292857922821292,0.785890205912346,-6.610349168382289,Excitatory neuron,combined
FAM87B,-0.012525898821621102,-1.8376158958842836,-0.4759035113760561,0.6367532025148037,0.8480237225206988,-6.007930755218816,Excitatory neuron,combined
LINC00115,-0.0015765116789966237,2.49919498564466,-0.1954713749466904,0.8460215772403665,0.9435236368611064,-6.834248276792532,Excitatory neuron,combined
LINC01128,-0.013474803416928373,4.446429073623392,-2.9279300686056207,0.005627150624300195,0.08138064756563197,-3.239272924641229,Excitatory neuron,combined
ENSG00000288531,-0.023035163983531785,-0.27528688600060824,-1.6737133859448654,0.10205416759111713,0.36972659120130236,-4.997548555078308,Excitatory neuron,combined
FAM41C,-0.01347436440413846,-2.0959769154452115,-0.6075075156335583,0.5469756815860682,0.7972710613954441,-5.92408292744947,Excitatory neuron,combined
ENSG00000272438,-0.014202494388592462,1.222250506150514,-1.244690068938296,0.2205479472373972,0.5386740493208048,-5.851716337535914,Excitatory neuron,combined
ENSG00000230699,-0.01322015114256214,-0.4895936069814112,-0.6835146521886127,0.4982541961573561,0.7657966832979152,-6.101372953082316,Excitatory neuron,combined
ENSG00000241180,-0.0209706045871733,-3.3234555454292787,-0.6514284551290334,0.5185255850564366,0.7787327780942478,-5.7261752166565145,Excitatory neuron,combined
LINC02593,-0.023230981576231678,-3.520004540657016,-0.764048244861383,0.4493586083950316,0.7342348800831543,-5.627632982425622,Excitatory neuron,combined
SAMD11,0.015694270779808537,-1.7402714214464408,0.7648721640374431,0.44887338898576135,0.733928134548103,-5.879834056097258,Excitatory neuron,combined
NOC2L,-0.027903548998807225,3.6171756355293256,-3.1424189851350204,0.0031651950819338933,0.0651363493078752,-2.558914608219802,Excitatory neuron,combined
KLHL17,-0.005831833206334137,1.2224448745719891,-0.42688352950609515,0.6717717535789511,0.8660123478418026,-6.525543893423473,Excitatory neuron,combined
PLEKHN1,-0.017440768002528945,-1.8025719594380656,-0.6383586981121749,0.5269079484457727,0.7844411867059363,-5.926673629326333,Excitatory neuron,combined
PERM1,-0.019238760632076357,-2.6567980983303694,-0.6821230407833979,0.4991242219693188,0.7665322928582383,-5.776948843989791,Excitatory neuron,combined
ENSG00000272512,-0.01189178544900076,-1.0563262169957899,-0.5056689473465736,0.6158870051987222,0.838628121794534,-6.113045579230533,Excitatory neuron,combined
HES4,-0.04109750241556374,4.80139466580517,-2.1180253571607968,0.04048810121214426,0.22615393952096247,-5.070651658756287,Excitatory neuron,combined
ISG15,-0.0167001586263042,1.4291928824568132,-1.3692035635715323,0.17863696341526658,0.4893696985184441,-5.717718762854592,Excitatory neuron,combined
