CellType,SSD01_tissue1,SSD02_tissue2,SSD03_tissue3,SSD06_tissue6,SSD07_tissue7,SSD08_tissue8,SSD09_tissue9,SSD10_tissue10,SSD11_tissue11,SSD12_tissue12,SSD15_tissue15,SSD17_tissue17,SSD18_tissue18,SSD19_tissue19,SSD20_tissue20,SSD21_tissue21,SSD22_tissue22,SSD23_tissue23,SSD24_tissue24,SSD25_tissue25,SSD26_tissue26,SSD27_tissue27,SSD30_tissue30,SSD31_tissue31,SSD32_tissue32,SSD33_tissue33,SSD34_tissue34,SSD35_tissue35,SSD36_tissue36,SSD37_tissue37,SSD38_tissue38,SSD39_tissue39,SSD40_tissue40,SSD41_tissue41,SSD42_tissue42,SSD43_tissue43,SSD44_tissue44,SSD45_tissue45,SSD46_tissue46,SSD47_tissue47,SSD48_tissue48,SSD49_tissue49,SSD50_tissue50
Astrocyte-Immature,4,28,13,47,174,19,18,38,3,7,52,126,37,203,38,13,47,64,63,68,18,25,94,100,101,60,104,76,30,13,21,27,10,10,52,32,39,34,47,165,42,36,65
Cajal-Retzius cell,4,1,1,25,1505,60,25,34,26,9,5,655,4,2,8,4,16,15,35,44,1,6,9,1420,25,19,10,6,16,6,0,3,4,0,6,50,4,6,1,10,0,14,0
EN-IT-Immature,995,302,890,241,154,249,183,177,867,669,27,294,407,2,519,253,628,279,82,239,814,2601,1414,156,699,436,1296,814,1751,1286,752,1064,438,509,3,1625,655,737,471,794,1,1388,431
EN-L4-IT,7,2,10,32,45,0,0,0,4,13,6,0,83,0,10,21,0,0,0,0,6,11,0,1,36,4,73,52,76,280,1,621,75,303,3,46,19,3,438,75,2,6,2
EN-L5-IT,108,0,20,7,0,0,0,0,0,26,0,1,0,0,3,1,0,0,0,1,0,0,0,0,1,0,4,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0
EN-L5_6-NP,8,8,13,19,94,129,51,122,61,20,10,1,14,1,17,32,71,27,25,60,4,19,69,26,57,49,56,17,42,21,10,12,86,7,7,81,122,13,19,129,0,101,5
EN-L6-CT,123,9,61,19,4,3,5,0,29,47,2,12,7,0,46,5,6,0,4,0,20,68,12,2,138,163,63,145,128,96,5,34,39,16,2,49,17,7,101,9,0,3,4
EN-L6-IT,365,162,329,841,16,499,580,502,1335,1302,69,57,275,0,337,211,358,209,48,411,87,479,254,97,1369,40,514,787,1507,1226,234,591,811,563,39,958,590,123,365,431,0,604,91
EN-L6b,392,68,243,211,718,62,142,145,231,251,20,28,104,11,121,87,164,162,236,141,173,618,291,173,578,565,184,409,788,439,218,253,478,147,9,568,148,225,219,161,0,588,109
EN-Newborn,429,222,292,173,3,116,159,230,403,250,48,28,299,1404,496,143,802,587,774,762,448,1136,1231,1029,1312,1306,967,1190,1347,474,505,625,657,126,308,818,874,558,573,803,327,1469,651
