CellType,SSD01_tissue1,SSD02_tissue2,SSD03_tissue3,SSD06_tissue6,SSD07_tissue7,SSD08_tissue8,SSD09_tissue9,SSD10_tissue10,SSD11_tissue11,SSD12_tissue12,SSD15_tissue15,SSD17_tissue17,SSD18_tissue18,SSD19_tissue19,SSD20_tissue20,SSD21_tissue21,SSD22_tissue22,SSD23_tissue23,SSD24_tissue24,SSD25_tissue25,SSD26_tissue26,SSD27_tissue27,SSD30_tissue30,SSD31_tissue31,SSD32_tissue32,SSD33_tissue33,SSD34_tissue34,SSD35_tissue35,SSD36_tissue36,SSD37_tissue37,SSD38_tissue38,SSD39_tissue39,SSD40_tissue40,SSD41_tissue41,SSD42_tissue42,SSD43_tissue43,SSD44_tissue44,SSD45_tissue45,SSD46_tissue46,SSD47_tissue47,SSD48_tissue48,SSD49_tissue49,SSD50_tissue50
Astrocyte,0.15,2.87,0.64,2.52,5.34,1.41,1.58,2.22,0.12,0.38,14.52,7.15,2.18,6.79,1.96,1.26,1.72,2.98,3.29,2.64,0.93,0.41,2.13,2.22,1.58,1.59,2.67,1.76,0.45,0.33,0.94,0.74,0.36,0.53,7.95,0.65,1.33,1.88,1.9,4.25,6.1,0.81,3.66
Cajal-Retzius cell,0.15,0.1,0.05,1.34,43.69,4.46,1.8,1.94,0.75,0.31,1.37,36.61,0.24,0.07,0.39,0.39,0.58,0.7,1.65,1.71,0.05,0.1,0.2,31.54,0.39,0.49,0.23,0.14,0.24,0.13,0,0.08,0.12,0,0.88,0.96,0.14,0.28,0.04,0.25,0,0.24,0
EN-DL,40.97,27.08,31.38,62.16,24.85,57.84,60.39,58.2,58.98,60.34,28.49,6.82,25.22,0.4,29.18,33.62,28.25,35.61,27.2,27.02,15.4,20.82,15.91,10.97,40.05,32.82,22.18,34.69,40.74,40.49,30.06,24.73,54.28,39.6,9.28,38.32,33.36,18.86,27.92,23.92,0,36.37,12.27
EN-Newborn,16.32,22.77,13.3,9.29,0.09,8.62,11.43,13.1,11.62,8.64,13.15,1.57,17.58,46.97,24.24,13.9,29.27,27.33,36.42,29.63,23.15,18.68,27.86,22.86,20.37,33.54,22.48,27.54,20.13,9.88,22.52,16.55,19.81,6.11,45.36,15.73,29.87,26.17,20.56,19.95,39.88,24.91,36.63
EN-UL,38.11,31.18,40.98,14.65,5.78,18.51,13.16,10.08,25.11,23.62,9.04,16.43,28.81,0.07,25.9,26.63,22.92,12.99,3.86,9.29,42.38,42.96,32.03,3.49,11.41,11.3,31.83,20.04,27.45,32.63,33.59,44.61,15.47,39.36,0.88,32.15,23.03,34.71,32.62,21.58,0.37,23.64,24.37
IN-CGE,0.8,3.69,4.78,1.72,11.12,1.19,1.22,1.82,1.01,1.35,4.38,1.73,7.52,9.74,4.74,10.4,4.49,4.24,3.39,9.72,5.43,5.66,5.61,7.75,8.54,2.16,6.3,2.64,2.74,5.79,3.61,3.34,2.77,6.74,9.13,3.96,4.07,5.72,1.33,9.74,5.85,4.46,3.04
IN-MGE,1.98,5.33,6.74,3.11,3.4,2.38,1.87,2.96,1.99,3.56,9.04,0.84,13.4,13.55,4.59,12.05,7.48,4.98,4.09,12.01,9.25,8.32,8.15,6.33,11.18,3.42,8.09,4.84,5.81,9.23,5.62,6.72,4.19,6.5,8.39,4.96,5.64,6.61,4.95,6.38,11.34,6.82,7.26
IPC-EN,0.49,2.87,0,1.77,0,1.12,3.38,2.79,0,0.03,6.03,2.24,0.53,15.29,5.33,0,1.61,4.38,9.04,2.14,0.93,0.86,4.75,8.22,3.77,7.11,2.21,4.19,0.46,0.06,1.74,1.72,0.63,0,2.21,0.48,0.85,2.58,6.49,4.25,24.02,0.73,6.53
IPC-Glia,0.19,0,0.64,0.21,0.9,0.52,0.36,0.4,0.06,0.55,0.55,19.56,1.18,0.74,0.59,0.29,0.84,0.79,0.19,1.67,0.62,0.51,0.7,0.56,0.3,0,1.07,0.56,0.27,0.27,0.45,0.26,0.24,0.15,4.86,0.6,0.38,0.38,0,2.21,0,0.39,0.84
Microglia,0.04,0.31,0.14,0.05,1.04,0.52,0.43,0.17,0,0.03,0,1.68,0.18,0.2,0.29,0,0.11,0.33,0.14,0.19,0.47,0.25,0.18,0.6,0.25,0.1,0.14,0.28,0.15,0.13,0.09,0.08,0.12,0.19,1.77,0.15,0,0.89,0.07,2.01,0.12,0.05,0.62
OPC,0.34,1.03,1.09,0.86,3.05,1.04,0.58,0.97,0.37,1.04,1.37,1.96,2,0.6,0.93,1.36,1.2,0.7,0.75,2.92,1.14,0.92,1.29,0.67,0.85,0.26,1.16,1.23,0.99,0.92,0.49,0.77,1.63,0.73,7.22,1.06,1.03,0.8,0.14,1.17,0.61,0.85,1.86
Radial glia,0.34,2.26,0.05,2.15,0.2,2.38,3.59,4.9,0,0.1,12.05,2.46,0.59,5.15,1.71,0,1.06,4.7,9.51,0.97,0.26,0.28,1.06,4.6,1.23,6.6,1.35,1.64,0.18,0.02,0.71,0.32,0.36,0.1,0.88,0.38,0.17,0.98,3.84,3.97,11.71,0.54,2.81
Vascular,0.11,0.51,0.23,0.16,0.55,0,0.14,0.4,0,0.03,0,0.95,0.53,0.43,0.15,0.1,0.47,0.28,0.47,0.08,0,0.23,0.11,0.2,0.08,0.62,0.21,0.46,0.39,0.13,0.18,0.08,0,0,0.88,0.6,0.14,0.09,0.14,0.32,0,0.17,0.06
Oligodendrocyte,0,0,0,0,0,0,0.07,0.06,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.29,0,0,0.05,0,0,0,0.02,0.06
