gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
CRYAB,-0.49490574725545106,15.63046200262907,-1.2016178414498546,0.2365519132428102,0.8569565461963643,-4.581305101590355,Astrocyte-Immature,combined
ETV4,0.21825397776557343,15.886429405694072,0.6260938705848608,0.5347968812853834,0.8621594694966042,-4.810839864892764,Astrocyte-Immature,combined
FGF1,0.3337324784144049,17.57953368489338,1.0576499663499674,0.2965374264727061,0.8569565461963643,-4.65776827485734,Astrocyte-Immature,combined
GADD45B,-0.10151258319966482,15.0774058469732,-0.27153875599858707,0.7873680971980656,0.9121212052807925,-4.924402794746205,Astrocyte-Immature,combined
H2BC8,-0.2809268571489515,15.442616141072742,-0.8588568041546952,0.39551840593678356,0.8569565461963643,-4.754671017966849,Astrocyte-Immature,combined
LMO2,-0.6909068766797626,16.441690071548884,-2.228926012803905,0.03148087155451502,0.40925133020869525,-3.7789335859646878,Astrocyte-Immature,combined
OTOF,0.6391381488970724,16.758954475265124,1.429880527822883,0.1604875544284147,0.8569565461963643,-4.438023938726943,Astrocyte-Immature,combined
PCDHA13,0.043778322617670985,14.925099520781009,0.13269844343458992,0.8950947270514604,0.9121212052807925,-4.939849403379776,Astrocyte-Immature,combined
PPP1R1B,0.21246996361253814,14.809708392786902,0.7125793443117001,0.48022712440913107,0.8621594694966042,-4.81532996572995,Astrocyte-Immature,combined
RPH3A,-0.03035469924922165,15.150443644391334,-0.11106116235127986,0.9121212052807925,0.9121212052807925,-4.94097888351924,Astrocyte-Immature,combined
SCGN,-0.16479922423548554,14.610006086438464,-0.5331343223796384,0.5968796327284183,0.8621594694966042,-4.880524787578541,Astrocyte-Immature,combined
SLC13A4,-0.31154764707525756,16.7996531896669,-0.8892004403946095,0.37919234100946053,0.8569565461963643,-4.724490356979589,Astrocyte-Immature,combined
SOX21,-0.13152895774317233,16.04358831441295,-0.41542462444898526,0.6800429928889996,0.8840558907556996,-4.883379382455645,Astrocyte-Immature,combined
CRYAB,-0.16385022395473894,13.839231098560346,-0.52826841954623,0.5986802785488308,0.9514504711619464,-4.640299545365049,EN-IT-Immature,combined
ETV4,-0.055104548869303174,15.880394898471325,-0.24112327993633456,0.8100363266799562,0.9514504711619464,-4.670541047538317,EN-IT-Immature,combined
FGF1,0.27185184776608595,16.61971247870701,1.2529463097627243,0.2136379292115421,0.7791816026274355,-4.553592424033054,EN-IT-Immature,combined
GPNMB,0.28138469851093506,11.721200250766033,0.9403874168968717,0.3496656760446394,0.7791816026274355,-4.604181676544356,EN-IT-Immature,combined
GPR83,-0.3322236612573956,11.941385742643181,-1.1727477442130743,0.24415098988315126,0.7791816026274355,-4.578769498688352,EN-IT-Immature,combined
H2BC8,0.029265172629592714,13.315840012223761,0.09658629744526442,0.9232807683517261,0.9514504711619464,-4.651454641072863,EN-IT-Immature,combined
LMO2,-0.12454113407948716,13.326835686950279,-0.4191890474462679,0.6761282945995248,0.9514504711619464,-4.640505836395979,EN-IT-Immature,combined
NPAS4,-0.2775958447014132,11.76884901878697,-0.9384941339029953,0.350631721182346,0.7791816026274355,-4.604140948968075,EN-IT-Immature,combined
OTOF,-0.018404519857854663,11.723906395969445,-0.06106418837238477,0.9514504711619464,0.9514504711619464,-4.649969592723301,EN-IT-Immature,combined
PCDHA13,0.2672817264620359,15.930339969965457,1.3220164315513492,0.1896854275232993,0.7791816026274355,-4.543724262700114,EN-IT-Immature,combined
PPP1R1B,-0.18584691717830115,14.673270016731735,-0.6864754143697676,0.49426916727150594,0.91157063704936,-4.634716795403143,EN-IT-Immature,combined
RPH3A,-0.07987720120024529,16.2988212526446,-0.3464892275316461,0.7298255492321852,0.9514504711619464,-4.672244172723411,EN-IT-Immature,combined
SCGN,0.03132796895899218,13.505465947091087,0.1097095957014823,0.9128965429391195,0.9514504711619464,-4.6545869611109145,EN-IT-Immature,combined
SLC13A4,0.13028688526307197,17.13873474828575,0.6752080640964322,0.501363850377148,0.91157063704936,-4.657743822537791,EN-IT-Immature,combined
SLC6A5,-0.387438594736053,12.138102415756137,-1.4041117609158622,0.16390428184995096,0.7791816026274355,-4.54810994098237,EN-IT-Immature,combined
SOX21,-0.287070287696998,11.489149753953825,-0.9647525351731893,0.3373870707642719,0.7791816026274355,-4.601564160898367,EN-IT-Immature,combined
ST8SIA6,0.05149770205036522,18.11307868285837,0.26491670173713,0.7917106554224964,0.9514504711619464,-4.7083008747275965,EN-IT-Immature,combined
TAC3,0.06778591049693106,11.930721916778925,0.24048544629961752,0.8105290967770964,0.9514504711619464,-4.64771441426396,EN-IT-Immature,combined
TPBGL,-0.29795776400890656,11.349300121537253,-0.967231481146701,0.3361538199295995,0.7791816026274355,-4.600894448687693,EN-IT-Immature,combined
VGF,-0.24467384638451403,15.315005209775672,-0.952033176043387,0.34376129936326427,0.7791816026274355,-4.606835187095872,EN-IT-Immature,combined
