gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
CRYAB,-0.4697862349965171,15.63046200262907,-1.1669126408714787,0.25061771479846645,0.6728123166044819,-4.8784823509111845,Astrocyte-Immature,combined
ETV4,0.2174048493848877,15.886429405694072,0.6277713402052181,0.53396079575029,0.8939636867572726,-5.168049627473428,Astrocyte-Immature,combined
FGF1,0.37472198006890123,17.57953368489338,1.2625386499668672,0.21455536883582013,0.6728123166044819,-4.753061199972776,Astrocyte-Immature,combined
GADD45B,-0.08327380815004255,15.0774058469732,-0.24307595033038482,0.8092722010458667,0.9564126012360243,-5.40160883760273,Astrocyte-Immature,combined
H2BC8,-0.3836516350288022,15.442616141072742,-1.2702160081816716,0.21183792771017668,0.6728123166044819,-4.783563280864402,Astrocyte-Immature,combined
LMO2,-0.7318567719807046,16.441690071548884,-2.4597972823119916,0.018632568349437172,0.24222338854268324,-3.132693106871912,Astrocyte-Immature,combined
OTOF,0.5091832806675044,16.758954475265124,1.1467018785943088,0.25877396792480073,0.6728123166044819,-4.85269566690676,Astrocyte-Immature,combined
PCDHA13,0.013107866733843539,14.925099520781009,0.0408949004828817,0.9675967907163768,0.9875652267329281,-5.441543210565084,Astrocyte-Immature,combined
PPP1R1B,0.245980923250518,14.809708392786902,0.9002953391549331,0.37371250323397065,0.809710423673603,-5.105359816618514,Astrocyte-Immature,combined
RPH3A,-0.08945220949698934,15.150443644391334,-0.35772762230770583,0.722554195505586,0.9393204541572618,-5.397338896116251,Astrocyte-Immature,combined
SCGN,-0.004227098216919714,14.610006086438464,-0.01568964176619938,0.9875652267329281,0.9875652267329281,-5.466266652140542,Astrocyte-Immature,combined
SLC13A4,-0.20852623632608058,16.7996531896669,-0.6030143046947724,0.5501314995429369,0.8939636867572726,-5.176892363079344,Astrocyte-Immature,combined
SOX21,-0.11818465003180767,16.04358831441295,-0.3702966282344483,0.7132462720880202,0.9393204541572618,-5.295051979110299,Astrocyte-Immature,combined
CRYAB,-0.1949053859654415,13.839231098560346,-0.6616412251597062,0.5100692019034876,0.8501153365058127,-4.633449979512428,EN-IT-Immature,combined
ETV4,-0.0725792774690227,15.880394898471325,-0.3204165563334197,0.7494733852285732,0.9368417315357165,-4.666772637855373,EN-IT-Immature,combined
FGF1,0.2808090890995137,16.61971247870701,1.3190333078110068,0.19085537615213755,0.8155611226922455,-4.537466958248225,EN-IT-Immature,combined
GPNMB,0.37132625444286527,11.721200250766033,1.2162964009464499,0.22738609544705107,0.8155611226922455,-4.573257096845775,EN-IT-Immature,combined
GPR83,-0.3117529276704071,11.941385742643181,-1.1132281732848357,0.2688859505592297,0.8155611226922455,-4.585722876738406,EN-IT-Immature,combined
H2BC8,-0.015366080349950214,13.315840012223761,-0.05339171063856622,0.9575505837025626,0.9664641211070188,-4.656941868820278,EN-IT-Immature,combined
LMO2,-0.11955419515313653,13.326835686950279,-0.39142106310912816,0.6965084410643749,0.9368417315357165,-4.640750177463108,EN-IT-Immature,combined
NPAS4,-0.2255184414723892,11.76884901878697,-0.7614995558678087,0.448558617480735,0.8155611226922455,-4.619492327495047,EN-IT-Immature,combined
OTOF,0.01759441549902552,11.723906395969445,0.057538618524106036,0.9542571071751655,0.9664641211070188,-4.649136142353499,EN-IT-Immature,combined
PCDHA13,0.2531250748221015,15.930339969965457,1.2642302017367597,0.20975430018421987,0.8155611226922455,-4.555206117339985,EN-IT-Immature,combined
