gene,n_papers,papers
AC008770.4,1,Matassa_2025
AC010422.6,1,Matassa_2025
AL035461.3,1,Matassa_2025
CALCA,1,Matassa_2025
CRYAB,1,Matassa_2025
ETV4,1,Matassa_2025
FGF1,1,Matassa_2025
FOXA1,1,Matassa_2025
GADD45B,1,Matassa_2025
GPNMB,1,Matassa_2025
GPR83,1,Matassa_2025
H2BC8,1,Matassa_2025
HOXB2,1,Matassa_2025
HOXC8,1,Matassa_2025
HSPA6,1,Matassa_2025
LBX1,1,Matassa_2025
LHX1,1,Matassa_2025
LMO2,1,Matassa_2025
MARCO,1,Matassa_2025
NPAS4,1,Matassa_2025
OLIG3,1,Matassa_2025
OTOF,1,Matassa_2025
PCDHA13,1,Matassa_2025
PDCD6-AHRR,1,Matassa_2025
PITX2,1,Matassa_2025
POU4F3,1,Matassa_2025
PPP1R1B,1,Matassa_2025
PRDM13,1,Matassa_2025
RPH3A,1,Matassa_2025
SCGN,1,Matassa_2025
SHOX2,1,Matassa_2025
SLC13A4,1,Matassa_2025
SLC6A5,1,Matassa_2025
SOX21,1,Matassa_2025
ST8SIA6,1,Matassa_2025
TAC3,1,Matassa_2025
TBC1D3,1,Matassa_2025
TPBGL,1,Matassa_2025
VGF,1,Matassa_2025
