gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
MAPK4,-0.016748163053240117,19.74046988143399,-1.9986119724758804,0.0499698253502262,0.09572482836175417,-5.090705657910321,Astrocyte-Immature,combined
PER1,0.0608187557066654,15.895480401356382,1.8866576004390485,0.06381655224116944,0.09572482836175417,-4.235832517825986,Astrocyte-Immature,combined
TSC22D3,0.05180969855036094,14.826430004056647,1.4807675092361912,0.14365267237445717,0.14365267237445717,-4.704336811535124,Astrocyte-Immature,combined
MAPK4,0.0045316949833418265,19.81466875212883,3.411717880616835,0.001677000577074261,0.0025234545475175427,-3.5103633690848364,EN-IT-Immature,combined
PER1,-0.05188601368525911,14.992788969367442,-3.3760729052990515,0.001847855845081292,0.0025234545475175427,-1.6128521924861055,EN-IT-Immature,combined
TSC22D3,-0.09704223660220078,14.772469656189285,-3.2606026204339313,0.0025234545475175427,0.0025234545475175427,-1.8301160424952245,EN-IT-Immature,combined
MAPK4,0.002841996616951621,19.764619174743995,1.3528897795160613,0.18449757312218776,0.27674635968328165,-7.295342938986408,EN-L6-IT,combined
PER1,-0.054197748610877956,15.27277143228143,-2.467281571107409,0.018486144798814354,0.05545843439644306,-3.447715676940819,EN-L6-IT,combined
TSC22D3,-0.03060516153393906,15.542972436282689,-0.9077652122102743,0.37001811737406254,0.37001811737406254,-5.799922263300319,EN-L6-IT,combined
MAPK4,0.011522215094470165,19.515255617422827,2.3961951329500244,0.02223201562024961,0.033348023430374414,-4.910566449189364,EN-L6b,combined
PER1,-0.0345598841540166,16.524302312481797,-1.9557114206147599,0.058783336547765276,0.058783336547765276,-5.28746508037581,EN-L6b,combined
TSC22D3,-0.15394882757731732,16.580270181208505,-8.870281944170461,2.353155394500602e-10,7.059466183501806e-10,13.544446509558055,EN-L6b,combined
MAPK4,7.490495249462012e-4,19.8298478487793,0.8027014506936149,0.42734712542802,0.5466206970475582,-8.553546498513029,EN-Newborn,combined
PER1,0.012317484248897845,14.742888798158768,0.6085097467305068,0.5466206970475582,0.5466206970475582,-6.602522804309171,EN-Newborn,combined
TSC22D3,-0.04856912780662024,14.807224752339676,-2.4341574442486063,0.01994670975511059,0.05984012926533176,-3.8804466344807067,EN-Newborn,combined
MAPK4,0.001271455769963163,19.687470954593966,0.33960430248855716,0.7362372940352078,0.8595873864345076,-7.641808105759398,EN-Non-IT-Immature,combined
PER1,0.013489495492108093,15.95421105887949,0.5385199820490038,0.5937162128549951,0.8595873864345076,-6.044455020868319,EN-Non-IT-Immature,combined
TSC22D3,-0.0038218508085034646,16.15949409732099,-0.17824225496058388,0.8595873864345076,0.8595873864345076,-6.227857773154994,EN-Non-IT-Immature,combined
MAPK4,0.006897553329261267,19.721531144402984,1.6204215032571632,0.11482218966892335,0.11482218966892335,-6.256570976501436,IN-CGE-Immature,combined
PER1,-0.04926259184923043,15.636415604174276,-1.9933968125958579,0.05468252723244463,0.11482218966892335,-4.285715233567709,IN-CGE-Immature,combined
TSC22D3,-0.044347247877807236,16.08614588955218,-1.673238760371621,0.10389699014154359,0.11482218966892335,-4.8428580469935305,IN-CGE-Immature,combined
MAPK4,4.002887928725363e-6,19.635240823725113,8.113409585074733e-4,0.9993575551618432,0.9993575551618432,-7.356168714309555,IN-MGE-Immature,combined
PER1,0.011561258210066722,16.413702328550883,0.6311673708219878,0.5323024119530448,0.7984536179295673,-6.223459243836273,IN-MGE-Immature,combined
TSC22D3,-0.029710384212960815,16.435910943921044,-1.1336208025199792,0.2651665489563091,0.7954996468689273,-5.726608786933342,IN-MGE-Immature,combined
MAPK4,3.6261594527033244e-4,19.631923491335204,0.08092575144418447,0.9361247694271657,0.9361247694271657,-7.425935921090077,IN-MGE-SST,combined
PER1,0.006431024621772115,16.42700798063603,0.2858534361482119,0.7772702763113664,0.9361247694271657,-6.346033474271522,IN-MGE-SST,combined
TSC22D3,-0.05319084496453692,16.264220872485676,-1.8587409975615488,0.074494049369211,0.223482148107633,-4.5182284086422,IN-MGE-SST,combined
MAPK4,3.3926275494808355e-4,19.755426759130092,0.086612236472568993,0.9318327978593551,0.9318327978593551,-7.650511865168238,IPC-EN,combined
PER1,0.02741484303849341,16.157417724715764,0.7474911727473128,0.4633831467851425,0.926766293570285,-5.969580901280759,IPC-EN,combined
