gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
MAPK4,-0.01569064198731237,19.74046988143399,-1.9369349425750955,0.05750009511912075,0.08625014267868113,-5.238690902289803,Astrocyte-Immature,combined
PER1,0.0682157362728703,15.895480401356382,2.112034808532697,0.038885944637222856,0.08625014267868113,-3.849297265011182,Astrocyte-Immature,combined
TSC22D3,0.057768598096222444,14.826430004056647,1.6948870983729496,0.09531874187531447,0.09531874187531447,-4.4250557380384254,Astrocyte-Immature,combined
MAPK4,0.005062243191442954,19.81466875212883,3.600368035601756,9.893070194999063e-4,0.002967921058499719,-2.9789191530327352,EN-IT-Immature,combined
PER1,-0.04715515730981106,14.992788969367442,-3.159042084868177,0.0032890308733312407,0.004933546309996861,-2.1348282607618314,EN-IT-Immature,combined
TSC22D3,-0.08332953762222692,14.772469656189285,-2.9136503679139216,0.006235781754955294,0.006235781754955294,-2.6680871450123855,EN-IT-Immature,combined
MAPK4,0.005240174123400706,19.764619174743995,2.0330802605030924,0.04891258771964262,0.04891258771964262,-6.053260242723528,EN-L6-IT,combined
PER1,-0.06797286998256853,15.27277143228143,-2.980783757943484,0.004939248108510709,0.014817744325532128,-2.2318886349985925,EN-L6-IT,combined
TSC22D3,-0.06465471993152645,15.542972436282689,-2.080849644009967,0.044083653686385914,0.04891258771964262,-4.126511019239883,EN-L6-IT,combined
MAPK4,0.0129363813378535,19.515255617422827,2.7362888936660172,0.009799024612501131,0.014698536918751698,-4.129422553271793,EN-L6b,combined
PER1,-0.02277698174556661,16.524302312481797,-1.2390543854971174,0.22379575215261507,0.22379575215261507,-6.248351082122094,EN-L6b,combined
TSC22D3,-0.1431539747785093,16.580270181208505,-8.138437295219862,1.6941807456556105e-9,5.082542236966832e-9,11.620076945308845,EN-L6b,combined
MAPK4,0.0012138620175342239,19.8298478487793,1.2502204891793482,0.2192018342059704,0.3288027513089556,-8.05290598401153,EN-Newborn,combined
PER1,0.005168306392891085,14.742888798158768,0.23773878821903222,0.8134176451478493,0.8134176451478493,-6.735720886595624,EN-Newborn,combined
TSC22D3,-0.05583106120556034,14.807224752339676,-2.9117086303977477,0.006105871549738368,0.018317614649215105,-2.8299682741006134,EN-Newborn,combined
MAPK4,0.003642383006029148,19.687470954593966,0.9308524304470247,0.3583380347371432,0.5375070521057148,-7.227023334127634,EN-Non-IT-Immature,combined
PER1,0.0012711006367158663,15.95421105887949,0.05229590987769628,0.9585917333527366,0.9585917333527366,-6.2130437390119475,EN-Non-IT-Immature,combined
TSC22D3,-0.024819781163062528,16.15949409732099,-1.186790946611758,0.24334285568536038,0.5375070521057148,-5.56686923791864,EN-Non-IT-Immature,combined
MAPK4,0.009491315599611366,19.721531144402984,2.175977302561853,0.036732957466469617,0.05509943619970442,-5.274907490293963,IN-CGE-Immature,combined
PER1,-0.052284253336001695,15.636415604174276,-2.292437843620351,0.02831388159035301,0.05509943619970442,-3.7639838279854763,IN-CGE-Immature,combined
TSC22D3,-0.042802481335932945,16.08614588955218,-1.6689620217435797,0.10447780130197677,0.10447780130197677,-4.879733149469647,IN-CGE-Immature,combined
MAPK4,0.002406648373211067,19.635240823725113,0.4300740724877256,0.6698193726490341,0.8274136514414485,-7.154794290945772,IN-MGE-Immature,combined
PER1,-0.004458846119891579,16.413702328550883,-0.21968368410121883,0.8274136514414485,0.8274136514414485,-6.314783935820468,IN-MGE-Immature,combined
TSC22D3,-0.03635145815728276,16.435910943921044,-1.4419385185661417,0.15834680224200842,0.47504040672602527,-5.2754650788621245,IN-MGE-Immature,combined
MAPK4,0.0011738246769447634,19.631923491335204,0.26531966205863894,0.7928186723249877,0.7928186723249877,-7.423291151670881,IN-MGE-SST,combined
PER1,-0.0064684120866784125,16.42700798063603,-0.3095038973009379,0.7593616683668207,0.7928186723249877,-6.339015971683035,IN-MGE-SST,combined
TSC22D3,-0.05368334580128709,16.264220872485676,-2.035651348039281,0.05190952270981473,0.1557285681294442,-4.297578994086896,IN-MGE-SST,combined
MAPK4,0.0010659918074286388,19.755426759130092,0.28270908012440676,0.7802781361748623,0.7802781361748623,-7.650611254658849,IPC-EN,combined
PER1,0.016020504475928468,16.157417724715764,0.4547914091055155,0.6541119047035274,0.7802781361748623,-6.1841309457420195,IPC-EN,combined
