gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
MAPK4,-0.015609749145931337,19.74046988143399,-1.7504868784978485,0.08514607231784789,0.12771910847677184,-5.484296906550956,Astrocyte-Immature,combined
PER1,0.06342129673059646,15.895480401356382,1.9282602967189935,0.05855865988001635,0.12771910847677184,-4.139320813087759,Astrocyte-Immature,combined
TSC22D3,0.05266194978329206,14.826430004056647,1.436647671389569,0.15601225296105936,0.15601225296105936,-4.737065027093686,Astrocyte-Immature,combined
MAPK4,0.004452763577368014,19.81466875212883,3.295579605785204,0.0023559492736550244,0.004046325975608269,-3.8244313411043223,EN-IT-Immature,combined
PER1,-0.047275940266338336,14.992788969367442,-3.090357438675288,0.004046325975608269,0.004046325975608269,-2.3199007759526165,EN-IT-Immature,combined
TSC22D3,-0.09754937221493758,14.772469656189285,-3.2388924184016075,0.002739292670830194,0.004046325975608269,-1.9224089550682502,EN-IT-Immature,combined
MAPK4,0.0025990706500531274,19.764619174743995,1.2422520815682858,0.2221449211720365,0.2221449211720365,-7.450718480287109,EN-L6-IT,combined
PER1,-0.05352018989698278,15.27277143228143,-2.4102498323823154,0.02115503548744206,0.06346510646232618,-3.559654944415128,EN-L6-IT,combined
TSC22D3,-0.04380358963363125,15.542972436282689,-1.4023487480914727,0.16934347746549808,0.2221449211720365,-5.241174144187122,EN-L6-IT,combined
MAPK4,0.009734815372252324,19.515255617422827,1.9874920297493495,0.0552703026451232,0.0829054539676848,-5.584178491581351,EN-L6b,combined
PER1,-0.014377251255215847,16.524302312481797,-0.7606229788493587,0.45231583312364165,0.45231583312364165,-6.669452224906622,EN-L6b,combined
TSC22D3,-0.14160918030851116,16.580270181208505,-7.5319400886354595,1.2045994608085063e-8,3.6137983824255186e-8,9.73516737426892,EN-L6b,combined
MAPK4,7.701486776342525e-4,19.8298478487793,0.8245107405971395,0.41515912894666007,0.4905254979486413,-8.535068156948412,EN-Newborn,combined
PER1,0.014602833799101943,14.742888798158768,0.6967088846275586,0.4905254979486413,0.4905254979486413,-6.509885513146925,EN-Newborn,combined
TSC22D3,-0.04994339558770683,14.807224752339676,-2.502531428975422,0.017083661927505416,0.051250985782516245,-3.73719924136065,EN-Newborn,combined
MAPK4,0.0018156680756319908,19.687470954593966,0.47181936234111077,0.6401727504237361,0.6401727504237361,-7.5641177832363145,EN-Non-IT-Immature,combined
PER1,0.01343112179645161,15.95421105887949,0.5248217924348144,0.6032289981247547,0.6401727504237361,-6.05258447981264,EN-Non-IT-Immature,combined
TSC22D3,-0.010443967883314647,16.15949409732099,-0.4927827279082016,0.625441907987542,0.6401727504237361,-6.109755378539063,EN-Non-IT-Immature,combined
MAPK4,0.007603383686233665,19.721531144402984,1.7329780872934448,0.09283474009291169,0.10248006361762471,-6.060405508780615,IN-CGE-Immature,combined
PER1,-0.05015250907599377,15.636415604174276,-2.1149791411773102,0.04240082122577305,0.10248006361762471,-4.0744124814229465,IN-CGE-Immature,combined
TSC22D3,-0.044596142407362614,16.08614588955218,-1.68165117424101,0.10248006361762471,0.10248006361762471,-4.846124246048425,IN-CGE-Immature,combined
MAPK4,-4.5605811486865584e-4,19.635240823725113,-0.09349355689700636,0.926091916248404,0.926091916248404,-7.365362458201951,IN-MGE-Immature,combined
PER1,0.011688243047079116,16.413702328550883,0.6332702778689887,0.5310382475717579,0.7965573713576368,-6.221751580192576,IN-MGE-Immature,combined
TSC22D3,-0.029796983370095294,16.435910943921044,-1.131467108002176,0.2662312098191841,0.7965573713576368,-5.694137204766874,IN-MGE-Immature,combined
MAPK4,8.805823823368771e-4,19.631923491335204,0.1885085641581014,0.8519632837478641,0.8519632837478641,-7.39149671513675,IN-MGE-SST,combined
PER1,-0.009393691310961192,16.42700798063603,-0.42323896490237894,0.675652786304356,0.8519632837478641,-6.242319656101576,IN-MGE-SST,combined
TSC22D3,-0.05836791348033287,16.264220872485676,-2.0709003010497806,0.04858378546616597,0.1457513563984979,-4.172228007207893,IN-MGE-SST,combined
MAPK4,3.05593504851005e-4,19.755426759130092,0.07767853652495903,0.9388886945429845,0.9388886945429845,-7.645795385402097,IPC-EN,combined
PER1,0.027820511362359985,16.157417724715764,0.7429109451721695,0.4665414249961193,0.9330828499922386,-5.955528749219896,IPC-EN,combined
