gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
NDUFA3,16.148569605496743,5.170528778003985,1.717528462325166,0.10176667667490351,0.8907519733931895,-4.3688603906060335,Astrocyte-Immature,M
RPL38,4.868903615711337,8.310250440998582,0.6440613307833913,0.5270598927882012,0.9847042956862524,-4.875897836329537,Astrocyte-Immature,M
SEC61G,-1.958127637919556,6.640722746338564,-0.39275970698594737,0.6987690435254572,0.9918113977040026,-4.814903947355442,Astrocyte-Immature,M
AEBP1,1.2429140458128862,5.29460309071409,0.1577775808508864,0.8762588640074337,0.9918113977040026,-4.767997875447137,Astrocyte-Immature,M
APLP1,0.14491321441666577,5.742046593176943,0.01857631433822939,0.9853683737814711,0.9964403021696755,-4.789357345321208,Astrocyte-Immature,M
ATF5,11.71530591326394,3.458692172715849,1.4938455748253716,0.15126523771576011,0.954462391960586,-4.473387097631063,Astrocyte-Immature,M
ATP1B1,-2.8695252705389005,8.404368825990826,-0.7424708524959877,0.46667665490658605,0.9847042956862524,-4.84259314520505,Astrocyte-Immature,M
BAG3,-1.684213983691288,4.82555080005751,-0.2501113567948009,0.8051244701127376,0.9918113977040026,-4.749812575716258,Astrocyte-Immature,M
CALM2,-1.7630635923296842,9.165098570248908,-0.5458831438149847,0.5913541358575612,0.9847042956862524,-4.976900235948413,Astrocyte-Immature,M
CD24,4.564419056715683,6.032959648702723,0.7585319366152053,0.4572281871393501,0.9847042956862524,-4.70258639378788,Astrocyte-Immature,M
CEBPG,6.407123979685248,5.562215939521709,1.2514969104721618,0.22559924205384935,0.954462391960586,-4.541727332730604,Astrocyte-Immature,M
CRYAB,3.084749012718573,5.02253321679543,0.29534508452913144,0.7708605937294917,0.9918113977040026,-4.748706832055686,Astrocyte-Immature,M
CSTF3,-3.1608737639066087,9.32384100075912,-1.581711178412941,0.12984394451163225,0.9541934041244596,-4.32990595645638,Astrocyte-Immature,M
DBX2,22.45189651802021,5.59789084228571,2.9495923323892335,0.008088588330170418,0.8208669210660385,-3.7303246589043546,Astrocyte-Immature,M
DNAJC7,1.3933227217594457,7.598175555706869,0.3775216479298135,0.7098747784668831,0.9918113977040026,-4.8882517260284155,Astrocyte-Immature,M
DUSP14,4.245108933809731,4.149706626771771,0.5193816703683815,0.609355953923763,0.9847042956862524,-4.7075678269200045,Astrocyte-Immature,M
EIF1,1.7808527789481585,7.381271186723633,0.2495101178829296,0.8055828031772063,0.9918113977040026,-4.889559081518516,Astrocyte-Immature,M
EIF4G2,0.4529234066350542,8.28857347366847,0.13596420586082736,0.8932472107823596,0.9918113977040026,-4.985405070171122,Astrocyte-Immature,M
ENO1,-5.128475066351849,7.5367303653501265,-0.8957322622098544,0.3813500042892194,0.9847042956862524,-4.724276501859368,Astrocyte-Immature,M
FAM135B,3.921094454160817,7.66833749331894,0.705982014707329,0.4885716216819611,0.9847042956862524,-4.804492296116563,Astrocyte-Immature,M
GLRB,-2.383624333574473,6.874177053990612,-0.48177997901646274,0.6353397189092782,0.9847042956862524,-4.8108060038381195,Astrocyte-Immature,M
GNB1,-1.175915577480997,9.686192967269958,-0.5989585058174492,0.556114459406287,0.9847042956862524,-4.9948306342591025,Astrocyte-Immature,M
HINT1,2.186772078641723,7.901730457534062,0.4647745159743498,0.6472547648289934,0.9847042956862524,-4.895575268982422,Astrocyte-Immature,M
HMGB2,-7.729272300486318,5.2916170853072835,-1.2327084232607997,0.2323800879032389,0.954462391960586,-4.548405236877933,Astrocyte-Immature,M
HOPX,13.67090271674625,9.005367954343695,2.461698096799334,0.023322043457155307,0.8907519733931895,-3.4652302159774706,Astrocyte-Immature,M
HSPA1B,2.238269183187769,8.37811937401306,0.23317273514720865,0.8180640697389222,0.9918113977040026,-4.984994061704459,Astrocyte-Immature,M
HSPA5,1.6163899025860609,7.557947809001452,0.26782555451436213,0.7916537792545475,0.9918113977040026,-4.902950908428034,Astrocyte-Immature,M
HSPB1,2.181705316964858,7.94067695334233,0.23440107508714575,0.8171238776884773,0.9918113977040026,-4.942078406379123,Astrocyte-Immature,M
HSPH1,1.3924601157279919,7.843787761139245,0.21376662262797783,0.8329543902404157,0.9918113977040026,-4.935696288122537,Astrocyte-Immature,M
IFT81,-3.407859573278693,8.599404290250039,-1.229783180268067,0.23344971871824158,0.954462391960586,-4.588116487482084,Astrocyte-Immature,M
IP6K2,3.4451173957861148,8.097519309418205,1.4147356479979942,0.172959359693991,0.954462391960586,-4.45406395382275,Astrocyte-Immature,M
KCNC4,11.43900907436595,5.782005488474559,1.8231983860696808,0.08368442246813436,0.8907519733931895,-4.298092517162004,Astrocyte-Immature,M
KRCC1,-6.9510344977501015,7.687535566334038,-2.2868909592758544,0.03356778073084705,0.8907519733931895,-3.8074545133452262,Astrocyte-Immature,M
LARS2,1.7932101177394997,8.144096537049075,0.6104276874607659,0.5486468476125929,0.9847042956862524,-4.873825704126818,Astrocyte-Immature,M
LMO4,8.695433606897824,8.460800098213628,2.0536545482490953,0.053704561429828504,0.8907519733931895,-3.927345276405359,Astrocyte-Immature,M
MERTK,-4.0488842951568556,6.567473638309943,-0.6766642159254672,0.5065887340424481,0.9847042956862524,-4.748602385732412,Astrocyte-Immature,M
MIF,7.976865904141574,6.478969506216601,0.9055687983481666,0.3762477944412953,0.9847042956862524,-4.6730391956501,Astrocyte-Immature,M
MT-CYB,6.086840795443006,6.677602433530014,1.3915059893885415,0.1797866026760771,0.954462391960586,-4.474699050428221,Astrocyte-Immature,M
MT-ND2,0.863675678498425,5.661618942009514,0.19895126275251104,0.8443662301026911,0.9918113977040026,-4.779515911034898,Astrocyte-Immature,M
MT-ND3,1.193918129741613,6.294733759801358,0.19962738245032102,0.8438446459628183,0.9918113977040026,-4.811073970397936,Astrocyte-Immature,M
NCAPG2,-1.6200621755659539,6.667792643413333,-0.3526704384087671,0.7281291835318825,0.9918113977040026,-4.818301088917679,Astrocyte-Immature,M
NDUFA13,2.8434286154861033,7.179862933436384,0.5107645204927167,0.6152655767060939,0.9847042956862524,-4.824624145126553,Astrocyte-Immature,M
NDUFV3,0.08511615449332495,7.273603587524078,0.020223852664057577,0.9840708693358147,0.9964403021696755,-4.893717836960882,Astrocyte-Immature,M
PDE10A,4.785357658171824,9.672065858368798,1.6851616720746057,0.10793848234584634,0.9059727530470579,-4.236188370045193,Astrocyte-Immature,M
PDE6D,1.4316665585991122,7.664830910304623,0.35811201894667555,0.7241173726635817,0.9918113977040026,-4.897332272981386,Astrocyte-Immature,M
PGAP1,-1.6737871940433664,10.447566998556809,-0.5967593837308742,0.5575524040162793,0.9847042956862524,-5.041709856838226,Astrocyte-Immature,M
PLEKHB1,-1.0023440966165706,4.304912319448411,-0.19202841739715223,0.849710967017632,0.9918113977040026,-4.742517584158624,Astrocyte-Immature,M
PPP1R14B,5.042787527741087,6.2220739509430105,0.8299416704676541,0.4166443953628205,0.9847042956862524,-4.688591422690222,Astrocyte-Immature,M
PPP1R15A,19.168647825139995,4.636513284432896,3.1317809286440474,0.005380915101585681,0.7054977577634559,-3.771795050672719,Astrocyte-Immature,M
PRRC2B,-1.292009229890523,9.318250992681136,-0.6717508347794552,0.5096447288041981,0.9847042956862524,-4.939159504041058,Astrocyte-Immature,M
PTP4A3,6.830932446290702,4.1451738097570585,1.1176870129433585,0.27731921653058106,0.9714675058936736,-4.583756272428913,Astrocyte-Immature,M
RPL27,-3.590510225959721,7.459844975300429,-0.48990329093055107,0.629683524285046,0.9847042956862524,-4.85573280621578,Astrocyte-Immature,M
RPL32,7.374640756642402,8.590952003079337,1.0907257263403243,0.2887245047428412,0.9775521440926358,-4.6778115551528945,Astrocyte-Immature,M
RPL34,0.9878373937874084,9.160078567144422,0.16667541826297486,0.8693463225803626,0.9918113977040026,-5.06447865998687,Astrocyte-Immature,M
