gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
NDUFA3,15.760377726574927,5.170528778003985,1.4490547582639115,0.16420030867766264,0.991988351524497,-4.594992740040161,Astrocyte-Immature,M
RPL38,7.543418361043037,8.310250440998582,0.8778873603186115,0.39135693332043375,0.991988351524497,-4.595206046045745,Astrocyte-Immature,M
SEC61G,-1.6992305631222515,6.640722746338564,-0.2713582014330862,0.7891453505322601,0.991988351524497,-4.5952778018978755,Astrocyte-Immature,M
AEBP1,-1.5152634604953796,5.29460309071409,-0.16208225093680145,0.8730128423468957,0.991988351524497,-4.595240418135572,Astrocyte-Immature,M
APLP1,-5.370377571980893,5.742046593176943,-0.6037092385199722,0.5534289936082573,0.991988351524497,-4.595203587883807,Astrocyte-Immature,M
ATF5,12.067725365294537,3.458692172715849,1.331751163801613,0.1992521571239873,0.991988351524497,-4.59504640261489,Astrocyte-Immature,M
ATP1B1,-6.040147943915653,8.404368825990826,-1.2481755133139358,0.22766214685727862,0.991988351524497,-4.5949728680957325,Astrocyte-Immature,M
BAG3,-7.0837251030648325,4.82555080005751,-0.8957438112888743,0.38199231166604997,0.991988351524497,-4.595141554157262,Astrocyte-Immature,M
CALM2,-1.405144669009697,9.165098570248908,-0.35523535840967185,0.7264645686297302,0.991988351524497,-4.595509465566602,Astrocyte-Immature,M
CD24,0.6540954119973867,6.032959648702723,0.08967944783718923,0.9295137409464223,0.991988351524497,-4.595263199244675,Astrocyte-Immature,M
CEBPG,7.039423001861326,5.562215939521709,1.1646214535694446,0.2590932615419593,0.991988351524497,-4.5950751620765224,Astrocyte-Immature,M
CRYAB,10.662956869720059,5.02253321679543,0.9307699373263857,0.364059494236217,0.991988351524497,-4.59513649002857,Astrocyte-Immature,M
CSTF3,-2.125532405651594,9.32384100075912,-0.8761870896200873,0.3922564363848178,0.991988351524497,-4.595222274163276,Astrocyte-Immature,M
DBX2,18.633483506213004,5.59789084228571,2.1511198642782183,0.04502671461982237,0.991988351524497,-4.594698088366596,Astrocyte-Immature,M
DNAJC7,0.7639753322460382,7.598175555706869,0.1626064644551351,0.8726059284736642,0.991988351524497,-4.5953532068398415,Astrocyte-Immature,M
DUSP14,10.317828734407433,4.149706626771771,1.141779519485141,0.2682296499586284,0.991988351524497,-4.59508836390314,Astrocyte-Immature,M
EIF1,0.8613031384868101,7.381271186723633,0.09535861826823118,0.9250638468761612,0.991988351524497,-4.595343375938177,Astrocyte-Immature,M
EIF4G2,0.2814602950370193,8.28857347366847,0.0681868594336294,0.9463745541241193,0.994185876496587,-4.595445707794207,Astrocyte-Immature,M
ENO1,-9.536612732860922,7.5367303653501265,-1.284488605018558,0.21495412688425614,0.991988351524497,-4.594986935010462,Astrocyte-Immature,M
FAM135B,7.085372740870059,7.66833749331894,1.1295730789719038,0.2732093172322226,0.991988351524497,-4.5950414682703435,Astrocyte-Immature,M
GLRB,-2.251999770951758,6.874177053990612,-0.3617029551615157,0.7217063388280076,0.991988351524497,-4.595281021662762,Astrocyte-Immature,M
GNB1,-1.8940812428823819,9.686192967269958,-0.7838641308163342,0.44312302522928815,0.991988351524497,-4.595304719310228,Astrocyte-Immature,M
HINT1,0.9199848866680441,7.901730457534062,0.1558341015680404,0.8778656574884061,0.991988351524497,-4.5953899767147455,Astrocyte-Immature,M
HMGB2,-7.993195116301806,5.2916170853072835,-1.038034921762237,0.31274222072945573,0.991988351524497,-4.59511076461014,Astrocyte-Immature,M
