gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
ENSG00000238009,0.1927704953227673,-0.17120693039872378,0.08095095721345122,0.9361660344965,0.9999956062647433,-4.600149531228848,Excitatory neuron,M
ENSG00000241860,0.5846144339830615,0.6921415615015281,0.2915659293071475,0.7731752181131943,0.9999956062647433,-4.6011445100727295,Excitatory neuron,M
ENSG00000241599,-1.6861317371074283,-3.398383920308707,-0.2855583013182844,0.7777168233747143,0.9999956062647433,-4.596986832909246,Excitatory neuron,M
ENSG00000290385,-0.2944976630794232,0.0013124698299137524,-0.13564044191611713,0.8932600457464768,0.9999956062647433,-4.6003533009452875,Excitatory neuron,M
ENSG00000291215,-2.4211290705050725,1.6183119254484604,-0.9977754079849936,0.3285460407735221,0.9999956062647433,-4.595235145276314,Excitatory neuron,M
ENSG00000229905,2.261321092999933,-2.5542831730917093,0.44924158285204635,0.6573707890548712,0.9999956062647433,-4.597084008043849,Excitatory neuron,M
LINC01409,-0.27414627994889584,4.215083481596639,-0.19812787728899392,0.8446479409833462,0.9999956062647433,-4.615856965977062,Excitatory neuron,M
ENSG00000290784,-0.4500796532596737,2.1995447932352756,-0.26438014290401773,0.7937905173268848,0.9999956062647433,-4.60523110752354,Excitatory neuron,M
FAM87B,0.7865663532846794,-1.986113132783856,0.17021608005451008,0.8662962791654981,0.9999956062647433,-4.597949849258476,Excitatory neuron,M
LINC00115,1.158940439475412,2.4913469160792108,0.7324961719831815,0.47110485447776707,0.9999956062647433,-4.60062796518249,Excitatory neuron,M
LINC01128,-1.591749086747045,4.434631982807317,-1.5839078079179505,0.12657308905461506,0.9999956062647433,-4.564689815992508,Excitatory neuron,M
ENSG00000288531,-4.934796293459364,-0.2553603203488914,-2.198899140411131,0.03797548477347402,0.9999956062647433,-4.579198455630501,Excitatory neuron,M
FAM41C,-4.916022308808825,-1.9244450663864354,-1.4380414648955266,0.16359912211601976,0.9999956062647433,-4.592133837801229,Excitatory neuron,M
ENSG00000272438,-1.7954891183943906,1.2941974477171962,-0.7100047778643223,0.48468347926861044,0.9999956062647433,-4.599075728309349,Excitatory neuron,M
ENSG00000230699,2.5206576107552627,-0.3318445741929303,0.7625405727229716,0.4533195098789664,0.9999956062647433,-4.5970872649752055,Excitatory neuron,M
ENSG00000241180,-9.29347515447507,-3.491686682951691,-1.6881102389857439,0.10461110820321193,0.9999956062647433,-4.5916937764524395,Excitatory neuron,M
SAMD11,0.015891492460055227,-1.6577485393264002,0.00482100609855333,0.9961940770246662,0.9999956062647433,-4.598350037609537,Excitatory neuron,M
NOC2L,-1.6104699051208586,3.594274919555388,-0.9191053129240278,0.36737326239759127,0.9999956062647433,-4.5980416519269856,Excitatory neuron,M
KLHL17,-1.7240095348600135,1.2197951693760634,-0.719774996205487,0.4787573591714247,0.9999956062647433,-4.598886601032456,Excitatory neuron,M
PLEKHN1,2.2712431133056796,-1.9892676740851685,0.5079550133066271,0.6162169556063022,0.9999956062647433,-4.597255144307038,Excitatory neuron,M
PERM1,7.121051357483378,-2.8262287067925915,1.5345513080245472,0.13824072929353204,0.9999956062647433,-4.592311145936043,Excitatory neuron,M
ENSG00000272512,-0.5323565885506103,-0.95479215819664,-0.12693559268963464,0.900070613322552,0.9999956062647433,-4.5990632165427465,Excitatory neuron,M
HES4,-3.0409660312738795,4.853717104290908,-0.9310611274249985,0.36128333357685405,0.9999956062647433,-4.599077594162787,Excitatory neuron,M
ISG15,0.011335993622658852,1.4156455398119492,0.004421255709044598,0.9965096560466877,0.9999956062647433,-4.603477420981497,Excitatory neuron,M
ENSG00000224969,1.3355830628103527,-1.0559372671042644,0.41417366880251055,0.6825007005560605,0.9999956062647433,-4.598267945739201,Excitatory neuron,M
AGRN,-2.934331527069311,3.2689064242171733,-1.667405963858363,0.10869908304705819,0.9999956062647433,-4.5700410437495025,Excitatory neuron,M
ENSG00000291156,-5.437292413518988,0.4127886875889717,-1.5059942293007555,0.1453853726859916,0.9999956062647433,-4.58807723181355,Excitatory neuron,M
C1orf159,0.1276938937405234,4.985296203649493,0.10873897528260314,0.91433214130926,0.9999956062647433,-4.621666147849501,Excitatory neuron,M
ENSG00000285812,1.753791898472504,2.1202362306807854,0.7904343444063441,0.43717391928072546,0.9999956062647433,-4.599019405068603,Excitatory neuron,M
LINC01342,-14.54652066432247,-1.4023566830840732,-2.169793993604086,0.04036271945700957,0.9999956062647433,-4.583677816543705,Excitatory neuron,M
TTLL10-AS1,-2.7822190784658343,-3.8690587069329183,-0.38457091902518487,0.7040115229776442,0.9999956062647433,-4.5966909390503545,Excitatory neuron,M
TTLL10,-4.977814684349291,-3.2250504029620823,-0.8016081240910674,0.43080632619263604,0.9999956062647433,-4.595876118281683,Excitatory neuron,M
TNFRSF4,3.4358464929619124,-3.5791391242715536,0.6030592748480689,0.5522421334856217,0.9999956062647433,-4.596331494111525,Excitatory neuron,M
SDF4,-1.511029962609245,4.201787605522827,-0.977420926367223,0.33831030112757887,0.9999956062647433,-4.596483177032031,Excitatory neuron,M
B3GALT6,-2.071549343575987,2.629616660839696,-0.5485519127861632,0.5884840495680419,0.9999956062647433,-4.603975049300504,Excitatory neuron,M
C1QTNF12,4.671241512537728,-3.5209299613507703,0.9319546150282643,0.36083093946276,0.9999956062647433,-4.595369182840136,Excitatory neuron,M
ENSG00000260179,1.095652375863591,-3.3056442736369993,0.24022199415518675,0.8122400963396001,0.9999956062647433,-4.597053343490593,Excitatory neuron,M
UBE2J2,-1.289108396698023,3.5322862866053453,-0.77997545012646,0.44318610774883016,0.9999956062647433,-4.601955462761436,Excitatory neuron,M
LINC01786,-0.9901099420076782,0.7414582034612538,-0.36048205580076303,0.7217047537447596,0.9999956062647433,-4.600935091338373,Excitatory neuron,M
SCNN1D,-2.19645774846558,0.29956495913147774,-0.6751049030914252,0.5061939447416359,0.9999956062647433,-4.598274741951831,Excitatory neuron,M
ACAP3,0.5790839308146384,4.916947763996415,0.41784494806515055,0.679851552438241,0.9999956062647433,-4.616852740106334,Excitatory neuron,M
PUSL1,-1.9963385963269922,-0.5576980324873434,-0.5472266204477215,0.5893796409205725,0.9999956062647433,-4.598272904856149,Excitatory neuron,M
INTS11,-0.6289952968295592,3.3532796486321277,-0.323424700201966,0.7492324819889759,0.9999956062647433,-4.6097396220896485,Excitatory neuron,M
ENSG00000240731,2.4698252335932387,-3.1581746765297334,0.43450474828800417,0.6678832910363435,0.9999956062647433,-4.596832922976995,Excitatory neuron,M
CPTP,-1.7260406042809804,0.9752548856128035,-0.533937072011872,0.5983971056822046,0.9999956062647433,-4.600270135587915,Excitatory neuron,M
TAS1R3,-2.9675402360644467,-2.2480868909604528,-0.6160293593461111,0.5437930092509946,0.9999956062647433,-4.596810111410566,Excitatory neuron,M
DVL1,-1.0098710793235646,2.382674807542023,-0.4666796530097847,0.6450241147440351,0.9999956062647433,-4.604222425964641,Excitatory neuron,M
MXRA8,1.0882426320268854,-0.8073606338126801,0.252460071980167,0.8028792610223391,0.9999956062647433,-4.598982490058762,Excitatory neuron,M
AURKAIP1,-4.20951150764582,3.160020787165041,-0.9094957222653176,0.37231718897590005,0.9999956062647433,-4.59793010383021,Excitatory neuron,M
CCNL2,-0.8458883038691651,5.938352847471493,-0.6160166230173796,0.5438012724032588,0.9999956062647433,-4.616321096987699,Excitatory neuron,M
MRPL20-AS1,-1.6406230213275133,0.7144613088876884,-0.45141746239537006,0.6558246584707509,0.9999956062647433,-4.600408736647304,Excitatory neuron,M
MRPL20,-3.1041056476261315,4.3170616462016564,-1.0488337608271303,0.3049158446002403,0.9999956062647433,-4.593492020141502,Excitatory neuron,M
MRPL20-DT,-2.2355774212055226,-0.7940044318516604,-0.5537776861136205,0.584959173772625,0.9999956062647433,-4.598032821605875,Excitatory neuron,M
ANKRD65,-11.183775069370945,-1.6291161737717637,-2.3408297023229783,0.02806899694400386,0.9999956062647433,-4.5827023804473646,Excitatory neuron,M
TMEM88B,-9.387336969323227,-2.594927982706988,-2.376297189699311,0.02599462468917159,0.9999956062647433,-4.585345948738491,Excitatory neuron,M
VWA1,-6.011742584783103,-1.1018811248186946,-1.296225268576806,0.20747632603423571,0.9999956062647433,-4.592662555200501,Excitatory neuron,M
ATAD3C,1.1990525048533471,-0.19434757316669574,0.5151594519832686,0.6112509332298294,0.9999956062647433,-4.5987622609331105,Excitatory neuron,M
ATAD3B,-1.5770154600138844,2.581785319437074,-0.9958217690554614,0.3294746995321757,0.9999956062647433,-4.595368205207391,Excitatory neuron,M
ENSG00000290916,-2.5376079266693266,-2.125756676228208,-0.5202343416995309,0.6077641829490075,0.9999956062647433,-4.5971678680227415,Excitatory neuron,M
ATAD3A,0.0473185766723921,2.118338947770967,0.02347619764686026,0.9814685143333677,0.9999956062647433,-4.605679637784892,Excitatory neuron,M
TMEM240,-2.768965870150038,2.53580288788613,-0.9262420170995561,0.36372989083989027,0.9999956062647433,-4.596954926502591,Excitatory neuron,M
SSU72,-1.4490538535332416,4.4276288960590025,-0.6338057309598011,0.5323251374742244,0.9999956062647433,-4.6089376796050106,Excitatory neuron,M
ENSG00000215014,-1.4580497605517377,0.15637553731186082,-0.46130270296606224,0.648820271441706,0.9999956062647433,-4.599524078619723,Excitatory neuron,M
FNDC10,-2.6847795518686177,-0.3215868696236295,-0.5344867896498952,0.5980227820885592,0.9999956062647433,-4.598583916716173,Excitatory neuron,M
ENSG00000286989,-0.6094316677363796,-0.5564375002550893,-0.15369838419266182,0.8791590289117411,0.9999956062647433,-4.599528701279597,Excitatory neuron,M
ENSG00000272106,-1.3431600933831018,1.1178505874835634,-0.39589151390196253,0.6957543966452566,0.9999956062647433,-4.601504745676537,Excitatory neuron,M
MIB2,-0.5001229399266611,2.4917833872078887,-0.22635670680841966,0.8228801344881838,0.9999956062647433,-4.606576883385794,Excitatory neuron,M
MMP23B,1.716224882342881,-2.411075392691067,0.3661616373058019,0.7175183568118354,0.9999956062647433,-4.597336842528778,Excitatory neuron,M
CDK11B,-2.1899936502770676,3.92556442006531,-0.9180727599897806,0.36790239133862235,0.9999956062647433,-4.598452390342148,Excitatory neuron,M
ENSG00000272004,-4.431544606074539,-0.7343334151898957,-1.4986636470982493,0.14726719427405757,0.9999956062647433,-4.590189534589841,Excitatory neuron,M
SLC35E2B,-1.0933094521919933,5.452855018828988,-0.9358651471259352,0.3588553982976398,0.9999956062647433,-4.599523728758941,Excitatory neuron,M
CDK11A,-3.190645557393666,3.7980390154321246,-1.173024055916995,0.2525324619305438,0.9999956062647433,-4.588767256352932,Excitatory neuron,M
ENSG00000290854,-1.1507344423863364,4.525480281965753,-0.7029149574017335,0.4890101838174318,0.9999956062647433,-4.607212690081475,Excitatory neuron,M
NADK,-0.4643693165572907,3.0130308039466747,-0.28181572483718076,0.7805502161031684,0.9999956062647433,-4.608448498335242,Excitatory neuron,M
GNB1,-0.40868767571995757,7.74392300223901,-0.539390989957308,0.5946883479737826,0.9999956062647433,-4.6299836124061695,Excitatory neuron,M
GNB1-DT,3.629056710226975,-2.152107226969898,0.6878470226300318,0.4982788690860315,0.9999956062647433,-4.596552316903805,Excitatory neuron,M
CALML6,-1.8272906331481686,-3.5142391301789977,-0.3456709141010739,0.7326635322473336,0.9999956062647433,-4.59686714581571,Excitatory neuron,M
TMEM52,-3.9810399636624467,0.05891519693518746,-0.95507993111114,0.3492537856012303,0.9999956062647433,-4.595611984533378,Excitatory neuron,M
CFAP74,2.0602470556874355,-0.5255336065328073,0.5274739870335857,0.6028065322193173,0.9999956062647433,-4.598342155184226,Excitatory neuron,M
GABRD,-4.519226126427369,-1.3435720935082018,-0.8684395759965247,0.39393128796563026,0.9999956062647433,-4.5959864510248405,Excitatory neuron,M
PRKCZ,-0.9454673464424302,4.805406516418931,-0.7350718503258665,0.4695642278880612,0.9999956062647433,-4.606987729759052,Excitatory neuron,M
ENSG00000271806,-0.6898425071886022,-0.3769015839248853,-0.23979334488774004,0.8125684952142922,0.9999956062647433,-4.599586872765654,Excitatory neuron,M
PRKCZ-AS1,-3.3715720349832288,-1.4929170489956822,-1.084859119577182,0.288982022432381,0.9999956062647433,-4.594553505144935,Excitatory neuron,M
FAAP20,-1.7453608445457016,4.251207111722296,-0.6790659961533123,0.5037258939637457,0.9999956062647433,-4.606949018417713,Excitatory neuron,M
ENSG00000234396,1.7685198595204956,-0.48501753017743754,0.4937195591631214,0.6260844799465595,0.9999956062647433,-4.598535972242484,Excitatory neuron,M
SKI,0.014374571022615378,5.20676709260426,0.009081857568699477,0.9928304395585001,0.9999956062647433,-4.6236037848052876,Excitatory neuron,M
ENSG00000287356,0.6489496551861358,-1.0844516941280051,0.1748175368837695,0.8627195529164373,0.9999956062647433,-4.598808644576187,Excitatory neuron,M
MORN1,-0.04819127791488922,2.9743766239660525,-0.030099706970513077,0.9762415571232046,0.9999956062647433,-4.60934524215879,Excitatory neuron,M
ENSG00000272420,-0.9984108744233314,-0.6469938351449779,-0.36654666266576197,0.7172348811075637,0.9999956062647433,-4.598897160116235,Excitatory neuron,M
RER1,-0.8762512878542899,3.825131603920193,-0.5227269435589111,0.6060550833195493,0.9999956062647433,-4.609024088082664,Excitatory neuron,M
PEX10,-0.32551784821981705,2.9122811271488263,-0.16328796936809364,0.8716870006749224,0.9999956062647433,-4.608670918934009,Excitatory neuron,M
PLCH2,3.7318700199220056,1.992161722489711,1.4455241417123441,0.16150768739379645,0.9999956062647433,-4.585246615553074,Excitatory neuron,M
PANK4,-2.8239456727935037,1.6871574606797048,-1.2339391483702256,0.2294170442691046,0.9999956062647433,-4.5906662906008915,Excitatory neuron,M
HES5,-0.1846613996245502,-0.8132547914015776,-0.047233139741808275,0.9627262950000393,0.9999956062647433,-4.599247375829795,Excitatory neuron,M
ENSG00000272449,0.496888981095221,-1.061612158677473,0.10362998477520347,0.9183417943994598,0.9999956062647433,-4.59890261606159,Excitatory neuron,M
TNFRSF14,-3.779883870227073,-2.1527656190374067,-0.9618250710286799,0.3459247924403295,0.9999956062647433,-4.595331477978497,Excitatory neuron,M
PRXL2B,-0.31557659564665014,1.13550961777465,-0.08074624613708574,0.9363270938194956,0.9999956062647433,-4.60269210071695,Excitatory neuron,M
MMEL1,3.8035840554948446,0.18851567094718388,1.0144130251304282,0.32071064292400875,0.9999956062647433,-4.59499530906451,Excitatory neuron,M
MMEL1-AS1,2.47847720244632,-3.381118678433245,0.5479752092615119,0.5888736856057806,0.9999956062647433,-4.596515992866949,Excitatory neuron,M
TTC34,3.937637188490992,0.6839198953957567,0.910348009044485,0.3718769388481359,0.9999956062647433,-4.596229076384996,Excitatory neuron,M
ENSG00000285945,11.576582959756536,-2.809994547426976,1.835465595490401,0.07911697002117067,0.9999956062647433,-4.590335450398258,Excitatory neuron,M
PRDM16-DT,-4.1259525899147205,0.17832843398120626,-0.7886063011160395,0.4382211322995785,0.9999956062647433,-4.597241190345435,Excitatory neuron,M
PRDM16,-4.321486251123683,2.8821166062110333,-1.039053261086505,0.30934699804876126,0.9999956062647433,-4.594249329458196,Excitatory neuron,M
ENSG00000287828,-6.276735520251346,-2.235001377114995,-0.9749157893031006,0.33952562351249727,0.9999956062647433,-4.595259149946829,Excitatory neuron,M
ENSG00000286518,-1.9530112915845284,-3.2772415050865713,-0.3402590678258337,0.7366824326386849,0.9999956062647433,-4.59696814609216,Excitatory neuron,M
ARHGEF16,-4.452792680135149,-3.77046873893809,-0.7168746984934765,0.48051212348399563,0.9999956062647433,-4.5960281294657,Excitatory neuron,M
MEGF6,-4.394253841397154,2.4054135080843375,-2.897125860617758,0.008014066141523436,0.9999956062647433,-4.530434664500191,Excitatory neuron,M
ENSG00000238260,-1.8626382835490498,0.37930816550110436,-0.6508699954605034,0.5214404996946027,0.9999956062647433,-4.5985527556860335,Excitatory neuron,M
TPRG1L,1.3316974986466346,1.677063347467235,0.43638954518250245,0.6665348390961833,0.9999956062647433,-4.602418004929385,Excitatory neuron,M
WRAP73,-0.7211171358240126,2.98796788745666,-0.4995818666316147,0.6220121475503009,0.9999956062647433,-4.605906986874349,Excitatory neuron,M
TP73,-0.14471137544323143,-1.6622174742079299,-0.03594290917655916,0.9716312750572422,0.9999956062647433,-4.598336937844385,Excitatory neuron,M
CCDC27,0.4314412970330264,-1.9070407825026447,0.09767260267833362,0.9230200716031707,0.9999956062647433,-4.598072611267657,Excitatory neuron,M
SMIM1,-9.407368802261294,-3.1911212338934316,-1.7507237581024075,0.09303145431399824,0.9999956062647433,-4.591059607993908,Excitatory neuron,M
LRRC47,-0.9014272711918098,3.1883331282840435,-0.5112524755324557,0.6139416720148738,0.9999956062647433,-4.606438820927462,Excitatory neuron,M
CEP104,-0.04496893159562192,5.1036959612518995,-0.05227206278187945,0.958753455897162,0.9999956062647433,-4.62277322058017,Excitatory neuron,M
DFFB,-0.0266214489368034,3.4228866694673776,-0.019440157580558476,0.9846539951360157,0.9999956062647433,-4.61183436088277,Excitatory neuron,M
C1orf174,-0.5236900985336888,2.1640798005436954,-0.23923543834684585,0.8129959738774348,0.9999956062647433,-4.605296548477553,Excitatory neuron,M
LINC01134,-4.64606299681867,-2.368275373230572,-1.056954941977098,0.30127069147001023,0.9999956062647433,-4.594830299327806,Excitatory neuron,M
LINC02780,1.3305969354112013,-3.242147905364371,0.2656787821337066,0.7928021120675884,0.9999956062647433,-4.5970561191087,Excitatory neuron,M
