gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
ENSG00000238009,-0.07329369066128234,-0.17120693039872378,-0.02994147784014896,0.9763782827770147,0.9999944601262096,-4.600359269212982,Excitatory neuron,M
ENSG00000241860,0.33743682169718514,0.6921415615015281,0.16421276579420993,0.8710329705143611,0.9999944601262096,-4.601840229938505,Excitatory neuron,M
ENSG00000241599,-2.8261494525293545,-3.398383920308707,-0.47176806097728796,0.6416447753008593,0.9999944601262096,-4.5966773066089015,Excitatory neuron,M
ENSG00000290385,-0.5329011625009151,0.0013124698299137524,-0.23720246632351574,0.8146506693444582,0.9999944601262096,-4.60034211417236,Excitatory neuron,M
ENSG00000291215,-1.6880231856341685,1.6183119254484604,-0.726532800871571,0.4750190684487091,0.9999944601262096,-4.599714196899849,Excitatory neuron,M
ENSG00000229905,2.388754390271595,-2.5542831730917093,0.45769478353816057,0.6515701144642141,0.9999944601262096,-4.5971429497696805,Excitatory neuron,M
LINC01409,-0.13806461345185683,4.215083481596639,-0.09696148255470056,0.9236173015302165,0.9999944601262096,-4.618053375557683,Excitatory neuron,M
ENSG00000290784,-0.5834496700643897,2.1995447932352756,-0.33230672324681126,0.742740095418585,0.9999944601262096,-4.605335354187236,Excitatory neuron,M
FAM87B,1.012323267557439,-1.986113132783856,0.21176974309711802,0.8341972089380749,0.9999944601262096,-4.598020140792533,Excitatory neuron,M
LINC00115,1.0621139921837646,2.4913469160792108,0.6495800645111801,0.522554087485194,0.9999944601262096,-4.602426294254064,Excitatory neuron,M
LINC01128,-1.3065412230636808,4.434631982807317,-1.33004434556648,0.19685735388016412,0.9999944601262096,-4.578314306545076,Excitatory neuron,M
ENSG00000288531,-5.349365246754899,-0.2553603203488914,-2.282988010857978,0.03224216314883289,0.9999944601262096,-4.5776984316740705,Excitatory neuron,M
FAM41C,-6.23064154059293,-1.9244450663864354,-1.7944007362211187,0.08622671138030595,0.9999944601262096,-4.5893186291558505,Excitatory neuron,M
ENSG00000272438,-1.3834650970723974,1.2941974477171962,-0.5370984869067374,0.5964826441081095,0.9999944601262096,-4.601159314747288,Excitatory neuron,M
ENSG00000230699,1.8597246317256801,-0.3318445741929303,0.5374468163198082,0.5962460305684509,0.9999944601262096,-4.5985683307521965,Excitatory neuron,M
ENSG00000241180,-10.659104761337943,-3.491686682951691,-1.8500421918776626,0.07751272832220724,0.9999944601262096,-4.590894706322845,Excitatory neuron,M
SAMD11,-0.2630961544995425,-1.6577485393264002,-0.0767065464989588,0.9395364283386842,0.9999944601262096,-4.598424306263246,Excitatory neuron,M
