gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
ENSG00000238009,-0.06930178619532815,-0.17120693039872378,-0.02777959304056357,0.978093617319105,0.9999848863899428,-4.6004245487707545,Excitatory neuron,M
ENSG00000241860,0.3301590031895387,0.6921415615015281,0.15832350484797716,0.875676265544076,0.9999848863899428,-4.601985552658891,Excitatory neuron,M
ENSG00000241599,-2.4531063627911696,-3.398383920308707,-0.4006859056510492,0.6925965350077835,0.9999848863899428,-4.596785216124064,Excitatory neuron,M
ENSG00000290385,-0.5848944936050163,0.0013124698299137524,-0.26461354997810377,0.7938217699813553,0.9999848863899428,-4.600416956407274,Excitatory neuron,M
ENSG00000291215,-1.6988926748583717,1.6183119254484604,-0.7155440081430392,0.48195519945419374,0.9999848863899428,-4.599942214894702,Excitatory neuron,M
ENSG00000229905,2.3399351442190732,-2.5542831730917093,0.44918690585133636,0.6577820810830739,0.9999848863899428,-4.5972124055246715,Excitatory neuron,M
LINC01409,-0.1566195889637717,4.215083481596639,-0.10795791245860001,0.915028004918005,0.9999848863899428,-4.618332063342568,Excitatory neuron,M
ENSG00000290784,-0.5877812214338932,2.1995447932352756,-0.32839020148757936,0.74578647407055,0.9999848863899428,-4.605552059711763,Excitatory neuron,M
FAM87B,1.0382087631143069,-1.986113132783856,0.21251209742528537,0.83370499942479,0.9999848863899428,-4.598019508751433,Excitatory neuron,M
LINC00115,1.0666014869372442,2.4913469160792108,0.639758301159179,0.529073636080674,0.9999848863899428,-4.602702065691607,Excitatory neuron,M
LINC01128,-1.3083861082037542,4.434631982807317,-1.3070314150046232,0.20497880718166003,0.9999848863899428,-4.57944300455225,Excitatory neuron,M
ENSG00000288531,-5.319623748452309,-0.2553603203488914,-2.249642285421652,0.035035492981419204,0.9999848863899428,-4.578061373912629,Excitatory neuron,M
FAM41C,-6.1134423184383335,-1.9244450663864354,-1.7266774961559652,0.09853599511368992,0.9999848863899428,-4.589907902624152,Excitatory neuron,M
ENSG00000272438,-1.3724795656696809,1.2941974477171962,-0.5261519968425872,0.6041563807562154,0.9999848863899428,-4.6014059523507,Excitatory neuron,M
ENSG00000230699,1.6424633040728909,-0.3318445741929303,0.507807456627959,0.6167470657771129,0.9999848863899428,-4.598912821059601,Excitatory neuron,M
ENSG00000241180,-10.442496520654748,-3.491686682951691,-1.7998878323254306,0.08589665855396279,0.9999848863899428,-4.591204254869885,Excitatory neuron,M
SAMD11,-0.2552312169562976,-1.6577485393264002,-0.07299922360224012,0.9424801108525114,0.9999848863899428,-4.598450095449386,Excitatory neuron,M
NOC2L,-1.0617454352186475,3.594274919555388,-0.6683344670777482,0.5110164455612569,0.9999848863899428,-4.606136422515858,Excitatory neuron,M
KLHL17,-0.40196199004160144,1.2197951693760634,-0.1789442824920648,0.859653293166704,0.9999848863899428,-4.603630010995773,Excitatory neuron,M
PLEKHN1,2.233624049285524,-1.9892676740851685,0.4945056009719148,0.6259531278555864,0.9999848863899428,-4.597372410739223,Excitatory neuron,M
PERM1,7.179166744652305,-2.8262287067925915,1.5036154748202515,0.1471964079664827,0.9999848863899428,-4.592309053320846,Excitatory neuron,M
ENSG00000272512,-0.5417381397512467,-0.95479215819664,-0.12349746947078652,0.9028578775853308,0.9999848863899428,-4.599182107660503,Excitatory neuron,M
HES4,-0.6998267482658181,4.853717104290908,-0.25107213802795647,0.8041370421841535,0.9999848863899428,-4.623347068958578,Excitatory neuron,M
ISG15,4.947977702479603e-4,1.4156455398119492,1.8685600469940845e-4,0.9998526295895067,0.9999848863899428,-4.604260463986541,Excitatory neuron,M
ENSG00000224969,1.4836203749183585,-1.0559372671042644,0.4437420861175508,0.661652890015616,0.9999848863899428,-4.59829103911096,Excitatory neuron,M
AGRN,-1.9199370038848556,3.2689064242171733,-1.2221587615956537,0.23484870033936817,0.9999848863899428,-4.58717308577299,Excitatory neuron,M
ENSG00000291156,-4.559716517322064,0.4127886875889717,-1.2124966801425605,0.23844890586122575,0.9999848863899428,-4.592290218746231,Excitatory neuron,M
C1orf159,0.5883688271191159,4.985296203649493,0.5492412412566506,0.5884871225290083,0.9999848863899428,-4.6155787525501,Excitatory neuron,M
ENSG00000285812,1.654317770595362,2.1202362306807854,0.7564586756407051,0.4575656044434724,0.9999848863899428,-4.59981283872592,Excitatory neuron,M
LINC01342,-12.609266375931172,-1.4023566830840732,-1.9105354766679483,0.06946159913597721,0.9999848863899428,-4.586690513794402,Excitatory neuron,M
TTLL10-AS1,-5.744899929010988,-3.8690587069329183,-0.8377224479408141,0.41138243747287806,0.9999848863899428,-4.595646894089758,Excitatory neuron,M
TTLL10,-5.087367480403535,-3.2250504029620823,-0.811707252198703,0.42583578392055954,0.9999848863899428,-4.595850699524214,Excitatory neuron,M
TNFRSF4,4.46619327328145,-3.5791391242715536,0.8328724391114913,0.414053098684097,0.9999848863899428,-4.5957667925250565,Excitatory neuron,M
SDF4,-0.9153979675409922,4.201787605522827,-0.6000040307800901,0.5547615002939146,0.9999848863899428,-4.610400059317264,Excitatory neuron,M
B3GALT6,-0.031968068475258564,2.629616660839696,-0.010754826762977125,0.9915180072716815,0.9999848863899428,-4.6108560639855645,Excitatory neuron,M
C1QTNF12,3.8930400068301214,-3.5209299613507703,0.7746676375661768,0.44695373572785546,0.9999848863899428,-4.595915662700197,Excitatory neuron,M
ENSG00000260179,-0.3017938644053486,-3.3056442736369993,-0.06618866467727007,0.9478378889454246,0.9999848863899428,-4.597201927968695,Excitatory neuron,M
UBE2J2,-0.5902859852992581,3.5322862866053453,-0.39982630592748075,0.693220171697552,0.9999848863899428,-4.611648960751607,Excitatory neuron,M
LINC01786,-0.012998976096210296,0.7414582034612538,-0.005126465373007593,0.9959568553895903,0.9999848863899428,-4.602695447489441,Excitatory neuron,M
SCNN1D,-0.5389076311340004,0.29956495913147774,-0.19294284748370774,0.8488106989846822,0.9999848863899428,-4.601522461226248,Excitatory neuron,M
ACAP3,1.309235822878056,4.916947763996415,1.0202618614648176,0.3189231341902823,0.9999848863899428,-4.594809994417091,Excitatory neuron,M
PUSL1,-0.059068987087257094,-0.5576980324873434,-0.0199249730740095,0.9842865730217438,0.9999848863899428,-4.600403039012042,Excitatory neuron,M
INTS11,0.37928654032200004,3.3532796486321277,0.21545352283172753,0.8314400022806958,0.9999848863899428,-4.612571862077841,Excitatory neuron,M
ENSG00000240731,0.5650688310146302,-3.1581746765297334,0.09824779502545503,0.9226437274139023,0.9999848863899428,-4.597133144609937,Excitatory neuron,M
CPTP,-0.13386689661522239,0.9752548856128035,-0.05560586769440905,0.9561681575725278,0.9999848863899428,-4.603860393924432,Excitatory neuron,M
TAS1R3,-3.2404808204271296,-2.2480868909604528,-0.6955534360700967,0.49414228309104025,0.9999848863899428,-4.596588955704155,Excitatory neuron,M
DVL1,0.35210946464315995,2.382674807542023,0.18969907035221303,0.8513205263549879,0.9999848863899428,-4.608123473379304,Excitatory neuron,M
MXRA8,0.6218729050118211,-0.8073606338126801,0.13498637712748635,0.8938756189151408,0.9999848863899428,-4.599226934711743,Excitatory neuron,M
AURKAIP1,-1.3989675373631338,3.160020787165041,-0.39373816861039057,0.6976434453249727,0.9999848863899428,-4.611685768840129,Excitatory neuron,M
CCNL2,-0.5985266511077543,5.938352847471493,-0.4385149232336605,0.6653780997014684,0.9999848863899428,-4.624751455290684,Excitatory neuron,M
MRPL20-AS1,0.21864502122757234,0.7144613088876884,0.08015049728478754,0.9368572999603078,0.9999848863899428,-4.603109563756199,Excitatory neuron,M
MRPL20,-1.5309228066489962,4.3170616462016564,-0.6677212458677019,0.511400289467659,0.9999848863899428,-4.609628314846076,Excitatory neuron,M
MRPL20-DT,-0.7992212334485688,-0.7940044318516604,-0.2023692904081991,0.8415265247832333,0.9999848863899428,-4.599438939358643,Excitatory neuron,M
ANKRD65,-9.950782288301932,-1.6291161737717637,-2.139725327868534,0.04396543904498668,0.9999848863899428,-4.584217220230582,Excitatory neuron,M
TMEM88B,-9.781394188693035,-2.594927982706988,-2.279337656970482,0.03292491018188189,0.9999848863899428,-4.586488329222464,Excitatory neuron,M
VWA1,-3.3316127834800664,-1.1018811248186946,-0.8119493759059389,0.42569981823398306,0.9999848863899428,-4.596607215361852,Excitatory neuron,M
ATAD3C,0.07486104803101312,-0.19434757316669574,0.03395067165728452,0.9732290173354571,0.9999848863899428,-4.6002909678168695,Excitatory neuron,M
ATAD3B,-0.9798611759858749,2.581785319437074,-0.6526072340835457,0.5209116071727947,0.9999848863899428,-4.603023948240103,Excitatory neuron,M
ENSG00000290916,-3.2342886107147266,-2.125756676228208,-0.6537891666584164,0.5201643090838044,0.9999848863899428,-4.5967843297307756,Excitatory neuron,M
ATAD3A,0.7684129621400146,2.118338947770967,0.41871979122284275,0.6795650384739594,0.9999848863899428,-4.604991455770954,Excitatory neuron,M
TMEM240,-0.7491036509404624,2.53580288788613,-0.31538157828828717,0.7555060054734326,0.9999848863899428,-4.608525621985047,Excitatory neuron,M
SSU72,-0.2952575476659453,4.4276288960590025,-0.14863206028305398,0.883226154723129,0.9999848863899428,-4.620863864496695,Excitatory neuron,M
ENSG00000215014,-0.6925533195725387,0.15637553731186082,-0.21522789968480832,0.8316136869321386,0.9999848863899428,-4.600923694440784,Excitatory neuron,M
FNDC10,0.6670618428800821,-0.3215868696236295,0.155724516106728,0.8776997885401617,0.9999848863899428,-4.600913126483248,Excitatory neuron,M
