cell_type,n_hit,n_bg,median_hit,median_bg,delta,W,p,FDR,significant
EN-Non-IT-Immature,86,12993,0.38356,0.81685,-0.43328999999999995,272825.5,1.2914670934174445e-16,1.2914670934174444e-15,TRUE
IN-MGE-SST,124,11086,0.5050950000000001,0.777995,-0.2728999999999999,436000.5,1.1646400415340645e-12,5.823200207670323e-12,TRUE
IN-CGE-Immature,95,10923,0.52698,0.77481,-0.24783,339787.5,3.3041433704254087e-9,1.1013811234751363e-8,TRUE
EN-L6b,68,13417,0.60699,0.82302,-0.21602999999999994,343006,2.0442495171922676e-4,5.110623792980669e-4,TRUE
IN-MGE-Immature,29,11001,0.52926,0.76999,-0.24073,108220.5,0.0013711818457386154,0.0027423636914772308,TRUE
Astrocyte-Immature,31,11648,0.53787,0.78799,-0.25012,126861,0.002095021654722312,0.00349170275787052,TRUE
EN-Newborn,24,13713,0.60299,0.82649,-0.22349999999999992,115950.5,0.00613953825197758,0.008770768931396543,TRUE
EN-L6-IT,15,13724,0.55675,0.826535,-0.26978500000000005,71811.5,0.021338557462472395,0.026673196828090495,TRUE
EN-IT-Immature,17,14096,0.78344,0.8341099999999999,-0.05066999999999988,109071,0.2610865880380565,0.29009620893117394,FALSE
OPC,34,10174,0.7173849999999999,0.749935,-0.03255000000000008,166406.5,0.35127701974185993,0.35127701974185993,FALSE
