test,threshold,percentile,n_constrained,n_fg_constrained,pct_fg_constrained,OR,ci_lo,ci_hi,p
Test 1,0.15,1,178,9,5.056179775280899,2.0074818225124185,0.8955324666532359,3.942206591380981,0.044394165142718434
Test 1,0.27,5,904,43,4.756637168141593,1.9658327335458596,1.387303790712453,2.726004829249158,1.03523438780867e-4
Test 1,0.36,10,1703,84,4.932472108044627,2.1841140143988964,1.6862248820831562,2.8040445515895525,5.059448151656526e-9
Test 1,0.45,15,2590,129,4.980694980694981,2.412419525058625,1.9311863694599807,3.0013048998355187,2.0860853024709607e-14
Test 1,0.6,25,4262,207,4.856874706710465,2.8855946316314394,2.350167908360936,3.544237044324899,1.0950914874391932e-24
Test 2,0.15,1,9,1,11.11111111111111,1.3005118181394688,0.028502445596298994,10.20265713606989,0.5680862954978934
Test 2,0.27,5,43,6,13.953488372093023,1.813955675948973,0.5776451645788365,4.848526942444627,0.16317972137192405
Test 2,0.36,10,84,8,9.523809523809524,1.1147129258144486,0.4202512285592381,2.6523532998855255,0.46981366936526814
Test 2,0.45,15,129,12,9.30232558139535,1.0922812642852096,0.47784592645128543,2.380724495054205,0.4735466175514177
Test 2,0.6,25,207,19,9.178743961352657,1.0987927968343332,0.5167800398351694,2.363898243866916,0.4655212606334659
