pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),1e-50,4.965e-48,NA,0.7032660532395867,5.321357452411205,145,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPS28;RPS27A;RPL26;RPS14;RPL13;RPL15;RPS15;RPLP2;RPL7;RPL41;RPS17;RPL7A;RPS18;RPL5;RPS15A;RPL18;RPS13;RPS25;RPS27;RPL31;RPS12;RPL37;RPL11;RPL13A;RPS5;RPS7;RPL6;RPL23A;RPS8;RPS23;RPS10;RPL38;RPS11;RPS21;RPS24;RPL32;RPS16;RPS4X;RPLP1;RPL10A;RPL19;RPL35;RPL36A;RPL28;RPS2;RPL14;RPL39;RPS6;RPL17;RPL27;RPL4;RPS3;RPL24;RPS9;RPL3;RPSA;RPL22;UBA52;RPL29;RPL30;RPL8;RPL23;RPS20;EIF4A2;RPS26;RPL12;PABPC1;RPLP0,All cell types
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT (GO_CC),1e-50,4.965e-48,NA,0.9106770367644507,5.546637778758395,55,RPL37A;RPL10;RPL34;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPL13;RPL15;RPLP2;RPL7;RPL41;RPL7A;RPL5;RPL18;RPL31;RPL37;RPL11;RPL13A;RPL6;RPL23A;RPL38;RPL32;RPLP1;RPL10A;RPL19;RPL35;RPL36A;RPL28;RPL14;RPL39;RPL17;RPL27;RPL4;RPL24;RPL3;RPL22;UBA52;RPL29;RPL30;RPL8;RPL23;RPL36AL;RPL12;RPLP0,All cell types
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),1e-50,4.965e-48,NA,0.8767353658288215,6.1464682280178335,97,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPS28;RPS27A;RPL26;RPS14;RPL13;RPL15;RPS15;RPLP2;RPL7;RPL41;RPS17;RPL7A;RPS18;RPL5;RPS15A;RPL18;RPS13;RPS25;RPS27;RPL31;RPS12;RPL37;RPL11;RPL13A;RPS5;RPS7;RPL6;RPL23A;RPS8;RPS23;RPS10;RPL38;RPS11;RPS21;RPS24;RPL32;RPS16;RPS4X;RPLP1;RPL10A;RPL19;RPL35;RPL36A;RPL28;RPS2;RPL14;RPL39;RPS6;RPL17;RPL27;RPL4;RPS3;RPL24;RPS9;RPL3;RPSA;RPL22;UBA52;RPL29;RPL30;RPL8;RPL23;RPL36AL;RPS20;RPS26;RPL12,All cell types
GOCC_RIBOSOMAL_SUBUNIT (GO_CC),1e-50,4.965e-48,NA,0.6332224325535357,4.937778461120793,173,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPS28;RPS27A;RPL26;RPS14;RPL13;RPL15;RPS15;RPLP2;RPL7;RPL41;RPS17;RPL7A;RPS18;RPL5;RPS15A;RPL18;RPS13;RPS25;RPS27;RPL31;RPS12;RPL37;RPL11;RPL13A;RPS5;RPS7;RPL6;RPL23A;RPS8;RPS23;RPS10;RPL38;RPS11;RPS21;RPS24;RPL32;RPS16;RPS4X;RPLP1;RPL10A;RPL19;RPL35;RPL36A;RPL28;RPS2;RPL14;RPL39;RPS6;RPL17;RPL27;RPL4;RPS3;RPL24;RPS9;RPL3;RPSA;RPL22;UBA52;RPL29;RPL30;RACK1;RPL8;RPL23;RPL36AL;RPS20;RPS26;RPL12;MRPL41;RPLP0,All cell types
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME (GO_MF),1e-50,4.965e-48,NA,0.6630901497535485,5.097335408829946,158,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPS28;RPS27A;RPL26;RPS14;RPL13;RPL15;RPS15;RPLP2;RPL7;RPL41;RPS17;RPL7A;RPS18;RPL5;RPS15A;RPL18;RPS13;RPS25;RPS27;RPL31;RPS12;RPL37;RPL11;RPL13A;RPS5;RPS7;RPL6;RPL23A;RPS8;RPS23;RPS10;RPL38;RPS11;RPS21;RPS24;RPL32;RPS16;RPS4X;RPLP1;RPL10A;RPL19;RPL35;RPL36A;RPL28;RPS2;RPL14;RPL39;RPS6;RPL17;RPL27;RPL4;RPS3;RPL24;RPS9;RPL3;RPSA;RPL22;UBA52;RPL29;RPL30;RPL8;RPL23;RPL36AL;RPS20;RPS26;RPL12;MRPL41;RPLP0,All cell types
KEGG_RIBOSOME (KEGG),1e-50,4.965e-48,NA,0.9283950026225279,6.3496475002765385,86,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPS28;RPS27A;RPL26;RPL13;RPL15;RPS15;RPLP2;RPL7;RPL41;RPS17;RPL7A;RPS18;RPL5;RPS15A;RPL18;RPS13;RPS25;RPS27;RPL31;RPS12;RPL37;RPL11;RPL13A;RPS5;FAU;RPS7;RPL6;RPL23A;RPS8;RPS23;RPS10;RPL38;RPS11;RPS21;RPS24;RPL32;RPS16;RPS4X;RPLP1;RPL10A;RPL19;RPL35;RPL36A;RPL28;RPS2;RPL14;RPL39;RPS6;RPL17;RPL27;RPL4;RPS3;RPL24;RPS9;RPL3;RPSA;RPL22;UBA52;RPL29;RPL30;RPL8;RPL23;RPL36AL;RPS20;RPS26;RPL12;RPLP0,All cell types
REACTOME_CELLULAR_RESPONSE_TO_STARVATION (Reactome),1e-50,4.965e-48,NA,0.6880181858091583,5.251273910325663,152,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPS28;RPS27A;RPL26;RPS14;RPL13;RPL15;RPS15;RPLP2;RPL7;RPL41;RPS17;RPL7A;RPS18;RPL5;RPS15A;RPL18;RPS13;RPS25;RPS27;RPL31;RPS12;RPL37;RPL11;RPL13A;RPS5;FAU;RPS7;RPL6;RPL23A;RPS8;RPS23;RPS10;RPL38;RPS11;RPS21;RPS24;RPL32;RPS16;RPS4X;RPLP1;RPL10A;RPL19;RPL35;RPL36A;RPL28;RPS2;RPL14;RPL39;RPS6;RPL17;RPL27;RPL4;RPS3;RPL24;RPS9;RPL3;RPSA;RPL22;UBA52;RPL29;RPL30;RPL8;RPL23;RPL36AL;RPS20;RPS26;RPL12,All cell types
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),1e-50,4.965e-48,NA,0.9313692749808669,6.455221517285517,92,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPS28;RPS27A;RPL26;RPS14;RPL13;EEF1G;RPL15;RPS15;RPLP2;RPL7;RPL41;RPS17;RPL7A;RPS18;RPL5;RPS15A;RPL18;RPS13;RPS25;RPS27;RPL31;RPS12;RPL37;RPL11;RPL13A;RPS5;FAU;RPS7;RPL6;RPL23A;RPS8;RPS23;RPS10;RPL38;RPS11;RPS21;RPS24;RPL32;RPS16;RPS4X;RPLP1;RPL10A;RPL19;RPL35;RPL36A;RPL28;RPS2;RPL14;EEF1A1;RPL39;RPS6;RPL17;RPL27;RPL4;RPS3;RPL24;EEF1B2;RPS9;RPL3;RPSA;RPL22;UBA52;RPL29;RPL30;EEF1A2;EEF2;RPL8;RPL23;RPL36AL;RPS20;RPS26;RPL12,All cell types
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),1e-50,4.965e-48,NA,0.8007376118464048,5.841779343387291,118,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPS28;RPS27A;RPL26;RPS14;RPL13;RPL15;RPS15;RPLP2;RPL7;RPL41;RPS17;RPL7A;RPS18;RPL5;RPS15A;RPL18;RPS13;RPS25;RPS27;RPL31;RPS12;RPL37;RPL11;RPL13A;RPS5;FAU;RPS7;RPL6;RPL23A;RPS8;RPS23;RPS10;RPL38;RPS11;RPS21;RPS24;RPL32;RPS16;RPS4X;RPLP1;RPL10A;RPL19;RPL35;RPL36A;RPL28;RPS2;RPL14;RPL39;RPS6;RPL17;RPL27;RPL4;RPS3;RPL24;RPS9;RPL3;RPSA;RPL22;UBA52;RPL29;RPL30;RPL8;RPL23;RPL36AL;RPS20;EIF4A2;RPS26;RPL12;PABPC1;RPLP0,All cell types
REACTOME_INFLUENZA_INFECTION (Reactome),1e-50,4.965e-48,NA,0.7011682208890165,5.36984799835675,155,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPS28;RPS27A;RPL26;RPS14;RPL13;RPL15;RPS15;RPLP2;RPL7;RPL41;RPS17;RPL7A;RPS18;RPL5;RPS15A;RPL18;RPS13;RPS25;RPS27;RPL31;RPS12;RPL37;RPL11;RPL13A;RPS5;FAU;RPS7;RPL6;RPL23A;RPS8;RPS23;RPS10;RPL38;RPS11;RPS21;RPS24;RPL32;RPS16;RPS4X;RPLP1;RPL10A;RPL19;RPL35;RPL36A;RPL28;RPS2;RPL14;RPL39;RPS6;RPL17;RPL27;RPL4;RPS3;RPL24;RPS9;RPL3;RPSA;RPL22;UBA52;RPL29;RPL30;RPL8;RPL23;SLC25A6;RPL36AL;RPS20;RPS26;RPL12;POLR2I;HSPA1A;RPLP0,All cell types
