pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),3.7802899949079716e-32,2.9932336179681318e-28,1.4745625013942514,0.6858081837219299,3.9028030375745204,92,RPS4Y1;RPLP0;RPS26;RPL28;RPS2;RPL34;RPL5;RPL12;RPL7A;EEF2;RPL6;RPL23;RPL13;RPL4;EEF1A1;RPL10A;RPLP1;RPL17;RPL13A;RPL11;RPS11;RPS13;RPS7;RPS6;RPL10;RPL3;RPL22;RPL39;RPL8;RPS3A;RPL18;EEF1B2;RPL37A;RPL36;RPL35;RPL19;RPL15;RPL29;RPS23;RPL9;RPL30;EEF1A2;EEF1G;RPS14;RPS9;RPL35A;RPS20;RPS18;RPL38;RPS24;RPS25;RPL14;RPL27;RPSA;RPL41;RPL27A;RPL23A;RPS5;RPS8;RPL21;RPS28;RPL24;RPLP2;FAU;RPL36A;RPL7;RPL31;RPS21;RPS15A;RPS16;RPS3;RPL26;RPS17;RPS27;RPL18A;RPS4X;RPS27A;RPS29;RPS19;UBA52;RPL26L1;RPS12;RPL32;RPS15,EN-IT-Immature
KEGG_RIBOSOME (KEGG),1.2671671063958983e-31,5.016714574221361e-28,1.4604515308413264,0.6926802276390216,3.9024508035506575,86,RPS4Y1;RPLP0;RPS26;RPL28;RPS2;RPL34;RPL5;RPL12;RPL7A;RPL6;RPL23;RPL13;RPL4;RPL10A;RPLP1;RPL17;RPL13A;RSL24D1;RPL11;RPS11;RPS13;RPS7;RPS6;RPL10;RPL3;RPL22;RPL39;RPL8;RPS3A;RPL18;RPL37A;RPL36;RPL35;RPL19;RPL15;RPL29;RPS23;RPL9;RPL30;RPS9;RPL35A;RPS20;RPS18;RPL38;RPS24;RPS25;RPL14;RPL27;RPSA;RPL41;RPL27A;RPL23A;RPS5;RPS8;RPL21;RPS28;RPL24;RPLP2;FAU;RPL36A;RPL7;RPL31;RPS21;RPS15A;RPS16;RPS3;RPL26;RPS17;RPS27;RPL18A;RPS4X;RPS27A;RPS29;RPS19;UBA52;RPL26L1;RPS12;RPL32;RPS15,EN-IT-Immature
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),6.221203691380316e-28,1.641983027611645e-24,1.3727429819339798,0.6356438534121598,3.6469434333236133,97,RPS4Y1;RPLP0;RPS26;RPL28;RPS2;RPL34;RPL5;RPL12;MRPS11;RPL7A;HBA2;RPL6;RPL23;RPL13;RPL4;RPL10A;RPLP1;RPL17;RPL13A;RPL11;RPS11;RPS13;RPS7;RPS6;RPL10;RPL3;RPL22;RPL39;RPL8;RPS3A;RPL18;RPL37A;RPL36;RPL35;RPL19;RPL15;RPL29;RPS23;RPL9;RPL30;RPS14;RPS9;RPL35A;RPS20;RPS18;RPL38;RPS24;RPS25;RPL14;RPL27;RPSA;RPL41;RPL27A;RPL23A;RPS5;RPL7L1;RPS8;RPL21;RPS28;RPL24;RPLP2;RPL36A;RPL7;RPL31;RPS21;RPS15A;RPS16;RPS3;RPL26;RPS17;RPS27;RPL18A;RPS4X;RPS27A;RPS29;RPS19;UBA52;RPL26L1;RPS12;RPL32;RPS15,EN-IT-Immature
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),8.884939977782178e-28,1.7587738686019822e-24,1.3651796021616889,0.6107368990982489,3.5759797643077293,111,SSR4;RPS4Y1;RPLP0;RPS26;RPL28;RPS2;RPL34;RPL5;RPL12;RPL7A;RPL6;RPL23;RPL13;RPL4;RPL10A;SRP14;RPLP1;RPL17;RPL13A;RPL11;RPS11;RPS13;RPS7;RPS6;RPL10;RPL3;RPL22;RPL39;RPL8;RPS3A;SEC61B;RPL18;RPL37A;RPL36;RPL35;RPL19;RPL15;SSR2;RPL29;RPS23;RPL9;RPL30;RPS14;RPS9;RPL35A;RPS20;RPS18;RPL38;RPS24;RPS25;RPL14;SEC61G;RPL27;RPSA;RPL41;RPL27A;RPL23A;RPS5;RPS8;RPL21;RPN1;SPCS1;RPS28;RPL24;RPLP2;FAU;RPL36A;RPL7;RPL31;RPS21;RPS15A;RPS16;RPS3;RPL26;RPS17;SRP9;RPS27;RPL18A;RPS4X;RPS27A;RPS29;RPS19;UBA52;RPL26L1;RPS12;SEC11C;RPL32;RPS15,EN-IT-Immature
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),6.633987876861282e-27,1.0505583201797527e-23,1.3422337729644571,0.6232783642709065,3.5919849212099098,100,RPS4Y1;RPLP0;RPS26;RPL28;RPS2;RPL34;RPL5;RPL12;RPL7A;RPL6;RPL23;RPL13;RPL4;RPL10A;RPLP1;RPL17;RPL13A;RPL11;RPS11;RPS13;RPS7;RPS6;RPL10;RPL3;RPL22;RPL39;RPL8;RPS3A;RPL18;RPL37A;RPL36;RPL35;RPL19;RPL15;RPL29;RPS23;RPL9;RPL30;RPS14;RPS9;RPL35A;RPS20;RPS18;RPL38;RPS24;RPS25;RPL14;RPL27;RPSA;RPL41;RPL27A;RPL23A;ATF4;RPS5;RPS8;RPL21;RPS28;RPL24;RPLP2;FAU;RPL36A;EIF2S2;RPL7;RPL31;RPS21;RPS15A;RPS16;RPS3;RPL26;RPS17;RPS27;RPL18A;RPS4X;RPS27A;RPS29;RPS19;UBA52;RPL26L1;RPS12;RPL32;RPS15,EN-IT-Immature
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),2.8678738344239557e-22,3.784637503494814e-19,1.221053756771862,0.5494876751266236,3.244956649857401,118,RPS4Y1;RPLP0;RPS26;RPL28;RPS2;RPL34;RPL5;RPL12;RPL7A;RPL6;RPL23;EIF3F;RPL13;RPL4;EIF4B;RPL10A;EIF4A1;RPLP1;RPL17;RPL13A;RPL11;RPS11;RPS13;EIF4A2;RPS7;RPS6;RPL10;RPL3;RPL22;RPL39;RPL8;RPS3A;EIF5;RPL18;RPL37A;RPL36;RPL35;RPL19;RPL15;RPL29;RPS23;RPL9;RPL30;RPS14;RPS9;RPL35A;RPS20;RPS18;RPL38;RPS24;RPS25;RPL14;RPL27;RPSA;RPL41;RPL27A;PABPC1;RPL23A;RPS5;RPS8;RPL21;RPS28;RPL24;RPLP2;FAU;RPL36A;EIF2S2;EIF1AX;RPL7;RPL31;RPS21;RPS15A;RPS16;RPS3;RPL26;RPS17;RPS27;RPL18A;RPS4X;RPS27A;RPS29;RPS19;UBA52;RPL26L1;RPS12;RPL32;RPS15,EN-IT-Immature
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),4.406558929356602e-22,4.984447657520797e-19,1.2125445676906186,0.5602021499004324,3.294774720128624,115,RPS4Y1;RPLP0;RPS26;RPL28;RPS2;RPL34;SARS1;RPL5;RPL12;RPL7A;RPL6;RPL23;RPL13;RPL4;RPL10A;RPLP1;RPL17;RPL13A;RPL11;RPS11;RPS13;RPS7;RPS6;RPL10;RPL3;RPL22;RPL39;RPL8;RPS3A;EEF1E1;RPL18;RPL37A;RPL36;RPL35;RPL19;RPL15;RPL29;RPS23;RPL9;RPL30;RPS14;RPS9;RPL35A;RPS20;RPS18;RPL38;RPS24;RPS25;RPL14;RPL27;RPSA;RPL41;RPL27A;RPL23A;RPS5;RPS8;PAPSS2;RPL21;HNMT;RPS28;RPL24;RPLP2;FAU;SECISBP2;RPL36A;RPL7;RPL31;RPS21;RPS15A;RPS16;RPS3;RPL26;RPS17;RPS27;AHCY;RPL18A;RPS4X;RPS27A;RPS29;NNMT;RPS19;UBA52;RPL26L1;RPS12;RPL32;RPS15,EN-IT-Immature
REACTOME_CELLULAR_RESPONSE_TO_STARVATION (Reactome),2.546842111613644e-19,2.5207369799696043e-16,1.133089932009015,0.4807207980062347,2.9313431494501243,152,RPS4Y1;RPLP0;RPS26;RPL28;RPS2;RPL34;NPRL3;RPL5;RPL12;ATP6V0E2;RPL7A;RPL6;RPL23;LAMTOR5;RPL13;RRAGA;RPL4;RPL10A;ATP6V0C;RPLP1;RPL17;RPL13A;LAMTOR4;RPL11;RPS11;RPS13;RPS7;RPS6;RPL10;RPL3;RPL22;RPL39;RPL8;RPS3A;RPL18;RPL37A;SH3BP4;RPL36;RPL35;RPL19;RPL15;RPL29;RPS23;RPL9;ATP6V1F;RPL30;ATP6V0B;RPS14;RPS9;RPL35A;RPS20;RPS18;RPL38;RPS24;RPS25;RPL14;RPL27;RPSA;RPL41;RPL27A;RPL23A;ATF4;RPS5;RPS8;RPL21;FNIP2;RPS28;RPL24;RPLP2;FAU;RPL36A;EIF2S2;RPL7;RPL31;RPS21;RPS15A;RPS16;RPS3;RPL26;RPS17;LAMTOR2;RPTOR;RPS27;RPL18A;RPS4X;RPS27A;ATP6V1E2;ATP6V1G1;FLCN;RPS29;RPS19;UBA52;RPL26L1;RPS12;RPL32;RPS15;ATP6V1G2;ATP6V0D1,EN-IT-Immature
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),3.276124982049859e-19,2.8822619564300875e-16,1.133089932009015,0.5321638488543394,3.1264778773995174,114,RPS4Y1;RPLP0;RPS26;RPL28;RPS2;RPL34;RPL5;RPL12;RPL7A;RPL6;RPL23;RPL13;RPL4;RPL10A;RPLP1;RPL17;RPL13A;RPL11;RPS11;RPS13;RPS7;RPS6;RPL10;RPL3;RPL22;RPL39;RPL8;RPS3A;RPL18;RPL37A;RPL36;RPL35;RPL19;RPL15;RPL29;RPS23;RPL9;RPL30;RPS14;RPS9;RPL35A;RPS20;RPS18;RPL38;RPS24;RPS25;RPL14;RPL27;RPSA;RPL41;RPL27A;PABPC1;RPL23A;RPS5;RPS8;RPL21;RPS28;RPL24;RPLP2;FAU;RPL36A;RPL7;RPL31;RPS21;RPS15A;RPS16;RPS3;RPL26;SMG6;RPS17;RPS27;RPL18A;RPS4X;RPS27A;RPS29;RPS19;UBA52;RPL26L1;RPS12;RPL32;RPS15,EN-IT-Immature
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT (GO_CC),4.480304829754841e-19,3.547505364199883e-16,1.1239149637448316,0.6748360069143768,3.4978990372654932,55,RPLP0;RPL28;RPL34;RPL5;RPL12;RPL7A;RPL6;RPL23;RPL13;RPL4;RPL10A;RPLP1;RPL17;RPL13A;RPL11;RPL10;RPL3;RPL22;RPL39;RPL8;RPL18;RPL37A;RPL36;RPL35;RPL19;RPL15;RPL29;RPL9;RPL30;RPL35A;RPL38;RPL14;RPL27;RPL41;RPL27A;RPL23A;RPL7L1;RPL21;RPL24;RPLP2;RPL36A;RPL7;RPL31;RPL26;RPL18A;UBA52;RPL26L1;RPL32,EN-IT-Immature
