pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),1.5206149112553227e-24,1.2020460873473326e-20,1.2871036723014444,0.6563552239490524,3.1052315203410914,92,RPL9;RPL21;RPL27A;RPL18A;RPS17;RPL27;RPL7;RPS3A;RPS29;RPS11;EEF1G;RPS19;RPL23A;RPL15;RPS16;RPS27;RPS18;RPL29;RPS23;RPS21;RPL34;RPS6;RPL36A;RPL13A;EEF1A1;RPS13;RPL37A;RPL36;RPL3;RPS4Y1;RPS2;EEF1A2;RPL31;RPL17;RPS9;RPL41;RPLP1;RPL14;FAU;RPL13;RPS7;RPL35A;RPL30;RPL26;RPS14;EEF1B2;RPS12;RPL10A;RPL38;RPS15A;RPL19;RPS20;RPL10;RPL11;RPS5;RPL18;RPS28;RPL24;RPL28;RPLP0;RPL4;RPL35;RPL7A;EEF2;RPS8;RPL5;RPS3;UBA52;RPL8;RPS4X;RPL22;RPSA;RPLP2;RPS15;RPS10;RPS25;RPS27A;RPS26;RPL39;RPL36AL;RPS24;RPL37;EEF1D;RPL23;RPL12,EN-L6-IT
KEGG_RIBOSOME (KEGG),2.3087807265338523e-22,9.125455821625052e-19,1.221053756771862,0.6521204200500181,3.0610247583577754,86,RPL9;RPL21;RPL27A;RPL18A;RPS17;RPL27;RPL7;RPS3A;RPS29;RPS11;RPS19;RPL23A;RPL15;RPS16;RPS27;RPS18;RPL29;RPS23;RPS21;RPL34;RPS6;RPL36A;RPL13A;RPS13;RPL37A;RPL36;RPL3;RPS4Y1;RPS2;RPL31;RPL17;RPS9;RPL41;RPLP1;RPL14;FAU;RPL13;RPS7;RPL35A;RPL30;RPL26;RPS12;RPL10A;RPL38;RPS15A;RPL19;RPS20;RPL10;RPL11;RPS5;RPL18;RPS28;RPL24;RPL28;RPLP0;RPL4;RPL35;RPL7A;RPS8;RPL5;RPS3;UBA52;RPL8;RPS4X;RPL22;RPSA;RPLP2;RPS15;RPS10;RPS25;RPS27A;RPS26;RPL39;RPL36AL;RPS24;RPL37;RPL23;RPL12;RSL24D1,EN-L6-IT
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),1.6964320321398804e-20,4.470098404688585e-17,1.1690699667610949,0.5986774760302973,2.851288851409372,97,RPL9;RPL21;RPL27A;RPL18A;RPS17;RPL27;RPL7;RPS3A;RPS29;RPS11;RPS19;RPL23A;RPL15;RPS16;RPS27;RPS18;RPL29;RPS23;RPS21;RPL34;RPS6;RPL36A;RPL13A;RPS13;RPL37A;RPL36;RPL3;RPS4Y1;RPS2;RPL31;RPL17;RPS9;RPL41;RPLP1;RPL14;RPL13;RPS7;RPL35A;RPL30;RPL26;RPS14;RPS12;RPL10A;RPL38;RPS15A;RPL19;RPS20;RPL10;RPL11;RPS5;RPL18;RPS28;RPL24;RPL28;RPLP0;RPL4;RPL35;RPL7A;RPS8;RPL5;RPS3;UBA52;RPL8;RPS4X;RPL22;RPSA;RPLP2;RPS15;RPS10;RPL7L1;APOD;RPS25;RPS27A;RPS26;RPL39;RPL36AL;RPS24;RPL37;RPL23;RPL12,EN-L6-IT
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),2.4354545138612843e-20,4.8130669830183634e-17,1.1690699667610949,0.6032414628501518,2.8829818070460234,100,RPL9;RPL21;RPL27A;RPL18A;RPS17;RPL27;RPL7;RPS3A;RPS29;RPS11;RPS19;RPL23A;RPL15;RPS16;RPS27;RPS18;RPL29;RPS23;RPS21;RPL34;RPS6;RPL36A;RPL13A;RPS13;RPL37A;RPL36;RPL3;RPS4Y1;RPS2;RPL31;RPL17;RPS9;RPL41;TRIB3;RPLP1;RPL14;FAU;RPL13;RPS7;RPL35A;RPL30;RPL26;RPS14;RPS12;RPL10A;RPL38;RPS15A;RPL19;RPS20;RPL10;CEBPB;RPL11;RPS5;RPL18;RPS28;RPL24;RPL28;RPLP0;RPL4;RPL35;RPL7A;EIF2S2;RPS8;RPL5;RPS3;UBA52;RPL8;RPS4X;RPL22;RPSA;RPLP2;RPS15;RPS10;ATF4,EN-L6-IT
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),7.348781215374968e-19,1.1618423101507824e-15,1.1239149637448316,0.5567544146570407,2.694374409227395,111,RPL9;RPL21;RPL27A;RPL18A;RPS17;RPL27;RPL7;RPS3A;RPS29;RPS11;RPS19;RPL23A;RPL15;RPN1;RPS16;RPS27;RPS18;RPL29;RPS23;RPS21;RPL34;RPS6;RPL36A;RPL13A;SSR2;RPS13;RPL37A;RPL36;RPL3;RPS4Y1;RPS2;RPL31;RPL17;RPS9;RPL41;RPLP1;RPL14;FAU;RPL13;RPS7;RPL35A;RPL30;RPL26;RPS14;RPS12;RPL10A;SSR4;RPL38;RPS15A;RPL19;RPS20;RPL10;SRP9;RPL11;RPS5;RPL18;RPS28;RPL24;RPL28;RPLP0;RPL4;SRP14;RPL35;RPL7A;RPS8;RPL5;RPS3;UBA52;RPL8;RPS4X;RPL22;RPSA;RPLP2;RPS15;RPS10;RPS25;RPS27A;RPS26;RPL39;RPL36AL;SEC61B;RPS24;SEC61G;RPL37;RPL23;RPL12,EN-L6-IT
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),2.196240600879266e-18,2.8935469916584333e-15,1.1053365773140096,0.5564693660844421,2.7031497152845296,115,RPL9;RPL21;RPL27A;RPL18A;RPS17;RPL27;RPL7;RPS3A;RPS29;RPS11;RPS19;RPL23A;RPL15;RPS16;RPS27;RPS18;RPL29;RPS23;RPS21;RPL34;RPS6;RPL36A;HNMT;RPL13A;RPS13;RPL37A;RPL36;RPL3;RPS4Y1;RPS2;RPL31;RPL17;RPS9;RPL41;RPLP1;RPL14;PAPSS2;FAU;RPL13;RPS7;RPL35A;RPL30;RPL26;RPS14;RPS12;RPL10A;RPL38;RPS15A;RPL19;RPS20;RPL10;RPL11;RPS5;RPL18;RPS28;RPL24;RPL28;RPLP0;RPL4;RPL35;RPL7A;SECISBP2;RPS8;INMT;RPL5;RPS3;UBA52;RPL8;RPS4X;PSTK;RPL22;RPSA;RPLP2;RPS15;RPS10;RPS25;EPRS1;SEPHS2;RPS27A;RPS26;RPL39;RPL36AL;AIMP2;RPS24;RPL37;SCLY;RPL23;RPL12,EN-L6-IT
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),3.743019592696602e-18,4.226938554323805e-15,1.095929286431201,0.5451148197554558,2.655859243518073,118,RPL9;PABPC1;RPL21;RPL27A;RPL18A;RPS17;RPL27;RPL7;RPS3A;RPS29;RPS11;RPS19;RPL23A;RPL15;RPS16;RPS27;RPS18;RPL29;RPS23;RPS21;RPL34;RPS6;RPL36A;RPL13A;RPS13;EIF4A2;RPL37A;RPL36;RPL3;RPS4Y1;RPS2;RPL31;RPL17;EIF4A1;RPS9;RPL41;RPLP1;RPL14;FAU;RPL13;RPS7;RPL35A;RPL30;RPL26;EIF1AX;RPS14;RPS12;RPL10A;RPL38;RPS15A;EIF3F;RPL19;RPS20;RPL10;RPL11;RPS5;RPL18;RPS28;RPL24;RPL28;RPLP0;RPL4;RPL35;RPL7A;EIF2S2;RPS8;EIF3K;RPL5;RPS3;UBA52;RPL8;RPS4X;EIF3I;RPL22;RPSA;RPLP2;RPS15;RPS10;EIF3L;RPS25;EIF5;RPS27A;RPS26;RPL39;RPL36AL;RPS24;RPL37;EIF4B;RPL23;RPL12;EIF4G1,EN-L6-IT
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS (Reactome),4.760056077948379e-17,4.7035304120227426e-14,1.0672099868281106,0.4769086021547167,2.405670172028425,166,ROBO1;RPL9;SLIT2;PABPC1;RPL21;RPL27A;RPL18A;RPS17;RPL27;ROBO3;PSMC3;RPL7;RPS3A;RPS29;RPS11;RPS19;RPL23A;RPL15;RPS16;RPS27;RPS18;RPL29;RPS23;RPS21;ROBO2;RPL34;RPS6;RPL36A;RPL13A;RPS13;RPL37A;RPL36;PSMB5;LHX2;RPL3;RPS4Y1;RPS2;RPL31;RPL17;RPS9;RPL41;RBX1;RPLP1;PSMA7;RPL14;FAU;RPL13;RPS7;RPL35A;RPL30;RPL26;RPS14;LHX4;RPS12;RPL10A;RPL38;RPS15A;PSMC1;RPL19;RPS20;PSMA8;UBB;RPL10;RBM8A;RPL11;RPS5;RPL18;RPS28;RPL24;RPL28;RPLP0;PSMC5;RPL4;RPL35;RPL7A;PSMD4;PSMA4;RPS8;RPL5;RPS3;UBA52;RPL8;RPS4X;RPL22;RPSA;UPF3B;RPLP2;RPS15;RPS10;PSMD2;PSMD8;UBC;PSMB10;RPS25;PSMB6;SLIT1;PSMB7;ELOB;RPS27A;PSME4;RPS26;RPL39;RPL36AL;PSMB4,EN-L6-IT
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),1.5493535582201597e-16,1.3608488753033737e-13,1.047626488498816,0.5349972068501031,2.596180999394587,114,RPL9;PABPC1;RPL21;RPL27A;RPL18A;RPS17;RPL27;RPL7;RPS3A;RPS29;RPS11;RPS19;RPL23A;RPL15;RPS16;RPS27;RPS18;RPL29;RPS23;RPS21;RPL34;RPS6;RPL36A;RPL13A;RPS13;RPL37A;RPL36;RPL3;RPS4Y1;RPS2;RPL31;RPL17;RPS9;RPL41;RPLP1;RPL14;FAU;RPL13;RPS7;RPL35A;RPL30;RPL26;RPS14;RPS12;RPL10A;RPL38;RPS15A;RPL19;RPS20;RPL10;RBM8A;RPL11;RPS5;RPL18;RPS28;RPL24;RPL28;RPLP0;RPL4;RPL35;PNRC2;RPL7A;RPS8;RPL5;RPS3;UBA52;RPL8;RPS4X;RPL22;RPSA;UPF3B;RPLP2;RPS15;RPS10;SMG6;RPS25;RPS27A;RPS26;RPL39;RPL36AL;RPS24;UPF3A;RPL37;RPL23;RPL12;EIF4G1,EN-L6-IT
REACTOME_CELLULAR_RESPONSE_TO_STARVATION (Reactome),1.2294992754552197e-13,9.719191772473511e-11,0.9436322252328375,0.46033533645629054,2.3015359483490494,152,RPL9;RPL21;RPL27A;RPL18A;RPS17;RPL27;RPL7;RPS3A;RPS29;RPS11;RPS19;RPL23A;RPL15;RPS16;LAMTOR4;RPS27;RPS18;RPL29;RPS23;RPS21;ATP6V1G2;RPL34;RPS6;RPL36A;ATP6V1E2;RPL13A;RPS13;RPL37A;RPL36;RPL3;RPS4Y1;RRAGA;RPS2;RPL31;RPL17;RPS9;RPL41;TRIB3;RPLP1;RPL14;FAU;RPL13;RPS7;RPL35A;RPL30;RPL26;RPS14;LAMTOR5;RPS12;RPL10A;RPL38;RPS15A;RPL19;RPS20;RPL10;CEBPB;SH3BP4;RPL11;RPS5;RPL18;RPS28;RPL24;RPL28;RPLP0;RPL4;RPL35;RPL7A;EIF2S2;CASTOR1;RPS8;RPL5;RPS3;UBA52;ATP6V1D;RPL8;RPS4X;RPL22;RPSA;RPLP2;RPS15;RPS10;ATF4;ATP6V0B;ATP6V1F;RPS25;ATP6V0E2;ATP6V0C,EN-L6-IT
