pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),1e-50,7.953e-47,NA,0.8469550625328888,3.998023449213138,92,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;EEF1G;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;EEF1B2;EEF1A2;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RPL39;RPS15A;RPS14;RPL6;EEF2;EEF1A1;RPS4X;RPL11;RPSA;EEF1D;RPL8;RPS8;RPL4,EN-Newborn
KEGG_RIBOSOME (KEGG),1.3032272363358284e-47,5.182283105289422e-44,1.7973424641233884,0.8366455843461803,3.9183756176179916,86,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RPL39;RPS15A;RPL6;RPS4X;RPL11;RPSA;RPL8;RPS8;RPL4,EN-Newborn
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),9.44098740360779e-44,2.502805760696425e-40,1.720824397073306,0.7856795145437261,3.7332553850644503,97,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RPL39;RPS15A;RPS14;RPL6;RPS4X;RPL11;RPSA;RPL8;RPS8;RPL4,EN-Newborn
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),4.253972031265322e-42,8.457959891163277e-39,1.690472378984485,0.7719781060653628,3.6809229790969025,100,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RPL39;RPS15A;RPS14;RPL6;RPS4X;RPL11;RPSA;RPL8;RPS8;RPL4,EN-Newborn
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),7.154069698230989e-42,1.137926326200621e-38,1.6843363428421345,0.7474518960758373,3.6091317412701116,111,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;SEC61G;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RPL39;RPS15A;RPS14;RPL6;RPS4X;RPL11;SEC11C;SSR4;RPSA;SRP14;RPL8;RPS8;RPL4;SPCS1,EN-Newborn
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),7.323093435087166e-40,9.706760348208039e-37,1.6470401410029225,0.7144461602623824,3.463025637011691,115,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RPL39;RPS15A;RPS14;RPL6;RPS4X;RPL11;HNMT;RPSA;RPL8;RPS8;RPL4,EN-Newborn
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),7.445409657711041e-39,8.459049001110844e-36,1.6216995507529544,0.7140872223731247,3.4576671290290277,114,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RBM8A;RPL36AL;RPL39;RPS15A;RPS14;RPL6;RPS4X;RPL11,EN-Newborn
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),2.3188212130272963e-37,2.305198138400761e-34,1.589455784682006,0.6987547948267112,3.397008499463533,118,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RPL39;RPS15A;RPS14;RPL6;EIF1AX;RPS4X;RPL11;RPSA;RPL8;EIF3G;RPS8;RPL4,EN-Newborn
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),6.303679458897788e-33,5.570351415179345e-30,1.4885397096145496,0.6260171633091082,3.1091386546234796,145,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;CPEB2;RPL12;RPL13A;RPL31;RPLP0;EIF2S3B;RPS26;RPL27;RPS3A;RBM24;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;HNRNPU;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL39;RPS15A;RPS14;CPEB3;RPL6;RPS4X;RPL11;RPSA;RPL8;HNRNPD;YBX1;RPS8;RPL4,EN-Newborn
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS (Reactome),1.4058934540442519e-31,1.1181070640013934e-28,1.4604515308413264,0.5963001321332839,3.002442546242783,166,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;SLIT1;RPS17;RPL17;RPS2;RPS18;LDB1;ROBO2;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;LHX2;RPL14;RPL13;RPS25;RPS24;PSMB5;RPS3;RPL24;RPS23;RBM8A;RPL36AL;RPL39;SLIT2;RPS15A;RPS14;RPL6;ROBO1;RPS4X;RPL11;ELOB,EN-Newborn
