pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),1e-50,6.641666666666666e-48,NA,0.817462430003195,2.7956511363954126,145,RPS28;RPS27A;RPL37A;RPS15;RPLP2;RPL7A;RPL5;RPS15A;RPL13;RPS25;RPL31;RPS18;RPS12;RPL37;RPL41;RPL11;RPL13A;RPS5;RPL10;RPS7;RPL6;RPS10;RPL18;RPS23;RPS11;RPS24;RPL32;RPS16;RPS4X;RPS17;RPL10A;RPL21;RPL35;RPL7;RPL38;RPS13;RPL18A;RPL36A;RPS2;RPS8;RPS19;RPS27;RPL9;RPL34;RPL27A;RPL19;RPL26;RPL14;RPL35A;RPS3A;RPLP1;RPL39;RPS6;RPL17;RPL15;RPL4;RPS3;RPL24;RPS29;RPL3;RPL23A;RPSA;RPL22;RPL28;UBA52;RPL29;RPL30;RPS9;RPS21;RPL27;RPL8;RPL36;RPL23;RPS14;RPS20;EIF4A2;RPL12;RPLP0;YBX1;RPS26;EIF2S2;PABPC1;EIF4A1,EN-Non-IT-Immature
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),1e-50,6.641666666666666e-48,NA,0.9264704434481675,3.081534749737076,97,RPS28;RPS27A;RPL37A;RPS15;RPLP2;RPL7A;RPL5;RPS15A;RPL13;RPS25;RPL31;RPS18;RPS12;RPL37;RPL41;RPL11;RPL13A;RPS5;RPL10;RPS7;RPL6;RPS10;RPL18;RPS23;RPS11;RPS24;RPL32;RPS16;RPS4X;RPS17;RPL10A;RPL21;RPL35;RPL7;RPL38;RPS13;RPL18A;RPL36A;RPS2;RPS8;RPS19;RPS27;RPL9;RPL34;RPL27A;RPL19;RPL26;RPL14;RPL35A;RPS3A;RPLP1;RPL39;RPS6;RPL17;RPL15;RPL4;RPS3;RPL24;RPS29;RPL3;RPL23A;RPSA;RPL22;RPL28;UBA52;RPL29;RPL30;RPS9;RPS21;RPL27;RPL8;RPL36;RPL23;RPS14;RPL36AL;RPS20;RPL12;RPLP0;RPS26;APOD;HBA1,EN-Non-IT-Immature
KEGG_RIBOSOME (KEGG),1e-50,6.641666666666666e-48,NA,0.9586285691037171,3.159449212057181,86,RPS28;RPS27A;RPL37A;RPS15;RPLP2;RPL7A;RPL5;RPS15A;RPL13;RPS25;RPL31;RPS18;RPS12;RPL37;RPL41;RPL11;RPL13A;RPS5;FAU;RPL10;RPS7;RPL6;RPS10;RPL18;RPS23;RPS11;RPS24;RPL32;RPS16;RPS4X;RPS17;RPL10A;RPL21;RPL35;RPL7;RPL38;RPS13;RPL18A;RPL36A;RPS2;RPS8;RPS19;RPS27;RPL9;RPL34;RPL27A;RPL19;RPL26;RPL14;RPL35A;RPS3A;RPLP1;RPL39;RPS6;RPL17;RPL15;RPL4;RPS3;RPL24;RPS29;RPL3;RPL23A;RPSA;RPL22;RPL28;UBA52;RPL29;RPL30;RPS9;RPS21;RPL27;RPL8;RPL36;RPL23;RPL36AL;RPS20;RPL12;RPLP0,EN-Non-IT-Immature
REACTOME_CELLULAR_RESPONSE_TO_STARVATION (Reactome),1e-50,6.641666666666666e-48,NA,0.8004331870585242,2.746039687118922,152,RPS28;RPS27A;RPL37A;RPS15;RPLP2;RPL7A;RPL5;RPS15A;RPL13;RPS25;RPL31;RPS18;RPS12;RPL37;RPL41;RPL11;RPL13A;RPS5;FAU;RPL10;RPS7;RPL6;RPS10;RPL18;RPS23;RPS11;RPS24;RPL32;RPS16;RPS4X;RPS17;RPL10A;RPL21;RPL35;RPL7;RPL38;RPS13;RPL18A;RPL36A;RPS2;RPS8;RPS19;RPS27;RPL9;RPL34;RPL27A;RPL19;RPL26;RPL14;RPL35A;RPS3A;RPLP1;RPL39;RPS6;RPL17;RPL15;RPL4;RPS3;RPL24;RPS29;RPL3;RPL23A;RPSA;RPL22;RPL28;UBA52;RPL29;RPL30;RPS9;RPS21;RPL27;RPL8;RPL36;RPL23;RPS14;RPL36AL;RPS20;RPL12;ATP6V1F;RPLP0;ATP6V0B;ATP6V0C;ATP6V0E2;RPS26;EIF2S2,EN-Non-IT-Immature
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),1e-50,6.641666666666666e-48,NA,0.9611863684663049,3.183069947100035,92,RPS28;RPS27A;RPL37A;RPS15;RPLP2;RPL7A;RPL5;RPS15A;RPL13;RPS25;RPL31;RPS18;RPS12;RPL37;RPL41;RPL11;RPL13A;RPS5;FAU;RPL10;RPS7;RPL6;RPS10;RPL18;RPS23;RPS11;RPS24;RPL32;RPS16;RPS4X;RPS17;RPL10A;RPL21;RPL35;RPL7;RPL38;RPS13;RPL18A;RPL36A;RPS2;RPS8;RPS19;RPS27;RPL9;RPL34;RPL27A;RPL19;RPL26;RPL14;RPL35A;RPS3A;RPLP1;EEF1A1;RPL39;RPS6;RPL17;RPL15;RPL4;EEF1G;RPS3;RPL24;EEF1B2;RPS29;RPL3;RPL23A;RPSA;RPL22;RPL28;UBA52;RPL29;RPL30;RPS9;RPS21;EEF1A2;EEF2;RPL27;RPL8;RPL36;RPL23;RPS14;RPL36AL;RPS20;RPL12;RPLP0,EN-Non-IT-Immature
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),1e-50,6.641666666666666e-48,NA,0.8693022622580907,2.9339870571651674,118,RPS28;RPS27A;RPL37A;RPS15;RPLP2;RPL7A;RPL5;RPS15A;RPL13;RPS25;RPL31;RPS18;RPS12;RPL37;RPL41;RPL11;RPL13A;RPS5;FAU;RPL10;RPS7;RPL6;RPS10;RPL18;RPS23;RPS11;RPS24;RPL32;RPS16;RPS4X;RPS17;RPL10A;RPL21;RPL35;RPL7;RPL38;RPS13;RPL18A;RPL36A;RPS2;RPS8;RPS19;RPS27;RPL9;RPL34;RPL27A;RPL19;RPL26;RPL14;RPL35A;RPS3A;RPLP1;RPL39;RPS6;RPL17;RPL15;RPL4;RPS3;RPL24;RPS29;RPL3;RPL23A;RPSA;RPL22;RPL28;UBA52;RPL29;RPL30;RPS9;RPS21;RPL27;RPL8;RPL36;RPL23;RPS14;RPL36AL;RPS20;EIF4A2;RPL12;RPLP0;EIF3K;RPS26;EIF2S2;PABPC1;EIF4A1;EIF3L,EN-Non-IT-Immature
REACTOME_INFLUENZA_INFECTION (Reactome),1e-50,6.641666666666666e-48,NA,0.7917849399067798,2.7193976501804427,155,RPS28;RPS27A;RPL37A;RPS15;RPLP2;RPL7A;RPL5;RPS15A;RPL13;RPS25;RPL31;RPS18;RPS12;RPL37;RPL41;RPL11;RPL13A;RPS5;FAU;RPL10;RPS7;RPL6;RPS10;RPL18;RPS23;RPS11;RPS24;RPL32;RPS16;RPS4X;RPS17;RPL10A;RPL21;RPL35;RPL7;RPL38;RPS13;RPL18A;RPL36A;RPS2;RPS8;RPS19;RPS27;RPL9;RPL34;RPL27A;RPL19;RPL26;RPL14;RPL35A;RPS3A;RPLP1;RPL39;RPS6;RPL17;RPL15;RPL4;RPS3;RPL24;RPS29;RPL3;RPL23A;RPSA;RPL22;RPL28;UBA52;RPL29;RPL30;RPS9;RPS21;RPL27;RPL8;RPL36;RPL23;RPS14;RPL36AL;RPS20;RPL12;POLR2I;RPLP0;HSP90AA1;SLC25A6,EN-Non-IT-Immature
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),1e-50,6.641666666666666e-48,NA,0.8836853454306828,2.9748323654962543,114,RPS28;RPS27A;RPL37A;RPS15;RPLP2;RPL7A;RPL5;RPS15A;RPL13;RPS25;RPL31;RPS18;RPS12;RPL37;RPL41;RPL11;RPL13A;RPS5;FAU;RPL10;RPS7;RPL6;RPS10;RPL18;RPS23;RPS11;RPS24;RPL32;RPS16;RPS4X;RPS17;RPL10A;RPL21;RPL35;RPL7;RPL38;RPS13;RPL18A;RPL36A;RPS2;RPS8;RPS19;RPS27;RPL9;RPL34;RPL27A;RPL19;RPL26;RPL14;RPL35A;RPS3A;RPLP1;RPL39;RPS6;RPL17;RPL15;RPL4;RPS3;RPL24;RPS29;RPL3;RPL23A;RPSA;RPL22;RPL28;UBA52;RPL29;RPL30;RPS9;RPS21;RPL27;RPL8;RPL36;RPL23;RPS14;RPL36AL;RPS20;RPL12;RPLP0;RPS26;PABPC1,EN-Non-IT-Immature
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS (Reactome),1e-50,6.641666666666666e-48,NA,0.7773785981257667,2.681180534096741,166,RPS28;RPS27A;RPL37A;RPS15;RPLP2;RPL7A;RPL5;RPS15A;RPL13;RPS25;RPL31;RPS18;RPS12;RPL37;RPL41;RPL11;RPL13A;RPS5;FAU;RPL10;RPS7;RPL6;RPS10;RPL18;RPS23;RPS11;RPS24;RPL32;RPS16;RPS4X;RPS17;RPL10A;RPL21;RPL35;RPL7;RPL38;RPS13;RPL18A;RPL36A;RPS2;RPS8;RPS19;RPS27;RPL9;RPL34;RPL27A;RPL19;RPL26;RPL14;RPL35A;RPS3A;RPLP1;RPL39;RPS6;RPL17;RPL15;RPL4;RPS3;RPL24;RPS29;RPL3;RPL23A;RPSA;RPL22;RPL28;UBA52;RPL29;RPL30;RPS9;RPS21;RPL27;RPL8;RPL36;RPL23;RPS14;RPL36AL;ELOB;RPS20;RPL12;RPLP0;UBC;UBB;PSMB4;ROBO2;ROBO1;COL4A5;RPS26;PABPC1;PSMB6;SLIT2,EN-Non-IT-Immature
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),1e-50,6.641666666666666e-48,NA,0.9220780526609363,3.07387871990398,100,RPS28;RPS27A;RPL37A;RPS15;RPLP2;RPL7A;RPL5;RPS15A;RPL13;RPS25;RPL31;RPS18;RPS12;RPL37;RPL41;RPL11;RPL13A;RPS5;FAU;RPL10;RPS7;RPL6;RPS10;RPL18;RPS23;RPS11;RPS24;RPL32;RPS16;RPS4X;RPS17;RPL10A;RPL21;RPL35;RPL7;RPL38;RPS13;RPL18A;RPL36A;RPS2;RPS8;RPS19;RPS27;RPL9;RPL34;RPL27A;RPL19;RPL26;RPL14;RPL35A;RPS3A;RPLP1;RPL39;RPS6;RPL17;RPL15;RPL4;RPS3;RPL24;RPS29;RPL3;RPL23A;RPSA;RPL22;RPL28;UBA52;RPL29;RPL30;RPS9;RPS21;RPL27;RPL8;RPL36;RPL23;RPS14;RPL36AL;RPS20;RPL12;RPLP0;RPS26;EIF2S2,EN-Non-IT-Immature
