pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),3.0395898712726615e-28,1.3541162293893205e-24,1.3802649175935913,0.9176986760992533,2.002744499891794,92,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;EEF1G;RPL15;RPL7;RPL41;RPS17;RPS18;RPL18;RPS15;RPS13;RPS27;RPL23A;RPL13A;RPS12;RPS23;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;EEF1A1;RPL30;RPL39;EEF1B2;RPL28;RPL29;RPL17;RPL11;RPS20;RPL6;RPL32;RPS26;RPS6;RPLP2;RPS15A;RPSA;RPL24;RPL31;RPS5;RPS25;RPL23;RPL35;RPL7A;RPS24;RPS3;RPL37;RPL8;FAU;RPL5;RPS7;RPL22;RPLP0;RPL12,IN-MGE-SST
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),3.397180705944106e-28,1.3541162293893205e-24,1.3802649175935913,0.8969887015599669,1.9640972125367673,100,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPL18;RPS15;RPS13;RPS27;RPL23A;RPL13A;RPS12;RPS23;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28;RPL29;RPL17;RPL11;RPS20;RPL6;RPL32;RPS26;RPS6;RPLP2;RPS15A;RPSA;RPL24;RPL31;RPS5;RPS25;RPL23;RPL35;RPL7A;RPS24;RPS3;RPL37;RPL8;FAU;RPL5;RPS7;ASNS;RPL22;RPLP0;RPL12,IN-MGE-SST
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),9.497429639463147e-28,2.323769126983364e-24,1.3651796021616889,0.8551222121995641,1.8828957593202016,115,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPL18;RPS15;RPS13;RPS27;RPL23A;RPL13A;RPS12;RPS23;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28;RPL29;RPL17;RPL11;RPS20;RPL6;RPL32;RPS26;RPS6;RPLP2;RPS15A;RPSA;RPL24;RPL31;RPS5;RPS25;RPL23;RPL35;RPL7A;RPS24;RPS3;RPL37;RPL8;FAU;RPL5;RPS7;RPL22;RPLP0;RPL12;SEPHS2,IN-MGE-SST
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),1.1659654425405739e-27,2.323769126983364e-24,1.3651796021616889,0.8483261649932319,1.8672144002882474,114,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPL18;RPS15;RPS13;RPS27;RPL23A;RPL13A;RPS12;RPS23;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28;RPL29;RPL17;RPL11;RPS20;RPL6;RPL32;RPS26;RPS6;RPLP2;RPS15A;RPSA;RPL24;RPL31;RPS5;RPS25;RPL23;RPL35;RPL7A;RPS24;RPS3;RPL37;RPL8;FAU;PABPC1;RPL5;RPS7;RPL22;RPLP0;RPL12,IN-MGE-SST
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),1.475506557682576e-27,2.3525476555690995e-24,1.3651796021616889,0.8936544437583859,1.954326688156988,97,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPL18;RPS15;RPS13;RPS27;RPL23A;RPL13A;RPS12;RPS23;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28;RPL29;RPL17;RPL11;RPS20;RPL6;RPL32;RPS26;RPS6;RPLP2;RPS15A;RPSA;RPL24;RPL31;RPS5;RPS25;RPL23;RPL35;RPL7A;RPS24;RPS3;RPL37;RPL8;RPL5;RPS7;RPL22;RPLP0;RPL12,IN-MGE-SST
KEGG_RIBOSOME (KEGG),3.629203362470026e-27,4.822001534268508e-24,1.34992572002205,0.9279674170063363,2.019336782269142,86,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPL18;RPS15;RPS13;RPS27;RPL23A;RPL13A;RPS12;RPS23;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28;RPL29;RPL17;RPL11;RPS20;RPL6;RPL32;RPS26;RPS6;RPLP2;RPS15A;RPSA;RPL24;RPL31;RPS5;RPS25;RPL23;RPL35;RPL7A;RPS24;RPS3;RPL37;RPL8;FAU;RPL5;RPS7;RPL22;RPLP0;RPL12,IN-MGE-SST
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),1.566582315692541e-26,1.7841134601001337e-23,1.334497490816582,0.845347258939237,1.8587997796853923,111,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPL18;RPS15;RPS13;RPS27;RPL23A;RPL13A;RPS12;RPS23;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28;RPL29;RPL17;RPL11;RPS20;RPL6;RPL32;RPS26;RPS6;RPLP2;RPS15A;RPSA;RPL24;RPL31;RPS5;RPS25;RPL23;RPL35;RPL7A;RPS24;RPS3;RPL37;RPL8;FAU;RPL5;RPS7;RPL22;RPLP0;RPL12;SRP14;RPS8;RPN1,IN-MGE-SST
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),1.902667853113079e-26,1.8960085156271834e-23,1.334497490816582,0.8321388081908752,1.8339823921842684,118,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPL18;RPS15;RPS13;RPS27;RPL23A;RPL13A;RPS12;RPS23;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28;RPL29;RPL17;RPL11;RPS20;RPL6;RPL32;RPS26;RPS6;RPLP2;RPS15A;RPSA;RPL24;RPL31;RPS5;RPS25;RPL23;RPL35;RPL7A;RPS24;RPS3;RPL37;RPL8;FAU;PABPC1;RPL5;RPS7;RPL22;RPLP0;RPL12,IN-MGE-SST
REACTOME_CELLULAR_RESPONSE_TO_STARVATION (Reactome),1.2175107643553103e-25,1.0784439792711704e-22,1.3110147627406066,0.7723275097375552,1.7168503535334032,152,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPL18;RPS15;RPS13;RPS27;RPL23A;RPL13A;RPS12;RPS23;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28;RPL29;RPL17;RPL11;RPS20;RPL6;RPL32;RPS26;RPS6;RPLP2;RPS15A;RPSA;RPL24;RPL31;RPS5;RPS25;RPL23;RPL35;ATP6V0C;RPL7A;RPS24;RPS3;RPL37;RPL8;FAU;RPL5;RPS7;ASNS;RPL22;RPLP0;RPL12;ATP6V0B;RPS8;LAMTOR4,IN-MGE-SST
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),5.335628022747342e-24,4.2535626597341814e-21,1.270913044496187,0.7684790220198089,1.7055777774848733,145,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPL18;RPS15;RPS13;RPS27;RPL23A;RPL13A;RPS12;RPS23;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28;RPL29;RPL17;RPL11;RPS20;RPL6;RPL32;RPS26;RPS6;RPLP2;RPS15A;RPSA;RPL24;RPL31;RPS5;RPS25;RPL23;RPL35;RPL7A;RPS24;RPS3;RPL37;RPL8;PABPC1;RPL5;RPS7;RPL22;RPLP0;RPL12,IN-MGE-SST
