pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS (Reactome),1e-50,7.972e-47,NA,-0.5611232866535418,-1.0158435549817086,10,CHRNA6;CHRNA4;CHRNE;CHRNB4;CHRNA3;CHRNB3;CHRNA2;CHRNG;CHRNB2;CHRNA5,OPC
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),4.378055478368267e-13,1.7450929136775912e-9,0.932595211336209,0.7784086342905134,1.4553698315659398,100,RPS19;RPL37A;RPL18A;RPS18;RPS11;RPS3A;RPL13A;RPL23A;RPS16;RPL13;RPL10;RPL24;RPL29;RPL3;RPL30;RPL26;RPL21;RPL9;RPL7;RPS24;RPS12;RPL17;RPS2;RPL27A;RPS27;RPL36;RPLP2;RPL41;RPL7A;RPS15;RPL10A;RPL35A;RPL19;RPS29;RPS23;RPL8;RPS13;RPS28;RPS17;RPL28;RPS3;RPL14;RPS6;RPS14;RPL34;RPL23;RPL18;RPL32;RPL31;RPS26;RPLP1;RPL6;RPS25;RPL37;RPL11;UBA52;RPS27A;RPL27;RPL38;RPL36A;RPL15;RPS5;RPS21;RPL39L;RPS8;RPS20;RPL39;RPS4X;RPS10;RPS9;FAU;RPS7;IMPACT;RPS27L;EIF2S2;RPSA;RPS15A,OPC
KEGG_RIBOSOME (KEGG),1.294013852952084e-12,3.4386261452446716e-9,0.9101197347744591,0.8001178197091792,1.4882792322372118,86,RPS19;RPL37A;RPL18A;RPS18;RPS11;RPS3A;RPL13A;RPL23A;RPS16;RPL13;RPL10;RPL24;RPL29;RPL3;RPL30;RPL26;RPL21;RPL9;RPL7;RPS24;RPS12;RPL17;RPS2;RPL27A;RPS27;RPL36;RPLP2;RPL41;RPL7A;RPS15;RPL10A;RPL35A;RPL19;RPS29;RPS23;RPL8;RPS13;RPS28;RPS17;RPL28;RPS3;RPL14;RPS6;RPL34;RPL23;RPL18;RPL32;RPL31;RPS26;RPLP1;RPL6;RPS25;RPL37;RPL11;UBA52;RPS27A;RPL27;RPL38;RSL24D1;RPL36A;RPL15;RPS5;RPS21;RPS8;RPS20;RPL39;RPS4X;RPS10;RPS9;FAU;RPS7;RPS27L;RPSA;RPS15A,OPC
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),2.2441297373177067e-12,4.47255056647419e-9,0.8986712320616942,0.7879361997879777,1.4690944954524738,92,RPS19;RPL37A;RPL18A;RPS18;RPS11;RPS3A;RPL13A;RPL23A;RPS16;RPL13;EEF1G;RPL10;RPL24;RPL29;RPL3;RPL30;RPL26;RPL21;RPL9;RPL7;RPS24;RPS12;RPL17;RPS2;RPL27A;RPS27;RPL36;RPLP2;RPL41;RPL7A;RPS15;RPL10A;RPL35A;RPL19;RPS29;RPS23;RPL8;RPS13;RPS28;RPS17;RPL28;RPS3;RPL14;RPS6;RPS14;RPL34;RPL23;RPL18;RPL32;RPL31;RPS26;RPLP1;EEF1A1;RPL6;RPS25;RPL37;RPL11;UBA52;RPS27A;RPL27;RPL38;RPL36A;RPL15;RPS5;RPS21;RPL39L;RPS8;RPS20;RPL39;RPS4X;RPS10;RPS9;FAU,OPC
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),5.227301819018637e-12,8.334410020243315e-9,0.8870749883998732,0.7717567452601521,1.4414566081228504,97,RPS19;RPL37A;RPL18A;RPS18;RPS11;RPS3A;RPL13A;RPL23A;RPS16;RPL13;RPL10;RPL24;RPL29;RPL3;RPL30;RPL26;RPL21;RPL9;RPL7;RPS24;RPS12;RPL17;RPS2;RPL27A;RPS27;RPL36;RPLP2;APOD;RPL41;RPL7A;RPS15;RPL10A;RPL35A;RPL19;RPS29;RPS23;RPL8;RPS13;RPS28;RPS17;RPL28;RPS3;RPL14;RPS6;RPS14;RPL34;RPL23;RPL18;RPL32;RPL31;RPS26;RPLP1;RPL6;RPS25;RPL37;RPL11;UBA52;RPS27A;RPL27;RPL38;RPL36A;RPL15;RPS5;RPS21;RPL39L;RPS8;RPS20;RPL39;RPS4X;HBA1;RPS10;RPS9;HBA2;RPS7;RPS27L;RPSA;B3GALT4;RPS15A,OPC
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),1.9691628806245982e-10,2.6163610807232165e-7,0.826657301178302,0.7271091945718707,1.364873815297745,114,RPS19;RPL37A;RPL18A;RPS18;RPS11;RPS3A;RPL13A;RPL23A;RPS16;RPL13;RPL10;RPL24;RPL29;RPL3;RPL30;RPL26;RPL21;RPL9;RPL7;RPS24;RPS12;RPL17;RPS2;RPL27A;RPS27;RPL36;RPLP2;RPL41;RPL7A;RPS15;RPL10A;RPL35A;RPL19;RPS29;RPS23;RPL8;RPS13;RPS28;RPS17;RPL28;RPS3;RPL14;RPS6;RPS14;RPL34;RPL23;RPL18;RPL32;RPL31;ETF1;RPS26;RPLP1;RPL6;RPS25;RPL37;RPL11;UBA52;RPS27A;RPL27;RPL38;RPL36A;RPL15;RPS5;RPS21;RPL39L;SMG7;RPS8;RPS20;RPL39;RPS4X;RPS10;RPS9;SMG6;FAU;PNRC2;RPS7;UPF3B;SMG5;RPS27L;RPSA;RPS15A,OPC
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),1.566967031459043e-9,1.6090400915340308e-6,0.7881868108002371,0.7107909323323878,1.3346545862510875,115,RPS19;RPL37A;RPL18A;RPS18;RPS11;RPS3A;RPL13A;RPL23A;RPS16;RPL13;RPL10;RPL24;RPL29;RPL3;RPL30;RPL26;RPL21;RPL9;RPL7;RPS24;RPS12;RPL17;RPS2;RPL27A;RPS27;RPL36;RPLP2;RPL41;RPL7A;RPS15;RPL10A;RPL35A;RPL19;RPS29;RPS23;RPL8;RPS13;RPS28;RPS17;RPL28;RPS3;RPL14;RPS6;RPS14;RPL34;RPL23;RPL18;RPL32;RPL31;RPS26;RPLP1;RPL6;RPS25;RPL37;RPL11;UBA52;RPS27A;RPL27;RPL38;RPL36A;RPL15;RPS5;KARS1;RPS21;RPL39L;RPS8;RPS20;RPL39;HNMT;RPS4X;RPS10;RPS9;FAU;CBS;SARS1;RPS7;RPS27L;RPSA;RPS15A;CTH;PSTK;RPL22;RPL5;EEF1E1,OPC
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),1.6146915118254197e-9,1.6090400915340308e-6,0.7881868108002371,0.7126576231256455,1.3367581822723058,111,RPS19;RPL37A;RPL18A;RPS18;RPS11;RPS3A;RPL13A;RPL23A;RPS16;RPL13;RPL10;RPL24;RPL29;RPL3;RPL30;RPL26;RPL21;RPL9;RPL7;RPS24;RPS12;RPL17;RPS2;RPL27A;RPS27;RPL36;RPLP2;RPL41;RPL7A;RPS15;RPL10A;RPL35A;RPL19;RPS29;RPS23;RPL8;RPS13;RPS28;RPS17;RPL28;RPS3;RPL14;RPS6;RPS14;RPL34;RPL23;RPL18;SPCS3;RPL32;RPL31;RPS26;RPLP1;RPL6;RPS25;RPL37;RPL11;UBA52;RPS27A;RPL27;RPL38;RPL36A;RPL15;RPS5;RPS21;RPL39L;RPS8;RPS20;RPL39;RPS4X;SSR2;RPS10;RPS9;FAU,OPC
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),2.4779686307505165e-9,2.1949295471492354e-6,0.7749390301364363,0.7130715668151644,1.3398042573711226,118,RPS19;RPL37A;RPL18A;RPS18;RPS11;RPS3A;RPL13A;RPL23A;RPS16;RPL13;RPL10;RPL24;RPL29;RPL3;RPL30;RPL26;RPL21;RPL9;RPL7;RPS24;RPS12;RPL17;RPS2;RPL27A;RPS27;RPL36;RPLP2;RPL41;RPL7A;RPS15;RPL10A;RPL35A;RPL19;RPS29;RPS23;RPL8;RPS13;RPS28;RPS17;RPL28;RPS3;RPL14;RPS6;RPS14;RPL34;RPL23;RPL18;RPL32;RPL31;RPS26;RPLP1;RPL6;RPS25;RPL37;RPL11;UBA52;RPS27A;RPL27;RPL38;RPL36A;RPL15;RPS5;RPS21;RPL39L;RPS8;EIF4A1;RPS20;RPL39;EIF3F;RPS4X;EIF3I;RPS10;RPS9;FAU;EIF3B;EIF2B1;RPS7;EIF2B3;EIF4E;RPS27L;EIF2S2;RPSA;RPS15A,OPC
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION (KEGG),6.522712146908918e-9,5.19990612351579e-6,0.7614608014455848,0.6425378142079784,1.2236559057519003,211,GRM3;GLRA3;CHRM3;GRIK1;GABRG3;CHRM2;GRM7;CHRM5;HTR2C;GRIA2;GABRB2;EDNRB;VIPR2;GABRB1;GPR156;LPAR4;GALR1;GRIN2B;ADRA1B;CNR1;GRIA4;GRM8;NMBR;TSPO;GRIA3;GRIN2A;GLRB;THRB;GABBR1;GABRG2;GLRA2;PTH2R;TACR1;LEPR;TSHR;HCRTR2;GRIN2D;LPAR2;GABBR2;ADRA1A;GRIA1;HTR2B;GHR;GABRA2;F2R;GRM1;PARD3;P2RY14;TRPV1;P2RX4;GRIK4;P2RX7;GRID2;ADCYAP1R1,OPC
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT (GO_CC),1.7782527671037172e-8,1.288748278122803e-5,0.7337619883564803,0.8086887375528145,1.4772240279862818,55,RPL37A;RPL18A;RPL13A;RPL23A;RPL13;RPL10;RPL24;RPL29;RPL3;RPL30;RPL26;RPL21;RPL9;RPL7;RPL17;RPL27A;RPL36;RPLP2;RPL41;RPL7A;RPL10A;RPL35A;RPL19;RPL8;RPL28;RPL14;RPL34;RPL23;RPL18;RPL32;RPL31;RPLP1;RPL6;RPL37;RPL11;UBA52;RPL27;RPL38;RPL36A;RPL15;RPL39L,OPC
