gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection,cell_type,gs_short
KEGG_RIBOSOME (KEGG),7,86,49.36782147831198,4.731482434031311e-10,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,4.33032540687105e-7,KEGG,Astrocyte-Immature,KEGG_RIBOSOME
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),7,92,45.89607285619569,7.642317838474271e-10,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,4.33032540687105e-7,Reactome,Astrocyte-Immature,REACTOME_EUKARYOTIC_TRANSLATION_ELONG...
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),7,97,43.37537611662721,1.111929478292597e-9,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,4.33032540687105e-7,GO_CC,Astrocyte-Immature,GOCC_CYTOSOLIC_RIBOSOME
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY (GO_BP),3,51,76.00011904117585,1.428831957740629e-5,SSTR1;GRIA4;GRIK1,0.0033863317398452907,GO_BP,EN-IT-Immature,GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PAT...
GOMF_IONOTROPIC_GLUTAMATE_RECEPTOR_ACTIVITY (GO_MF),2,19,136.80671626816053,1.4010541451048105e-4,GRIA4;GRIK1,0.013577220073995913,GO_MF,EN-IT-Immature,GOMF_IONOTROPIC_GLUTAMATE_RECEPTOR_AC...
GOBP_LIGAND_GATED_ION_CHANNEL_SIGNALING_PATHWAY (GO_BP),2,21,122.59327286250875,1.7186354524045458e-4,GRIA4;GRIK1,0.013577220073995913,GO_BP,EN-IT-Immature,GOBP_LIGAND_GATED_ION_CHANNEL_SIGNALI...
GOCC_CATENIN_COMPLEX (GO_CC),2,30,106.3715276070565,2.2509510816855267e-4,CDH10;CDH9,0.024422819236287963,GO_CC,EN-L6-IT,GOCC_CATENIN_COMPLEX
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS (Reactome),2,30,106.3715276070565,2.2509510816855267e-4,CDH10;CDH9,0.024422819236287963,Reactome,EN-L6-IT,REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS
GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES (GO_BP),2,40,78.38635844509051,4.018254592036607e-4,CDH10;CDH9,0.02618784782970443,GO_BP,EN-L6-IT,GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHE...
GOCC_POSTSYNAPTIC_MEMBRANE (GO_CC),9,261,10.202901261580529,6.864528213718237e-7,CACNG5;KCTD16;KCTD8;GABRA4;SLC6A1;DRD3;LRRTM2;IL1RAPL1;UTRN,0.001046740319099803,GO_CC,EN-L6b,GOCC_POSTSYNAPTIC_MEMBRANE
GOCC_SYNAPTIC_MEMBRANE (GO_CC),10,357,8.293344715911243,1.0681023664283705e-6,CACNG5;KCTD16;KCTD8;GAD2;GABRA4;SLC6A1;DRD3;LRRTM2;IL1RAPL1;UTRN,0.001046740319099803,GO_CC,EN-L6b,GOCC_SYNAPTIC_MEMBRANE
GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION (GO_BP),4,43,28.021680291446838,2.1364542366267228e-5,GLI3;RARB;TRPS1;SMAD3,0.01380777449405978,GO_BP,EN-L6b,GOBP_REGULATION_OF_CHONDROCYTE_DIFFER...
GOBP_NEURON_RECOGNITION (GO_BP),3,49,43.683695176623594,6.636361384813965e-5,OPCML;CNTN6;CNTN4,0.0468657017293797,GO_BP,EN-Newborn,GOBP_NEURON_RECOGNITION
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES (GO_BP),4,156,18.039462521544475,1.1211890365880311e-4,CDH18;CNTN6;CNTN4;TENM3,0.0468657017293797,GO_BP,EN-Newborn,GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLA...
GOBP_DENDRITE_SELF_AVOIDANCE (GO_BP),2,17,87.25680145493409,3.3354684428786845e-4,CNTN6;CNTN4,0.076791376450808,GO_BP,EN-Newborn,GOBP_DENDRITE_SELF_AVOIDANCE
