gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOCC_CATENIN_COMPLEX (GO_CC),2,30,106.3715276070565,2.2509510816855267e-4,CDH10;CDH9,0.024422819236287963,GO_CC
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS (Reactome),2,30,106.3715276070565,2.2509510816855267e-4,CDH10;CDH9,0.024422819236287963,Reactome
GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES (GO_BP),2,40,78.38635844509051,4.018254592036607e-4,CDH10;CDH9,0.02618784782970443,GO_BP
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION (KEGG),3,211,22.636896835423336,4.898605643554135e-4,GRM8;HTR2C;RXFP1,0.02618784782970443,KEGG
GOBP_ADHERENS_JUNCTION_ORGANIZATION (GO_BP),2,49,63.3827992307604,6.034066320208394e-4,CDH10;CDH9,0.02618784782970443,GO_BP
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION (Reactome),2,55,56.2235092354831,7.599226664406205e-4,CDH10;CDH9,0.02748386976960244,Reactome
REACTOME_GPCR_LIGAND_BINDING (Reactome),3,306,15.491998158982879,0.0014348054470355962,GRM8;HTR2C;RXFP1,0.0376109760763803,Reactome
GOBP_FEEDING_BEHAVIOR (GO_BP),2,79,38.675231072588645,0.0015599022335825933,NEGR1;HTR2C,0.0376109760763803,GO_BP
REACTOME_CELL_JUNCTION_ORGANIZATION (Reactome),2,79,38.675231072588645,0.0015599022335825933,CDH10;CDH9,0.0376109760763803,Reactome
GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY (GO_MF),3,362,13.047494492627674,0.0023169115236720806,GRM8;HTR2C;RXFP1,0.05027698006368415,GO_MF
GOBP_CELL_JUNCTION_ASSEMBLY (GO_BP),3,377,12.518452015734448,0.002599380501982807,NEGR1;CDH10;CDH9,0.051278688084569916,GO_BP
REACTOME_CELL_CELL_COMMUNICATION (Reactome),2,112,27.061292120761337,0.003101313593637044,CDH10;CDH9,0.056082087484936545,Reactome
GOBP_CELL_CELL_JUNCTION_ASSEMBLY (GO_BP),2,122,24.80070152406334,0.003666236535482258,CDH10;CDH9,0.061197948323050005,GO_BP
GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX (GO_CC),3,493,9.51292960054659,0.005512866740615095,CDH10;SNTG2;CDH9,0.07244571319861537,GO_CC
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES (GO_BP),2,156,19.294309741911956,0.005915287386098813,CDH10;CDH9,0.07244571319861537,GO_BP
GOCC_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE (GO_CC),2,158,19.045245377380624,0.006063046038343086,CDH10;CDH9,0.07244571319861537,GO_CC
GOCC_ADHERENS_JUNCTION (GO_CC),2,168,17.889413259901072,0.0068270501554371565,CDH10;CDH9,0.07244571319861537,GO_CC
GOBP_CELL_CELL_JUNCTION_ORGANIZATION (GO_BP),2,175,17.17122900187665,0.007386628017485437,CDH10;CDH9,0.07244571319861537,GO_BP
GOBP_LOCOMOTORY_BEHAVIOR (GO_BP),2,175,17.17122900187665,0.007386628017485437,NEGR1;HTR2C,0.07244571319861537,GO_BP
GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS (GO_BP),1,10,156.7247171494913,0.0074028499128375724,HTR2C,0.07244571319861537,GO_BP
GOMF_AMINE_BINDING (GO_MF),1,10,156.7247171494913,0.0074028499128375724,HTR2C,0.07244571319861537,GO_MF
