gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOCC_POSTSYNAPTIC_MEMBRANE (GO_CC),9,261,10.202901261580529,6.864528213718237e-7,CACNG5;KCTD16;KCTD8;GABRA4;SLC6A1;DRD3;LRRTM2;IL1RAPL1;UTRN,0.001046740319099803,GO_CC
GOCC_SYNAPTIC_MEMBRANE (GO_CC),10,357,8.293344715911243,1.0681023664283705e-6,CACNG5;KCTD16;KCTD8;GAD2;GABRA4;SLC6A1;DRD3;LRRTM2;IL1RAPL1;UTRN,0.001046740319099803,GO_CC
GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION (GO_BP),4,43,28.021680291446838,2.1364542366267228e-5,GLI3;RARB;TRPS1;SMAD3,0.01380777449405978,GO_BP
GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT (GO_BP),6,156,11.112358899691246,2.921100684456176e-5,SLC9A9;SLC24A3;SLC6A1;DRD3;CNKSR3;UTRN,0.01380777449405978,GO_BP
GOMF_NUCLEAR_RECEPTOR_ACTIVITY (GO_MF),4,50,23.760396733147026,3.906676542873603e-5,RARB;RORA;THRB;RXRG,0.01380777449405978,GO_MF
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY (Reactome),4,51,23.255443072941414,4.226869743079524e-5,RARB;RORA;THRB;RXRG,0.01380777449405978,Reactome
GOBP_REGULATION_OF_CARTILAGE_DEVELOPMENT (GO_BP),4,58,20.22073903424707,7.031888201240898e-5,GLI3;RARB;TRPS1;SMAD3,0.01771339768588024,GO_BP
GOBP_RESPONSE_TO_INORGANIC_SUBSTANCE (GO_BP),9,467,5.571847396821392,7.229958239134792e-5,PAM;FOXO1;SYT10;SLC6A1;GUCY1B1;NEUROD2;EGFR;PENK;PDE8A,0.01771339768588024,GO_BP
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE (GO_CC),5,119,12.074763461631488,9.159975091886814e-5,CACNG5;GABRA4;SLC6A1;DRD3;LRRTM2,0.018678270860135977,GO_CC
GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY (GO_BP),5,120,11.96936335875233,9.52973003068162e-5,KCTD16;KCTD8;RAMP1;DRD3;GNG7,0.018678270860135977,GO_BP
