gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOBP_NEURON_PROJECTION_GUIDANCE (GO_BP),13,213,17.296427642522605,6.284670272508998e-12,ALCAM;UNC5D;DCC;ROBO2;GAP43;ETV1;RELN;CHN1;CNTN5;NRP1;DSCAM;EPHA5;ROBO1,1.3116106858726279e-8,GO_BP
GOBP_AXON_DEVELOPMENT (GO_BP),16,440,10.266007413665815,5.1214443191892366e-11,ALCAM;UNC5D;DCC;ROBO2;GAP43;ETV1;ACTB;RELN;CHN1;LRRC4C;CNTN5;NRP1;DSCAM;EPHA5;CCK;ROBO1,5.3442271470739685e-8,GO_BP
GOBP_TAXIS (GO_BP),14,490,7.82469952961583,1.9206099468798344e-8,ALCAM;UNC5D;DCC;ROBO2;GAP43;ETV1;RELN;CHN1;CNTN5;NRP1;DSCAM;EPHA5;ROBO1;SMOC2,1.336104319712738e-5,GO_BP
KEGG_AXON_GUIDANCE (KEGG),8,121,17.994542554836137,4.5372081547170843e-8,UNC5D;DCC;ROBO2;NGEF;LRRC4C;NRP1;EPHA5;ROBO1,2.3672883547236388e-5,KEGG
GOBP_NEURON_RECOGNITION (GO_BP),6,49,34.843974330205114,5.7616674909085146e-8,CNTNAP2;ROBO2;GAP43;NRP1;DSCAM;ROBO1,2.4049200107052137e-5,GO_BP
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES (GO_BP),10,244,11.029573864293827,8.505923189138985e-8,CDH8;ALCAM;UNC5D;CDH9;ROBO2;TENM3;LRRC4C;DSCAM;ROBO1;FAT3,2.9586436159555102e-5,GO_BP
GOBP_CELL_JUNCTION_ASSEMBLY (GO_BP),11,377,7.792760510846153,5.681974431841882e-7,CDH8;CDH9;CNTNAP2;DLC1;ROBO2;GAP43;ACTB;CNTN5;NRP1;DSCAM;LRRTM3,1.6940400913220013e-4,GO_BP
GOBP_SYNAPSE_ORGANIZATION (GO_BP),11,389,7.542409160193113,7.726808044494117e-7,CDH8;ROBO2;GAP43;ACTB;RELN;NGEF;LRRC4C;CNTN5;NRP1;DSCAM;LRRTM3,1.950485009413509e-4,GO_BP
GOCC_GLUTAMATERGIC_SYNAPSE (GO_CC),10,313,8.495443036863712,8.411291367858927e-7,CDH8;GUCY1A1;ACTB;SYT4;CALY;GRM3;SYN2;LRRC4C;NRP1;LRRTM3,1.950485009413509e-4,GO_CC
GOBP_FOREBRAIN_DEVELOPMENT (GO_BP),10,339,7.81533829125157,1.725569481388763e-6,FOXP2;CNTNAP2;DLC1;RARB;ROBO2;RELN;PRKG1;NRP1;EPHA5;ROBO1,3.601263507658348e-4,GO_BP
GOBP_REGULATION_OF_AXONOGENESIS (GO_BP),7,148,12.489278920232806,3.11682748591226e-6,DCC;ROBO2;CHN1;LRRC4C;NRP1;DSCAM;ROBO1,5.913471784635352e-4,GO_BP
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES (GO_BP),7,156,11.81544953861484,4.4163141735952465e-6,CDH8;CDH9;ROBO2;TENM3;DSCAM;ROBO1;FAT3,7.6807064002444e-4,GO_BP
HALLMARK_KRAS_SIGNALING_UP (Hallmark),7,168,10.931487642127069,7.1900127386635e-6,PCP4;GUCY1A1;ETV1;RELN;MAP7;NRP1;SPON1,0.001037150704942229,Hallmark
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS (Reactome),4,30,37.75318519374447,7.402033090702526e-6,CDH8;CDH9;ACTB;CADM2,0.001037150704942229,Reactome
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT (GO_BP),10,403,6.526784664097013,7.950675327287986e-6,DCC;ROBO2;TENM3;RELN;CHN1;NGEF;LRRC4C;NRP1;DSCAM;ROBO1,0.001037150704942229,GO_BP
GOBP_NETRIN_ACTIVATED_SIGNALING_PATHWAY (GO_BP),3,10,104.12353295392856,8.44828077815903e-6,UNC5D;DCC;DSCAM,0.001037150704942229,GO_BP
REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO (Reactome),3,10,104.12353295392856,8.44828077815903e-6,DCC;ROBO2;ROBO1,0.001037150704942229,Reactome
GOBP_CELL_RECOGNITION (GO_BP),6,123,12.78887966954293,1.3612944919727075e-5,CNTNAP2;ROBO2;GAP43;NRP1;DSCAM;ROBO1,0.001578345335970578,GO_BP
GOBP_MECHANOSENSORY_BEHAVIOR (GO_BP),3,12,80.97540555732587,1.539387973799842e-5,CNTNAP2;SLC1A3;ETV1,0.0016908961585896157,GO_BP
GOCC_SYNAPTIC_MEMBRANE (GO_CC),9,357,6.581077325558515,2.0331917399146676e-5,CDH8;KCTD16;DCC;GABRB1;GRM3;LRRC4C;CNTN5;NRP1;LRRTM3,0.0021216355806009555,GO_CC
GOBP_NEURON_MIGRATION (GO_BP),6,147,10.607706149099553,3.732038067490711e-5,UNC5D;DCC;RELN;PRKG1;NRP1;CCK,0.003708934974691959,GO_BP
GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE (GO_CC),6,153,10.169708524342585,4.66805304739254e-5,DCC;GRM3;LRRC4C;CNTN5;NRP1;LRRTM3,0.004251858962862583,GO_CC
GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE (GO_BP),3,17,52.108879756173664,4.685805277711519e-5,ALCAM;ROBO2;NRP1,0.004251858962862583,GO_BP
GOBP_STRIATUM_DEVELOPMENT (GO_BP),3,18,48.65350413304927,5.605781626206977e-5,FOXP2;CNTNAP2;RARB,0.004851431021159365,GO_BP
REACTOME_NETRIN_1_SIGNALING (Reactome),4,50,21.340048228415164,5.831065512814322e-5,UNC5D;DCC;DSCAM;ROBO1,0.004851431021159365,Reactome
GOBP_TELENCEPHALON_DEVELOPMENT (GO_BP),7,234,7.734116112480649,6.0439485649326054e-5,FOXP2;CNTNAP2;RARB;ROBO2;RELN;EPHA5;ROBO1,0.004851431021159365,GO_BP
GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY (GO_MF),4,51,20.88720944523975,6.306936967714216e-5,ROBO2;LRRC4C;CNTN5;DSCAM,0.004875028685785025,GO_MF
