gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),10,92,93.10205831972063,3.7809341313338586e-16,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;EEF1A1;RPL35A,2.971814227228413e-13,Reactome
KEGG_RIBOSOME (KEGG),9,86,86.94004713815127,1.81094383596811e-14,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,7.1170092753546724e-12,KEGG
REACTOME_SIGNALING_BY_ROBO_RECEPTORS (Reactome),11,211,43.10650656525404,4.223733424067684e-14,RPS8;RPS15A;ROBO1;DCC;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,1.091335869835549e-11,Reactome
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),9,97,75.88744602595101,5.553872111122387e-14,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,1.091335869835549e-11,GO_CC
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),9,100,73.5788335305654,7.365653746038942e-14,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,1.1578807688773216e-11,Reactome
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS (Reactome),10,166,48.910524717700994,1.5950849757962423e-13,RPS8;RPS15A;ROBO1;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,2.0895613182930774e-11,Reactome
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),9,111,65.53548117486451,1.9307925587588434e-13,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,2.1680042159777872e-11,Reactome
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),9,114,63.661824270487024,2.467769901813608e-13,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,2.335352897093693e-11,Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),9,115,63.060846072747125,2.6740682027790377e-13,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,2.335352897093693e-11,Reactome
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),9,118,61.32399166639763,3.3875971991379733e-13,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,2.6626513985224467e-11,Reactome
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),9,145,49.159273295564624,2.2228500372900124e-12,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,1.5883273902817726e-10,GO_BP
REACTOME_CELLULAR_RESPONSE_TO_STARVATION (Reactome),9,152,46.70581705088308,3.409434766147884e-12,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,2.233179771826864e-10,Reactome
