gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),51,92,291.73469310499587,3.565016637363671e-91,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;EEF1G;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;EEF1A1;RPL30;RPL39;EEF1B2;RPL28,9.736060436640185e-88,Reactome
KEGG_RIBOSOME (KEGG),47,86,273.0798518736227,2.010439057672364e-83,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28,2.745254533251613e-80,KEGG
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),48,97,224.3643452129912,2.3292960302790902e-82,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28,2.120435819564065e-79,GO_CC
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),48,100,211.19188459682493,1.6827281279752078e-81,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28,1.1488826293750732e-78,Reactome
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),48,111,175.42420776730577,1.2342023412522322e-78,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28,6.741213187919693e-76,Reactome
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),48,114,167.1872627757558,6.403526993466429e-78,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28,2.9146720365261363e-75,Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),48,115,164.61089370750685,1.0944563104559453e-77,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28,4.269943119793124e-75,Reactome
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),48,118,157.3813517783688,5.269098310190587e-77,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28,1.7987384356413117e-74,Reactome
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),48,145,113.4473213528103,1.0050873213515446e-71,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28,3.049881638456743e-69,GO_BP
REACTOME_CELLULAR_RESPONSE_TO_STARVATION (Reactome),48,152,105.96242427629042,1.4847663806713652e-70,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28,4.054896985613499e-68,Reactome
