gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION (GO_BP),4,69,38.33725293535091,6.476091786827344e-6,MBP;IL1RAP;PLCG2;ZBTB20,0.006301430176302198,GO_BP
GOCC_LEADING_EDGE_MEMBRANE (GO_CC),5,168,19.504969006485467,1.104427899196692e-5,ITGA8;CNTNAP2;ADGRV1;PLCG2;FERMT1,0.006301430176302198,GO_CC
GOCC_CELL_PROJECTION_MEMBRANE (GO_CC),6,315,12.581057660542221,1.751089625023343e-5,ITGA8;CNTNAP2;ADGRV1;PLCG2;SLC26A3;FERMT1,0.006301430176302198,GO_CC
GOBP_MUSCLE_TISSUE_DEVELOPMENT (GO_BP),6,317,12.499278029498294,1.814666717437638e-5,ITGA8;FOS;RYR2;RBFOX1;RARB;NRG1,0.006301430176302198,GO_BP
GOCC_SYNAPTIC_MEMBRANE (GO_CC),6,357,11.057926276285002,3.532338731762465e-5,CNTN6;TENM2;GRM3;ITGA8;GLRA3;UNC13C,0.009812836996836128,GO_CC
GOBP_INTERLEUKIN_6_PRODUCTION (GO_BP),4,111,23.277443170935268,4.2523708304887134e-5,MBP;IL1RAP;PLCG2;ZBTB20,0.009844238472581372,GO_BP
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES (GO_BP),5,244,13.262886828371824,6.589348642700382e-5,CNTN6;TENM2;MBP;IL1RAP;CRB1,0.013075150378158328,GO_BP
GOBP_RESPONSE_TO_CALCIUM_ION (GO_BP),4,133,19.283405324500986,8.60053406437292e-5,ADGRV1;FOS;PLCG2;RYR2,0.014932677269267482,GO_BP
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS (Reactome),3,52,37.29713708561102,1.0367867491657866e-4,GALNTL6;ST6GALNAC3;GALNT13,0.015580190152013899,Reactome
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS (GO_BP),6,450,8.71238122458897,1.2656496845064383e-4,TENM2;CNTNAP2;IL1RAP;PLCG2;FERMT1;NRG1,0.015580190152013899,GO_BP
GOCC_PERIKARYON (GO_CC),4,149,17.142202714934758,1.3339803091061712e-4,ITGA8;CNTNAP2;NPY;GLRA3,0.015580190152013899,GO_CC
GOCC_NEURON_PROJECTION_MEMBRANE (GO_CC),3,57,33.837665352987315,1.3643189992126566e-4,ITGA8;CNTNAP2;ADGRV1,0.015580190152013899,GO_CC
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS (GO_BP),5,289,11.143479674991111,1.4581891430970532e-4,HS3ST5;GALNTL6;MGAT4C;ST6GALNAC3;GALNT13,0.015580190152013899,GO_BP
GOBP_RESPONSE_TO_METAL_ION (GO_BP),5,308,10.44008309487961,1.9602221092742975e-4,MBP;ADGRV1;FOS;PLCG2;RYR2,0.019448203641299993,GO_BP
