gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT (GO_BP),4,39,51.848904752264644,2.1027754323114776e-6,CKB;COX6B1;BASP1;MBP,0.003469579463313938,GO_BP
GOBP_NEURAL_NUCLEUS_DEVELOPMENT (GO_BP),4,55,35.57710404341469,8.47827379970774e-6,CKB;COX6B1;BASP1;MBP,0.006994575884758885,GO_BP
GOBP_MIDBRAIN_DEVELOPMENT (GO_BP),4,77,24.875922934365082,3.237063440066685e-5,CKB;COX6B1;BASP1;MBP,0.013691398754308326,GO_BP
REACTOME_NEURONAL_SYSTEM (Reactome),7,387,8.708850856377932,3.3191269707414125e-5,TUBB2A;HSPA8;KCND2;ADCY8;IL1RAP;GLRA3;NRG1,0.013691398754308326,Reactome
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT (GO_BP),7,403,8.354066443266083,4.290056269279492e-5,CTNNA2;ALK;MT3;CSMD3;SEMA6D;VIM;MBP,0.014157185688622323,GO_BP
GOBP_ASTROCYTE_DEVELOPMENT (GO_BP),3,32,46.17785021618572,5.764934570627746e-5,MT3;CDK6;VIM,0.0158535700692263,GO_BP
GOBP_GLIAL_CELL_DEVELOPMENT (GO_BP),4,100,18.897560824583472,9.010043560430879e-5,MT3;CDK6;VIM;NRG1,0.01691580098007609,GO_BP
GOCC_GLUTAMATERGIC_SYNAPSE (GO_CC),6,313,9.104276554837487,9.148130578983108e-5,HSPA8;KCND2;ADGRL3;ADCY8;IL1RAP;NRG1,0.01691580098007609,GO_CC
GOBP_GLIAL_CELL_DIFFERENTIATION (GO_BP),5,194,12.164155995403787,9.226800534586959e-5,MT3;CDK6;VIM;CRB1;NRG1,0.01691580098007609,GO_BP
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY (GO_BP),4,120,15.62783788190942,1.822730034196975e-4,GHR;MT3;ADCY8;NRG1,0.028064036652354962,GO_BP
