gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),80,92,428.0662100892516,3.2737960972843013e-128,RPL7A;RPS28;RPL37A;RPS15;RPLP2;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;EEF1A1;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;EEF1G;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;EEF1B2;RPS3A;RPS17;RPS21;RPL9;EEF1A2;EEF2;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,1.4123156363684475e-124,Reactome
KEGG_RIBOSOME (KEGG),74,86,390.8307300192274,1.0032173627425215e-117,RPL7A;RPS28;RPL37A;RPS15;RPLP2;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,2.163939851435619e-114,KEGG
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),75,100,189.55900548735218,2.0266973060976348e-110,RPL7A;RPS28;RPL37A;RPS15;RPLP2;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,2.914390726168399e-107,Reactome
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),74,97,202.11947728346453,6.224511845308597e-110,RPL7A;RPS28;RPL37A;RPS15;RPLP2;RPS25;RPL31;RPS18;RPL37;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,6.713136025165321e-107,GO_CC
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),76,111,137.1322906773052,1.0071816651823935e-106,RPL7A;RPS28;RPL37A;RPS15;RPLP2;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;SRP14;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,8.689963407193691e-104,Reactome
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),75,114,121.26045761163141,3.382981819057711e-103,RPL7A;RPS28;RPL37A;RPS15;RPLP2;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,2.4323639279024944e-100,Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),75,115,118.26381247159142,9.576842570600275e-103,RPL7A;RPS28;RPL37A;RPS15;RPLP2;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,5.902071264224227e-100,Reactome
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),75,118,110.12008595916164,1.977423667755182e-101,RPL7A;RPS28;RPL37A;RPS15;RPLP2;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,1.0663257128369818e-98,Reactome
REACTOME_INFLUENZA_INFECTION (Reactome),76,155,60.89242455226529,1.6022331036949657e-90,RPL7A;RPS28;RPL37A;RPS15;RPLP2;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14;SLC25A6,7.680037343711202e-88,Reactome
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),74,145,65.66150327064368,7.522448457429735e-90,RPL7A;RPS28;RPL37A;RPS15;RPLP2;RPS25;RPL31;RPS18;RPL37;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,3.2451842645351876e-87,GO_BP
