gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),73,92,266.46766844215966,1.8119607672882282e-113,RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;EEF1A1;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;EEF1G;RPS12;RPL22;RPL3;UBA52;RPL29;EEF1B2;RPS3A;RPS17;RPS21;RPL9;EEF1A2;EEF2;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,7.508765419642418e-110,Reactome
KEGG_RIBOSOME (KEGG),67,86,241.27831789228682,4.932215678014465e-103,RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,1.0219550884845972e-99,KEGG
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),68,100,144.51656083084978,1.5498720760731713e-97,RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,2.140889961082407e-94,Reactome
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),67,97,151.45811544204616,7.669908007818895e-97,RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,7.946024696100375e-94,GO_CC
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),69,111,112.35457490189025,9.935031011218598e-95,RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;SRP14;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,8.234153702097973e-92,Reactome
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),68,114,100.75374210669932,1.653029417351735e-91,RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,1.141692317584265e-88,Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),68,115,98.56430855598859,3.987133030374015e-91,RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,2.360382753981417e-88,Reactome
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),68,118,92.61626096012343,5.2013787844932625e-90,RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,2.69431421036751e-87,Reactome
REACTOME_INFLUENZA_INFECTION (Reactome),69,155,54.78036899702365,8.34393335246896e-81,RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14;SLC25A6,3.841917756959041e-78,Reactome
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS (Reactome),70,166,49.978507099587354,6.840316613538553e-80,RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;ROBO2;ROBO1;RPS14,2.8344886270006793e-77,Reactome
