pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Acetylcholine synthesis (WikiPathways),0.0011137009512065471,0.21605798453407016,0.45505986738722953,0.7099291683713695,2.483493470488843,6,Pyruvic Acid;Dl-Dipalmitoylphosphatidylcholine;Glycerophosphocholine;Cytidine 5'-Diphosphocholine,EN-IT-Immature
KEGG:map01120 (KEGG),0.015498450154984501,0.9614291202458701,0.11516714100944504,0.5123326306566911,2.053694549444404,9,"Maleic Acid;2,6-Dihydroxypyridine Hcl;Mesaconic Acid;Cyclohexylamine;6-Aminocaproic Acid;D-Gluconic Acid;2-Furoic Acid",EN-IT-Immature
Organic anion transporters (Reactome),0.024897510248975102,0.9614291202458701,0.09037473381123272,0.5660388953037259,1.980132614855684,6,Pyruvic Acid;L-Glutamic Acid;N-Acetyl-Neuraminic Acid,EN-IT-Immature
Nicotinate and nicotinamide metabolism (KEGG),0.0332966703329667,0.9614291202458701,0.07779219192106737,0.49519427056981935,1.9088507843137934,8,"L-Glutamic Acid;Maleic Acid;2,6-Dihydroxypyridine Hcl",EN-IT-Immature
Sialic acid metabolism (Reactome),0.05469453054694531,0.9614291202458701,0.06000346547780699,0.5152682477046528,1.8025253584951029,6,Pyruvic Acid;N-Acetyl-Neuraminic Acid;Cytidine 5'-Triphosphate;Uridine 5'-Diphosphate,EN-IT-Immature
Synthesis of substrates in N-glycan biosythesis (Reactome),0.06229377062293771,0.9614291202458701,0.055994976716532335,0.36305722907750304,1.7109474517952628,15,Pyruvic Acid;L-Glutamic Acid;N-Acetyl-Neuraminic Acid;Uridine Monophosphate;Cytidine 5'-Triphosphate;D-Mannose;N-Acetyl-D-Glucosamine 6-Phosphate;Uridine 5'-Diphosphate;Glucose 1-Phosphate,EN-IT-Immature
Serine biosynthesis (Reactome),0.0654934506549345,0.9614291202458701,0.05451571338508231,0.5414089021446565,1.7779417434026201,5,Pyruvic Acid;L-Glutamic Acid;Phosphoserine,EN-IT-Immature
Lactate shuttle in glial cells (WikiPathways),0.06719328067193281,0.9614291202458701,0.05377224601181772,0.47496692473977775,1.7456939389252872,7,Pyruvic Acid;Udp-Β-D-Glucose (Sodium Salt);Dl-Lactic Acid,EN-IT-Immature
Metabolic disorders of biological oxidation enzymes (Reactome),0.0827917208279172,0.9614291202458701,0.048032517383238445,0.4172748034510262,1.672653542229861,9,Vitamin D3;L-Glutamic Acid;Progesterone,EN-IT-Immature
Nicotinate metabolism (Reactome),0.126987301269873,0.9614291202458701,0.037833743098097034,0.4258285522889952,1.56509071270489,7,Pyruvic Acid;L-Glutamic Acid,EN-IT-Immature
GABA metabolism (aka GHB) (WikiPathways),0.1324867513248675,0.9614291202458701,0.03692304081469379,0.3673113007593177,1.522125672920058,10,L-Glutamic Acid;Γ-Aminobutyric Acid;N-Acetylputrescine,EN-IT-Immature
