pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Metabolic disorders of biological oxidation enzymes (Reactome),0.0184981501849815,0.7646068726460687,0.10522822140432425,0.541502493657093,1.9224870174777609,9,Vitamin D3;Glycine;L-(-)-Methionine;L-Glutamic Acid;Progesterone;L-Pyroglutamic Acid;Arachidonic Acid,IN-CGE-Immature
Metabolism overview (WikiPathways),0.020597940205979402,0.7646068726460687,0.09960004885309227,0.4212765650666942,1.806205272094362,18,L-Ornithine;D-(+)-Glucose;Pyruvic Acid;Palmitic Acid;3-Hydroxybutyric Acid;L-Glutamic Acid;Glucose 1-Phosphate;Citric Acid;Ethyl Acetoacetate;L-Glutamine;L(+)-Ornithine;D-Glucose;D-Ribose 5-Phosphate;L-Aspartic Acid;Dihydroxyacetone Phosphate,IN-CGE-Immature
KEGG:map01120 (KEGG),0.0230976902309769,0.7646068726460687,0.093923690818302,0.5302926344102262,1.8826888464216889,9,2-Furoic Acid;Isobutyric Acid;Mesaconic Acid;Cyclohexylamine,IN-CGE-Immature
Purine ribonucleoside monophosphate biosynthesis (Reactome),0.0420957904209579,0.7646068726460687,0.0688594151123592,0.4789762340036563,1.749887824503695,10,"Glycine;L-Glutamic Acid;Guanosine-5'-Monophosphate;L-Glutamine;D-Fructose-1,6-Bisphosphate;Adenosine 5'-Diphosphate;L-Aspartic Acid;5'-Xanthylic Acid;Guanosine 5'-Diphosphate (Gdp)",IN-CGE-Immature
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.0585941405859414,0.7646068726460687,0.057850929108008646,0.5217929422471932,1.7163331579066134,7,L-Lysine;L-Ornithine,IN-CGE-Immature
T cell modulation in pancreatic cancer (WikiPathways),0.0660933906609339,0.7646068726460687,0.05425011518247695,0.5118267997072788,1.6835515322602181,7,L-Ornithine;Dl-Arginine,IN-CGE-Immature
MTHFR deficiency (WikiPathways),0.07599240075992401,0.7646068726460687,0.050322156489661464,0.5670489301439078,1.6885746465063751,5,Cytidine 5'-Diphosphocholine;L-(-)-Methionine;Nervonic Ceramide,IN-CGE-Immature
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),0.0760923907609239,0.7646068726460687,0.0502863396522084,0.5263157894736843,1.6584519623563443,6,"D-(+)-Glucose;Pyruvic Acid;Dl-Lactic Acid;D-Glucose 6-Phosphate;D-Fructose-1,6-Bisphosphate;D-Glucose",IN-CGE-Immature
Cysteine and methionine catabolism (WikiPathways),0.0877912208779122,0.7646068726460687,0.046516703606142074,0.39793100130441056,1.5675766730617458,13,2-Oxobutanoic Acid;Pyruvic Acid;Glycine;Hypotaurine;L-(-)-Methionine;L-Glutamic Acid;Adenosine,IN-CGE-Immature
Gluconeogenesis (Reactome),0.08999100089991001,0.7646068726460687,0.04588889823293002,0.46448087431693985,1.5942396275171153,8,"Pyruvic Acid;L-Glutamic Acid;D-Fructose-1,6-Bisphosphate;D-Glucose;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);Dihydroxyacetone Phosphate",IN-CGE-Immature
Modified nucleosides derived from tRNA as urinary cancer markers (WikiPathways),0.10428957104289571,0.7646068726460687,0.042289364661447525,0.43807549820982766,1.5552919291204894,9,Pseudouridine;Cytidine;Inosine;Adenosine;7-Methylguanosine,IN-CGE-Immature
Glucose homeostasis (WikiPathways),0.10468953104689531,0.7646068726460687,0.04219904203593588,0.3771219923840963,1.5154137358150295,14,L-Lysine;L-Ornithine;D-(+)-Glucose;Pyruvic Acid;L-(-)-Methionine;3-Hydroxybutyric Acid;L(+)-Ornithine;L-Valine;L-Histidine;D-Glucose,IN-CGE-Immature
Free fatty acid receptors (Reactome),0.11378862113788621,0.7646068726460687,0.040269694795322115,0.4953734687860896,1.560950892674363,6,"Palmitic Acid;Myristic Acid;7(Z),10(Z),13(Z),16(Z)-Docosatetraenoic Acid;Palmitoleic Acid;Docosahexaenoic Acid",IN-CGE-Immature
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",0.12638736126387362,0.7646068726460687,0.03793649589498994,0.39560439560439564,1.4864228502041779,11,"2-Oxobutanoic Acid;Pyruvic Acid;Glycine;Histamine;Adenosine;D,L-Serine;Sarcosine;L-Serine;Dl-Alanine",IN-CGE-Immature
Nucleotide biosynthesis (Reactome),0.13108689131086892,0.7646068726460687,0.037149677276664496,0.3925774347654255,1.4750495090388343,11,"Glycine;L-Glutamic Acid;Guanosine-5'-Monophosphate;L-Glutamine;D-Fructose-1,6-Bisphosphate;Adenosine 5'-Diphosphate;L-Aspartic Acid;5'-Xanthylic Acid;Guanosine 5'-Diphosphate (Gdp)",IN-CGE-Immature
Late SARS-CoV-2 Infection Events (Reactome),0.13508649135086492,0.7646068726460687,0.03651105900735313,0.4545454545454546,1.4951360439108998,7,D-(+)-Glucose;D-Glucose;Adenosine 5'-Diphosphate;Uridine 5'-Diphosphate,IN-CGE-Immature
Translation of Structural Proteins (Reactome),0.13508649135086492,0.7646068726460687,0.03651105900735313,0.4545454545454546,1.4951360439108998,7,D-(+)-Glucose;D-Glucose;Adenosine 5'-Diphosphate;Uridine 5'-Diphosphate,IN-CGE-Immature
