pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Glucose homeostasis (WikiPathways),0.0015186751249845881,0.2618738126187381,0.45505986738722953,0.6267447767928592,1.914193238451152,14,Pyruvic Acid;L-Lysine;L-Ornithine;D-Glucose;L-(-)-Methionine,IN-MGE-SST
Lysine catabolism (Reactome),0.0026997300269973002,0.2618738126187381,0.27986565266193214,0.7642345721721943,1.9909983540888287,7,L-Lysine;2-Oxoadipic Acid;L-Saccharopine;Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid,IN-MGE-SST
Metabolism overview (WikiPathways),0.0072992700729927005,0.29928435727855784,0.16881930001783912,0.5324937135771679,1.709845012398196,18,Pyruvic Acid;Palmitic Acid;L-Ornithine;D-Glucose;Glucose 1-Phosphate;L-Glutamic Acid,IN-MGE-SST
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.0086991300869913,0.29928435727855784,0.15444634885596145,0.7066084113590486,1.8408695906054884,7,L-Lysine;L-Ornithine;D-Glucose;L-Glutamic Acid,IN-MGE-SST
Metabolic pathways of fibroblasts (WikiPathways),0.010098990100989901,0.29928435727855784,0.14318464218377616,0.5791572094121311,1.7418031074439377,13,Pyruvic Acid;D-Glucose;D-Glucose 6-Phosphate;Glucose 1-Phosphate;L-Glutamic Acid;L-Serine,IN-MGE-SST
Metabolic disorders of biological oxidation enzymes (Reactome),0.012998700129987,0.29928435727855784,0.1259529316386221,0.6314837534303762,1.7494965156056124,9,L-(-)-Methionine;L-Glutamic Acid;Vitamin D3;L-Glutathione (Reduced);Progesterone;Arachidonic Acid;L-Pyroglutamic Acid,IN-MGE-SST
Organic anion transporters (Reactome),0.0156984301569843,0.29928435727855784,0.11441726515321372,0.7100911983401774,1.7852689887480873,6,Pyruvic Acid;L-Glutamic Acid;Citric Acid,IN-MGE-SST
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),0.0165983401659834,0.29928435727855784,0.11121188275410136,0.7066146062399158,1.7765283479999248,6,Pyruvic Acid;D-Glucose;D-Glucose 6-Phosphate,IN-MGE-SST
Regulation of insulin secretion (Reactome),0.018198180181981802,0.29928435727855784,0.10611051875686135,0.6998288678249662,1.7594680487224754,6,Palmitic Acid;D-Glucose;Guanosine 5'-Diphosphate (Gdp),IN-MGE-SST
Lactate shuttle in glial cells (WikiPathways),0.018598140185981403,0.29928435727855784,0.104938859783548,0.6656507046194493,1.7341657987657475,7,Pyruvic Acid;D-Glucose 6-Phosphate;Glucose 1-Phosphate;Dl-Glutamine,IN-MGE-SST
Lysine degradation (KEGG),0.018598140185981403,0.29928435727855784,0.104938859783548,0.6656786983609995,1.7342387285904122,7,L-Lysine;2-Oxoadipic Acid;L-Saccharopine;L-Glutamic Acid,IN-MGE-SST
Gluconeogenesis (Reactome),0.0207979202079792,0.29928435727855784,0.09910876842634327,0.6319861333438801,1.7043209590939765,8,Pyruvic Acid;D-Glucose;Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid,IN-MGE-SST
Methionine Metabolism (KEGG),0.021497850214978503,0.29928435727855784,0.0974433570168394,0.5018518518518518,1.5944267966733359,17,"Pyruvic Acid;L-(-)-Methionine;1-Aminocyclopropanecarboxylic Acid;L-Glutamic Acid;L-Serine;Putrescine;Adenosine;Adenosine 5'-Diphosphate;D,L-Serine;Choline;Adenosine Triphosphate (Atp);Sarcosine;5'-S-Methyl-5'-Thioadenosine;Glycine",IN-MGE-SST
Glyoxylate metabolism (WikiPathways),0.023997600239976002,0.29928435727855784,0.09209960257914776,0.622603833540909,1.6790190586960985,8,Pyruvic Acid;L-Hydroxyproline;Glycolic Acid;L-Serine,IN-MGE-SST
Glyoxylate metabolism and glycine degradation (Reactome),0.0287971202879712,0.29928435727855784,0.08385350613623484,0.6103148591579254,1.6458785268052007,8,Pyruvic Acid;L-Hydroxyproline;Glycolic Acid,IN-MGE-SST
Disorders of fructose metabolism (WikiPathways),0.028897110288971104,0.29928435727855784,0.0837037443963104,0.6731158471358301,1.6923077634752073,6,Pyruvic Acid;D-Glucose 6-Phosphate;Glucose 1-Phosphate,IN-MGE-SST
Glycogen synthesis and degradation (WikiPathways),0.029097090290970903,0.29928435727855784,0.08340652120399722,0.7145874016718213,1.7162214794046358,5,D-Glucose;Glucose 1-Phosphate,IN-MGE-SST
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",0.029497050294970503,0.29928435727855784,0.0828210936072908,0.6086612295628873,1.6414190688698034,8,D-Glucose;Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid;Caprolactam,IN-MGE-SST
Nicotinamide salvaging (Reactome),0.030396960303969604,0.29928435727855784,0.08154603126573544,0.7116428728819577,1.7091496173146152,5,Pyruvic Acid;Adenosine 5'-Diphosphate,IN-MGE-SST
Orexin receptor pathway (WikiPathways),0.030996900309969003,0.29928435727855784,0.08072674787711105,0.6337175923542955,1.650973051046753,7,D-Glucose;L-Glutamic Acid;Progesterone;Arachidonic Acid;2-Arachidonoyl Glycerol,IN-MGE-SST
Glucose metabolism (Reactome),0.032396760323967606,0.29928435727855784,0.07890358414389557,0.5646364719250623,1.602325153821522,10,Pyruvic Acid;D-Glucose;Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid;Dihydroxyacetone Phosphate;Citric Acid;Adenosine 5'-Diphosphate,IN-MGE-SST
Vitamin B6-dependent and responsive disorders (WikiPathways),0.045795420457954206,0.3871178099581346,0.0658886340177412,0.6801544766155151,1.6335240718627346,5,L-Lysine;L-Saccharopine;L-Glutamic Acid,IN-MGE-SST
