pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source,cell_type,pathway_short
Nitrogen metabolism (KEGG),3,12,6.34905587187287,0.0223373970491077,L-Histidine;Adenosine 5'-Diphosphate;Biotin,0.4792560347655285,KEGG,Astrocyte-Immature,Nitrogen metabolism
Purine catabolism (Reactome),3,12,6.34905587187287,0.0223373970491077,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Uric Acid,0.4792560347655285,Reactome,Astrocyte-Immature,Purine catabolism
Carnosine metabolism of glial cells (WikiPathways),2,5,12.317864069465406,0.02536018656700231,L-Histidine;Adenosine 5'-Diphosphate,0.4792560347655285,WikiPathways,Astrocyte-Immature,Carnosine metabolism of glial cells
Serine biosynthesis (Reactome),2,5,20.546571737195034,0.010381255761542762,Pyruvic Acid;L-Glutamic Acid,0.21684178661205666,Reactome,EN-IT-Immature,Serine biosynthesis
Acetylcholine synthesis (WikiPathways),2,6,15.441181884287785,0.015255129787048396,Pyruvic Acid;Dl-Dipalmitoylphosphatidylcholine,0.21684178661205666,WikiPathways,EN-IT-Immature,Acetylcholine synthesis
Arachidonic Acid Metabolism (KEGG),2,6,15.441181884287785,0.015255129787048396,L-Glutamic Acid;Dl-Dipalmitoylphosphatidylcholine,0.21684178661205666,KEGG,EN-IT-Immature,Arachidonic Acid Metabolism
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),2,6,10.848706821204626,0.028018427207220094,Dl-Lactic Acid;D-Glucose,0.5099658180604523,WikiPathways,EN-L6b,Warburg effect modulated by deubiquit...
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),2,7,8.680524479594446,0.038105999613274266,L-Ornithine;D-Glucose,0.5099658180604523,Reactome,EN-L6b,Class C/3 (Metabotropic glutamate/phe...
T cell modulation in pancreatic cancer (WikiPathways),2,7,8.680524479594446,0.038105999613274266,L-Ornithine;Dl-Arginine,0.5099658180604523,WikiPathways,EN-L6b,T cell modulation in pancreatic cancer
"Cerebral organic acidurias, including diseases (WikiPathways)",2,5,9.464724157508327,0.039784718373164205,N-Acetyl-L-Aspartic Acid;Tryptophan,0.6538676801342791,WikiPathways,EN-Newborn,"Cerebral organic acidurias, including..."
16p11.2 proximal deletion syndrome (WikiPathways),2,10,8.772491679247112,0.034190129626398995,Dihydroxyacetone Phosphate;D-Sphingosine,0.36748115057475017,WikiPathways,EN-Non-IT-Immature,16p11.2 proximal deletion syndrome
KEGG:map01120 (KEGG),3,9,6.855259876109358,0.02132093868616013,Isobutyric Acid;2-Furoic Acid;Mesaconic Acid,0.5816793984455938,KEGG,IN-CGE-Immature,KEGG:map01120
Modified nucleosides derived from tRNA as urinary cancer markers (WikiPathways),3,9,6.855259876109358,0.02132093868616013,Cytidine;Pseudouridine;Inosine,0.5816793984455938,WikiPathways,IN-CGE-Immature,Modified nucleosides derived from tRN...
Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS) (Reactome),2,5,8.936980612010156,0.043814272976700513,Cytidine;Inosine,0.5816793984455938,Reactome,IN-CGE-Immature,Defective SLC29A3 causes histiocytosi...
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",3,11,4.7196924583304,0.045719720603505376,Dl-Alanine;2-Oxobutanoic Acid;Sarcosine,0.6712813285762455,Reactome,IN-MGE-Immature,"Metabolism of ingested SeMet, Sec, Me..."
Lysine catabolism (Reactome),4,7,18.225909960542715,7.575618907082573e-4,L-Lysine;2-Oxoadipic Acid;L-Saccharopine;Guanosine 5'-Diphosphate (Gdp),0.09848304579207344,Reactome,IN-MGE-SST,Lysine catabolism
Glucose homeostasis (WikiPathways),5,14,7.762670946651487,0.002068407696804584,Pyruvic Acid;L-Ornithine;L-Lysine;D-Glucose;L-(-)-Methionine,0.13444650029229796,WikiPathways,IN-MGE-SST,Glucose homeostasis
Disorders of fructose metabolism (WikiPathways),3,6,13.343132714634065,0.006354201258076708,Pyruvic Acid;D-Glucose 6-Phosphate;Glucose 1-Phosphate,0.13885855856172893,WikiPathways,IN-MGE-SST,Disorders of fructose metabolism
Activation of NMDA receptors and postsynaptic events (Reactome),1,5,32.88326964701039,0.04424098501213103,L-Glutamic Acid,0.11986499241118086,Reactome,IPC-EN,Activation of NMDA receptors and post...
Branched-chain amino acid catabolism (Reactome),1,5,32.88326964701039,0.04424098501213103,L-Glutamic Acid,0.11986499241118086,Reactome,IPC-EN,Branched-chain amino acid catabolism
Glutathione conjugation (Reactome),1,5,32.88326964701039,0.04424098501213103,L-Glutamic Acid,0.11986499241118086,Reactome,IPC-EN,Glutathione conjugation
Nucleotide catabolism (Reactome),9,25,3.525420348353734,0.005814875972678501,D-Ribose 5-Phosphate;Cytidine;5'-Xanthylic Acid;Guanine;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uric Acid;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.35418642270196216,Reactome,OPC,Nucleotide catabolism
Biomarkers for pyrimidine metabolism disorders (WikiPathways),6,14,4.589461840988029,0.00957041830528331,Cytidine;Cytosine;Creatine;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate,0.35418642270196216,WikiPathways,OPC,Biomarkers for pyrimidine metabolism ...
Cell recruitment (pro-inflammatory response) (Reactome),4,7,8.018027219954476,0.010789566705438304,Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.35418642270196216,Reactome,OPC,Cell recruitment (pro-inflammatory re...
