pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Serine biosynthesis (Reactome),2,5,20.546571737195034,0.010381255761542762,Pyruvic Acid;L-Glutamic Acid,0.21684178661205666,Reactome
Acetylcholine synthesis (WikiPathways),2,6,15.441181884287785,0.015255129787048396,Pyruvic Acid;Dl-Dipalmitoylphosphatidylcholine,0.21684178661205666,WikiPathways
Arachidonic Acid Metabolism (KEGG),2,6,15.441181884287785,0.015255129787048396,L-Glutamic Acid;Dl-Dipalmitoylphosphatidylcholine,0.21684178661205666,KEGG
Cannabinoid receptor signaling (WikiPathways),2,6,15.441181884287785,0.015255129787048396,Γ-Aminobutyric Acid;L-Glutamic Acid,0.21684178661205666,WikiPathways
Organic anion transporters (Reactome),2,6,15.441181884287785,0.015255129787048396,Pyruvic Acid;L-Glutamic Acid,0.21684178661205666,Reactome
Amino acid metabolism pathway excerpt: histidine catabolism extension (WikiPathways),2,7,12.36634486824714,0.020923330287128276,Pyruvic Acid;L-Glutamic Acid,0.21684178661205666,WikiPathways
Biogenic amine synthesis (WikiPathways),2,7,12.36634486824714,0.020923330287128276,Γ-Aminobutyric Acid;L-Glutamic Acid,0.21684178661205666,WikiPathways
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),2,7,12.36634486824714,0.020923330287128276,Γ-Aminobutyric Acid;L-Glutamic Acid,0.21684178661205666,Reactome
Nicotinate metabolism (Reactome),2,7,12.36634486824714,0.020923330287128276,Pyruvic Acid;L-Glutamic Acid,0.21684178661205666,Reactome
Phenylalanine and tyrosine metabolism (Reactome),2,7,12.36634486824714,0.020923330287128276,Pyruvic Acid;L-Glutamic Acid,0.21684178661205666,Reactome
Serine metabolism (WikiPathways),2,7,12.36634486824714,0.020923330287128276,Pyruvic Acid;L-Glutamic Acid,0.21684178661205666,WikiPathways
Gluconeogenesis (Reactome),2,8,10.302812687013773,0.027331832125248874,Pyruvic Acid;L-Glutamic Acid,0.21849507634247803,Reactome
Trans-sulfuration pathway (WikiPathways),2,8,10.302812687013773,0.027331832125248874,Pyruvic Acid;L-Glutamic Acid,0.21849507634247803,WikiPathways
Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),2,9,8.830142350427394,0.03442904363267576,Pyruvic Acid;L-Glutamic Acid,0.21849507634247803,WikiPathways
Degradation of cysteine and homocysteine (Reactome),2,9,8.830142350427394,0.03442904363267576,Pyruvic Acid;L-Glutamic Acid,0.21849507634247803,Reactome
Metabolic disorders of biological oxidation enzymes (Reactome),2,9,8.830142350427394,0.03442904363267576,L-Glutamic Acid;Vitamin D3,0.21849507634247803,Reactome
"Alanine, aspartate and glutamate metabolism (KEGG)",3,23,4.829051335472714,0.0386804037651028,Pyruvic Acid;Γ-Aminobutyric Acid;L-Glutamic Acid,0.21849507634247803,KEGG
GABA metabolism (aka GHB) (WikiPathways),2,10,7.722467892616708,0.042165716487144886,Γ-Aminobutyric Acid;L-Glutamic Acid,0.21849507634247803,WikiPathways
Glucose metabolism (Reactome),2,10,7.722467892616708,0.042165716487144886,Pyruvic Acid;L-Glutamic Acid,0.21849507634247803,Reactome
Glutamate and glutamine metabolism (Reactome),2,10,7.722467892616708,0.042165716487144886,Pyruvic Acid;L-Glutamic Acid,0.21849507634247803,Reactome
Pyruvate metabolism (Reactome),2,10,7.722467892616708,0.042165716487144886,Pyruvic Acid;L-Glutamic Acid,0.21849507634247803,Reactome
Tryptophan catabolism (Reactome),2,10,7.722467892616708,0.042165716487144886,Pyruvic Acid;L-Glutamic Acid,0.21849507634247803,Reactome
Methionine de novo and salvage pathway (WikiPathways),2,12,6.165455438950878,0.05937164922736839,Pyruvic Acid;L-Glutamic Acid,0.2820153338299998,WikiPathways
Nitrogen metabolism (KEGG),2,12,6.165455438950878,0.05937164922736839,Pyruvic Acid;L-Glutamic Acid,0.2820153338299998,KEGG
Cysteine and methionine catabolism (WikiPathways),2,13,5.598177745596209,0.06875335832651386,Pyruvic Acid;L-Glutamic Acid,0.2902919573786141,WikiPathways
Metabolic pathways of fibroblasts (WikiPathways),2,13,5.598177745596209,0.06875335832651386,Pyruvic Acid;L-Glutamic Acid,0.2902919573786141,WikiPathways
Urea cycle and associated pathways (WikiPathways),2,13,5.598177745596209,0.06875335832651386,Pyruvic Acid;L-Glutamic Acid,0.2902919573786141,WikiPathways
Neurotransmitter release cycle (Reactome),2,14,5.125917210293903,0.07859926657379412,Γ-Aminobutyric Acid;L-Glutamic Acid,0.30897642722112173,Reactome
Sulfur amino acid metabolism (Reactome),2,14,5.125917210293903,0.07859926657379412,Pyruvic Acid;L-Glutamic Acid,0.30897642722112173,Reactome
Arginine and proline metabolism (KEGG),2,15,4.724157475116016,0.08887058947122613,Pyruvic Acid;L-Glutamic Acid,0.3268144257974122,KEGG
Synthesis of substrates in N-glycan biosythesis (Reactome),2,15,4.724157475116016,0.08887058947122613,Pyruvic Acid;L-Glutamic Acid,0.3268144257974122,Reactome
