pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Metabolism overview (WikiPathways),2,18,3.6030836876816044,0.13287275660150308,L-Aspartic Acid;Glucose 1-Phosphate,0.47358048367287703,WikiPathways
"Cerebral organic acidurias, including diseases (WikiPathways)",1,5,6.9525983197105345,0.16765484180755963,L-Aspartic Acid,0.47358048367287703,WikiPathways
"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases (WikiPathways)",1,5,6.9525983197105345,0.16765484180755963,Dl-Pyroglutamic Acid,0.47358048367287703,WikiPathways
Glycogen synthesis and degradation (WikiPathways),1,5,6.9525983197105345,0.16765484180755963,Glucose 1-Phosphate,0.47358048367287703,WikiPathways
Pyrimidine biosynthesis (Reactome),1,5,6.9525983197105345,0.16765484180755963,L-Aspartic Acid,0.47358048367287703,Reactome
Disorders of fructose metabolism (WikiPathways),1,6,5.561344602691279,0.19781227507540178,Glucose 1-Phosphate,0.47358048367287703,WikiPathways
Glycogen metabolism (Reactome),1,6,5.561344602691279,0.19781227507540178,Glucose 1-Phosphate,0.47358048367287703,Reactome
Urea cycle (Reactome),1,6,5.561344602691279,0.19781227507540178,L-Aspartic Acid,0.47358048367287703,Reactome
Urea cycle and related diseases (WikiPathways),1,6,5.561344602691279,0.19781227507540178,L-Aspartic Acid,0.47358048367287703,WikiPathways
Lactate shuttle in glial cells (WikiPathways),1,7,4.631598395054326,0.22692979685124925,Glucose 1-Phosphate,0.47358048367287703,WikiPathways
Phenylalanine and tyrosine metabolism (Reactome),1,7,4.631598395054326,0.22692979685124925,L-Aspartic Acid,0.47358048367287703,Reactome
Tyrosine metabolism (KEGG),1,7,4.631598395054326,0.22692979685124925,L-Aspartic Acid,0.47358048367287703,KEGG
Glyoxylate metabolism and glycine degradation (Reactome),1,8,3.9663404382697047,0.25504144060211287,L-Aspartic Acid,0.47358048367287703,Reactome
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",1,8,3.9663404382697047,0.25504144060211287,L-Aspartic Acid,0.47358048367287703,Reactome
Thiamine metabolic pathways (WikiPathways),1,8,3.9663404382697047,0.25504144060211287,Glucose 1-Phosphate,0.47358048367287703,WikiPathways
Aspartate and asparagine metabolism (Reactome),1,9,3.466422810048538,0.282180185935369,L-Aspartic Acid,0.47358048367287703,Reactome
Glucuronidation (WikiPathways),1,9,3.466422810048538,0.282180185935369,Glucose 1-Phosphate,0.47358048367287703,WikiPathways
Glycolysis and gluconeogenesis (WikiPathways),1,9,3.466422810048538,0.282180185935369,L-Aspartic Acid,0.47358048367287703,WikiPathways
Metabolic disorders of biological oxidation enzymes (Reactome),1,9,3.466422810048538,0.282180185935369,Vitamin D3,0.47358048367287703,Reactome
Sensory perception of taste (Reactome),1,9,3.466422810048538,0.282180185935369,L-Aspartic Acid,0.47358048367287703,Reactome
beta-Alanine metabolism (KEGG),1,9,3.466422810048538,0.282180185935369,L-Aspartic Acid,0.47358048367287703,KEGG
Alanine and aspartate metabolism (WikiPathways),1,10,3.0772265220396315,0.308377989368385,L-Aspartic Acid,0.47358048367287703,WikiPathways
Biomarkers for urea cycle disorders (WikiPathways),1,10,3.0772265220396315,0.308377989368385,L-Aspartic Acid,0.47358048367287703,WikiPathways
