pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),2,6,10.848706821204626,0.028018427207220094,Dl-Lactic Acid;D-Glucose,0.5099658180604523,WikiPathways
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),2,7,8.680524479594446,0.038105999613274266,L-Ornithine;D-Glucose,0.5099658180604523,Reactome
T cell modulation in pancreatic cancer (WikiPathways),2,7,8.680524479594446,0.038105999613274266,L-Ornithine;Dl-Arginine,0.5099658180604523,WikiPathways
Cori cycle (WikiPathways),2,9,6.192442319806906,0.06166214323382736,Dl-Lactic Acid;D-Glucose,0.5099658180604523,WikiPathways
Glucose homeostasis (WikiPathways),2,14,3.589615977017063,0.135118453595735,L-Ornithine;D-Glucose,0.5099658180604523,WikiPathways
Metabolism overview (WikiPathways),2,18,2.675173573358053,0.2029480548892362,L-Ornithine;D-Glucose,0.5099658180604523,WikiPathways
Carnosine metabolism of glial cells (WikiPathways),1,5,5.236992180043389,0.21329350706508132,Dl-Lactic Acid,0.5099658180604523,WikiPathways
Glycogen synthesis and degradation (WikiPathways),1,5,5.236992180043389,0.21329350706508132,D-Glucose,0.5099658180604523,WikiPathways
Glycolysis in senescence (WikiPathways),1,5,5.236992180043389,0.21329350706508132,Dl-Lactic Acid,0.5099658180604523,WikiPathways
Glycogen metabolism (Reactome),1,6,4.187406643385612,0.25034852303665345,D-Glucose,0.5099658180604523,Reactome
Glycosphingolipid metabolism (Reactome),1,6,4.187406643385612,0.25034852303665345,D-Glucose,0.5099658180604523,Reactome
HIF1A and PPARG in cardiac hypertropthy (WikiPathways),1,6,4.187406643385612,0.25034852303665345,D-Glucose,0.5099658180604523,WikiPathways
Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),1,6,4.187406643385612,0.25034852303665345,Dl-Lactic Acid,0.5099658180604523,WikiPathways
Regulation of insulin secretion (Reactome),1,6,4.187406643385612,0.25034852303665345,D-Glucose,0.5099658180604523,Reactome
Urea cycle (Reactome),1,6,4.187406643385612,0.25034852303665345,L-Ornithine,0.5099658180604523,Reactome
Urea cycle and related diseases (WikiPathways),1,6,4.187406643385612,0.25034852303665345,L-Ornithine,0.5099658180604523,WikiPathways
Glycolysis (Reactome),1,7,3.4862029441002225,0.2857222769405501,D-Glucose,0.5099658180604523,Reactome
Lactate shuttle in glial cells (WikiPathways),1,7,3.4862029441002225,0.2857222769405501,Dl-Lactic Acid,0.5099658180604523,WikiPathways
Late SARS-CoV-2 Infection Events (Reactome),1,7,3.4862029441002225,0.2857222769405501,D-Glucose,0.5099658180604523,Reactome
Metabolic reprogramming in pancreatic cancer (WikiPathways),1,7,3.4862029441002225,0.2857222769405501,Dl-Lactic Acid,0.5099658180604523,WikiPathways
Orexin receptor pathway (WikiPathways),1,7,3.4862029441002225,0.2857222769405501,D-Glucose,0.5099658180604523,WikiPathways
Translation of Structural Proteins (Reactome),1,7,3.4862029441002225,0.2857222769405501,D-Glucose,0.5099658180604523,Reactome
Aerobic glycolysis (WikiPathways),1,8,2.984656545630329,0.319488132939724,D-Glucose,0.5099658180604523,WikiPathways
Creatine metabolism (Reactome),1,8,2.984656545630329,0.319488132939724,L-Ornithine,0.5099658180604523,Reactome
Fructose and mannose metabolism (KEGG),1,8,2.984656545630329,0.319488132939724,D-Glucose,0.5099658180604523,KEGG
Gluconeogenesis (Reactome),1,8,2.984656545630329,0.319488132939724,D-Glucose,0.5099658180604523,Reactome
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",1,8,2.984656545630329,0.319488132939724,D-Glucose,0.5099658180604523,Reactome
Vitamin B12 metabolism (WikiPathways),1,8,2.984656545630329,0.319488132939724,D-Glucose,0.5099658180604523,WikiPathways
