pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Cell recruitment (pro-inflammatory response) (Reactome),5,7,16.981811044307367,6.60773882046308e-4,Adenosine 5'-Diphosphate;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.052531523622681486,Reactome
Purinergic signaling in leishmaniasis infection (Reactome),5,7,16.981811044307367,6.60773882046308e-4,Adenosine 5'-Diphosphate;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.052531523622681486,Reactome
Purine catabolism (Reactome),6,12,6.8578054568407,0.00233626414229639,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;D-Ribose 5-Phosphate;5'-Xanthylic Acid;Guanine;Guanosine-5'-Monophosphate,0.12160430072826704,Reactome
Nucleotide catabolism (Reactome),9,25,3.9572407188801058,0.003059227691277158,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;D-Ribose 5-Phosphate;5'-Xanthylic Acid;Guanine;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.12160430072826704,Reactome
Phosphate bond hydrolysis by NTPDase proteins (Reactome),5,10,6.773767926295056,0.005683667770694155,Adenosine 5'-Diphosphate;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.18074063510807414,Reactome
"Transport of vitamins, nucleosides, and related molecules (Reactome)",7,19,4.0169691925262665,0.007999411462467606,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Biotin;Guanine;Uridine Monophosphate;Guanosine-5'-Monophosphate;Linoleic Acid,0.21198440375539154,Reactome
Purine metabolism (WikiPathways),6,16,4.088848843116467,0.012912289016191413,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;D-Ribose 5-Phosphate;5'-Xanthylic Acid;Guanine;Guanosine-5'-Monophosphate,0.28472938410543686,WikiPathways
Interconversion of nucleotide di- and triphosphates (Reactome),5,12,4.825266931186896,0.014326006747443363,Adenosine 5'-Diphosphate;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.28472938410543686,Reactome
Purine salvage (Reactome),4,9,5.348325738688021,0.0225402642624581,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Guanine;Guanosine-5'-Monophosphate,0.3982113353034265,Reactome
Glycogen metabolism (Reactome),3,6,6.614550370913164,0.03472401926172519,Adenosine 5'-Diphosphate;Uridine 5'-Diphosphate;Uridine Monophosphate,0.5521119062614306,Reactome
