pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Cori cycle (WikiPathways),6,9,6.093811301149534,0.010085021532284882,Pyruvic Acid;Dl-Lactic Acid;D-Glucose;Dihydroxyacetone Phosphate;Dl-Alanine;D-Glucose 6-Phosphate,0.4272108007865704,WikiPathways
Sensory perception of taste (Reactome),6,9,6.093811301149534,0.010085021532284882,L-Glutamic Acid;L-Aspartic Acid;D-Glucose;Caprolactam;Citric Acid;Guanosine 5'-Diphosphate (Gdp),0.4272108007865704,Reactome
Lactate shuttle in glial cells (WikiPathways),5,7,7.577057341701753,0.013085079470600041,Pyruvic Acid;Glucose 1-Phosphate;Dl-Lactic Acid;Udp-Β-D-Glucose (Sodium Salt);D-Glucose 6-Phosphate,0.4272108007865704,WikiPathways
Lysine catabolism (Reactome),5,7,7.577057341701753,0.013085079470600041,L-Glutamic Acid;L-2-Aminoadipic Acid;2-Oxoadipic Acid;L-Saccharopine;Guanosine 5'-Diphosphate (Gdp),0.4272108007865704,Reactome
"Cerebral organic acidurias, including diseases (WikiPathways)",4,5,12.052255515852556,0.015942222355372248,L-Aspartic Acid;Tryptophan;L-2-Aminoadipic Acid;2-Oxoadipic Acid,0.4272108007865704,WikiPathways
Metabolism overview (WikiPathways),9,18,3.076018634281924,0.01921452940127644,Pyruvic Acid;L-Glutamic Acid;L-Aspartic Acid;Glucose 1-Phosphate;L-Ornithine;D-Glucose;Udp-Β-D-Glucose (Sodium Salt);Dihydroxyacetone Phosphate;Citric Acid,0.4272108007865704,WikiPathways
Glucose metabolism (Reactome),6,10,4.561844661312712,0.019986470212237213,Pyruvic Acid;L-Glutamic Acid;D-Glucose;Dihydroxyacetone Phosphate;Citric Acid;Guanosine 5'-Diphosphate (Gdp),0.4272108007865704,Reactome
Tryptophan catabolism (Reactome),6,10,4.561844661312712,0.019986470212237213,Pyruvic Acid;L-Glutamic Acid;Tryptophan;L-(-)-Methionine;Leucine;Dl-Alanine,0.4272108007865704,Reactome
Gluconeogenesis (Reactome),5,8,5.0423569435709705,0.027817027665009975,Pyruvic Acid;L-Glutamic Acid;D-Glucose;Dihydroxyacetone Phosphate;Guanosine 5'-Diphosphate (Gdp),0.43242833915606416,Reactome
Glyoxylate metabolism and glycine degradation (Reactome),5,8,5.0423569435709705,0.027817027665009975,Pyruvic Acid;L-Aspartic Acid;Dl-Alanine;Sarcosine;L-Hydroxyproline,0.43242833915606416,Reactome
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",5,8,5.0423569435709705,0.027817027665009975,L-Glutamic Acid;L-Aspartic Acid;D-Glucose;Caprolactam;Guanosine 5'-Diphosphate (Gdp),0.43242833915606416,Reactome
Disorders of fructose metabolism (WikiPathways),4,6,6.019647022579572,0.038432018491221874,Pyruvic Acid;Glucose 1-Phosphate;Dihydroxyacetone Phosphate;D-Glucose 6-Phosphate,0.5055288586153031,WikiPathways
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),4,6,6.019647022579572,0.038432018491221874,Pyruvic Acid;Dl-Lactic Acid;D-Glucose;D-Glucose 6-Phosphate,0.5055288586153031,WikiPathways
Glycolysis and gluconeogenesis (WikiPathways),5,9,3.775556008921396,0.049982035330916316,Pyruvic Acid;L-Aspartic Acid;D-Glucose;Dihydroxyacetone Phosphate;D-Glucose 6-Phosphate,0.519536102534548,WikiPathways
Amino acid transport across the plasma membrane (Reactome),9,21,2.2914746824852865,0.05668867805756971,Γ-Aminobutyric Acid;L-Glutamic Acid;L-Ornithine;Tryptophan;L-(-)-Methionine;Leucine;Asparagine;Dl-Alanine;L-Hydroxyproline,0.519536102534548,Reactome
Amino acid metabolism pathway excerpt: histidine catabolism extension (WikiPathways),4,7,4.006957473037987,0.07222793718538437,Pyruvic Acid;L-Glutamic Acid;Dl-Alanine;Citric Acid,0.519536102534548,WikiPathways
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),4,7,4.006957473037987,0.07222793718538437,Γ-Aminobutyric Acid;L-Glutamic Acid;L-Ornithine;D-Glucose,0.519536102534548,Reactome
Glycolysis (Reactome),4,7,4.006957473037987,0.07222793718538437,Pyruvic Acid;D-Glucose;Dihydroxyacetone Phosphate;Citric Acid,0.519536102534548,Reactome
Lysine degradation (KEGG),4,7,4.006957473037987,0.07222793718538437,L-Glutamic Acid;L-2-Aminoadipic Acid;2-Oxoadipic Acid;L-Saccharopine,0.519536102534548,KEGG
Phenylalanine and tyrosine metabolism (Reactome),4,7,4.006957473037987,0.07222793718538437,Pyruvic Acid;L-Glutamic Acid;L-Aspartic Acid;Dl-Alanine,0.519536102534548,Reactome
Alanine and aspartate metabolism (WikiPathways),5,10,3.0147789386170345,0.07997760044959534,Pyruvic Acid;L-Aspartic Acid;Asparagine;Dl-Alanine;Citric Acid,0.519536102534548,WikiPathways
Glutamate and glutamine metabolism (Reactome),5,10,3.0147789386170345,0.07997760044959534,Pyruvic Acid;L-Glutamic Acid;L-Aspartic Acid;L-Ornithine;Dl-Alanine,0.519536102534548,Reactome
Amino Sugar Metabolism (KEGG),7,16,2.358089107731177,0.08120794654098544,Pyruvic Acid;L-Glutamic Acid;Glucose 1-Phosphate;D-Glucose;Udp-N-Acetylglucosamine;Udp-Β-D-Glucose (Sodium Salt);D-Glucose 6-Phosphate,0.519536102534548,KEGG
Cytosolic tRNA aminoacylation (Reactome),7,16,2.358089107731177,0.08120794654098544,L-Glutamic Acid;L-Aspartic Acid;Tryptophan;L-(-)-Methionine;Leucine;Asparagine;Dl-Alanine,0.519536102534548,Reactome
Mitochondrial tRNA aminoacylation (Reactome),7,16,2.358089107731177,0.08120794654098544,L-Glutamic Acid;L-Aspartic Acid;Tryptophan;L-(-)-Methionine;Leucine;Asparagine;Dl-Alanine,0.519536102534548,Reactome
tRNA Aminoacylation (Reactome),7,16,2.358089107731177,0.08120794654098544,L-Glutamic Acid;L-Aspartic Acid;Tryptophan;L-(-)-Methionine;Leucine;Asparagine;Dl-Alanine,0.519536102534548,Reactome
Metabolic pathways of fibroblasts (WikiPathways),6,13,2.591541070936227,0.08203201618966548,Pyruvic Acid;L-Glutamic Acid;Glucose 1-Phosphate;D-Glucose;Udp-Β-D-Glucose (Sodium Salt);D-Glucose 6-Phosphate,0.519536102534548,WikiPathways
Glycogen synthesis and degradation (WikiPathways),3,5,4.48469179836844,0.10590140689877091,Glucose 1-Phosphate;D-Glucose;Udp-Β-D-Glucose (Sodium Salt),0.6244531234375802,WikiPathways
Vitamin B6-dependent and responsive disorders (WikiPathways),3,5,4.48469179836844,0.10590140689877091,L-Glutamic Acid;L-2-Aminoadipic Acid;L-Saccharopine,0.6244531234375802,WikiPathways
Thiamine metabolic pathways (WikiPathways),4,8,3.000114873277543,0.11663884670575865,Pyruvic Acid;Glucose 1-Phosphate;Dihydroxyacetone Phosphate;D-Glucose 6-Phosphate,0.6648414262228243,WikiPathways
Amino acid transport defects (IEMs) (WikiPathways),5,12,2.144735058650895,0.16186533798263622,L-Glutamic Acid;L-Aspartic Acid;Dl-Arginine;Tryptophan;Dl-Alanine,0.6894513022646661,WikiPathways
Glucuronidation (WikiPathways),4,9,2.3955685418570747,0.16996429580563266,Glucose 1-Phosphate;D-Glucose;Udp-Β-D-Glucose (Sodium Salt);D-Glucose 6-Phosphate,0.6894513022646661,WikiPathways
KEGG:map01120 (KEGG),4,9,2.3955685418570747,0.16996429580563266,2-Furoic Acid;Isobutyric Acid;Mesaconic Acid;Cyclohexylamine,0.6894513022646661,KEGG
Krebs cycle disorders (WikiPathways),4,9,2.3955685418570747,0.16996429580563266,Pyruvic Acid;Dl-Lactic Acid;Dl-Alanine;Guanosine 5'-Diphosphate (Gdp),0.6894513022646661,WikiPathways
beta-Alanine metabolism (KEGG),4,9,2.3955685418570747,0.16996429580563266,L-Glutamic Acid;L-Aspartic Acid;1-Methylhistidine;D-Pantothenic Acid,0.6894513022646661,KEGG
"mRNA, protein, and metabolite inducation pathway by cyclosporin A (WikiPathways)",4,9,2.3955685418570747,0.16996429580563266,Tryptophan;Leucine;Asparagine;Dl-Alanine,0.6894513022646661,WikiPathways
HIF1A and PPARG in cardiac hypertropthy (WikiPathways),3,6,2.9856448445767323,0.17337079530631955,Pyruvic Acid;D-Glucose;Dihydroxyacetone Phosphate,0.6894513022646661,WikiPathways
Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),3,6,2.9856448445767323,0.17337079530631955,Pyruvic Acid;Dl-Lactic Acid;Citric Acid,0.6894513022646661,WikiPathways
NAD biosynthesis II from tryptophan (WikiPathways),3,6,2.9856448445767323,0.17337079530631955,L-Glutamic Acid;Tryptophan;Dl-Alanine,0.6894513022646661,WikiPathways
Organic anion transporters (Reactome),3,6,2.9856448445767323,0.17337079530631955,Pyruvic Acid;L-Glutamic Acid;Citric Acid,0.6894513022646661,Reactome
Tryptophan metabolism (KEGG),3,6,2.9856448445767323,0.17337079530631955,L-Glutamic Acid;Tryptophan;Dl-Alanine,0.6894513022646661,KEGG
Urea cycle (Reactome),3,6,2.9856448445767323,0.17337079530631955,L-Glutamic Acid;L-Aspartic Acid;L-Ornithine,0.6894513022646661,Reactome
Urea cycle and related diseases (WikiPathways),3,6,2.9856448445767323,0.17337079530631955,L-Glutamic Acid;L-Aspartic Acid;L-Ornithine,0.6894513022646661,WikiPathways
Na+/Cl- dependent neurotransmitter transporters (Reactome),7,19,1.7566849068279917,0.17984534534555868,Γ-Aminobutyric Acid;Tryptophan;L-(-)-Methionine;Leucine;Asparagine;Dl-Alanine;L-Hydroxyproline,0.6989444103202394,Reactome
Urea cycle and associated pathways (WikiPathways),5,13,1.8725092271100088,0.21176116410324317,Pyruvic Acid;L-Glutamic Acid;L-Aspartic Acid;L-Ornithine;Dl-Alanine,0.8024975072112535,WikiPathways
Biomarkers for urea cycle disorders (WikiPathways),4,10,1.992380898141507,0.22995542604299074,L-Glutamic Acid;L-Aspartic Acid;L-Ornithine;L-(-)-Methionine,0.8024975072112535,WikiPathways
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),4,10,1.992380898141507,0.22995542604299074,Tryptophan;L-(-)-Methionine;Leucine;Dl-Alanine,0.8024975072112535,Reactome
Galactose Metabolism (KEGG),4,10,1.992380898141507,0.22995542604299074,Glucose 1-Phosphate;D-Glucose;Udp-Β-D-Glucose (Sodium Salt);D-Glucose 6-Phosphate,0.8024975072112535,KEGG
Urea cycle and metabolism of amino groups (WikiPathways),4,10,1.992380898141507,0.22995542604299074,L-Glutamic Acid;L-Aspartic Acid;L-Ornithine;Sarcosine,0.8024975072112535,WikiPathways
Methionine Metabolism (KEGG),6,17,1.6347612267752059,0.2416784594503595,Pyruvic Acid;L-Glutamic Acid;L-(-)-Methionine;2-Oxobutanoic Acid;Sarcosine;1-Aminocyclopropanecarboxylic Acid,0.8041127839885027,KEGG
Biogenic amine synthesis (WikiPathways),3,7,2.235377038207389,0.2492279388970213,Γ-Aminobutyric Acid;L-Glutamic Acid;Tryptophan,0.8041127839885027,WikiPathways
Metabolic reprogramming in pancreatic cancer (WikiPathways),3,7,2.235377038207389,0.2492279388970213,Pyruvic Acid;Dl-Lactic Acid;Udp-N-Acetylglucosamine,0.8041127839885027,WikiPathways
T cell modulation in pancreatic cancer (WikiPathways),3,7,2.235377038207389,0.2492279388970213,L-Ornithine;Dl-Arginine;Tryptophan,0.8041127839885027,WikiPathways
Purine metabolism and related disorders (WikiPathways),7,21,1.4988111923252476,0.2644666651679077,L-Glutamic Acid;L-Aspartic Acid;Xanthine;Xanthosine;L-(-)-Methionine;Inosine;Guanosine 5'-Diphosphate (Gdp),0.8374777730317076,WikiPathways
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",4,11,1.704114343343354,0.29419246808351507,Pyruvic Acid;2-Oxobutanoic Acid;Dl-Alanine;Sarcosine,0.8757012960621113,Reactome
Arginine and proline metabolism (KEGG),5,15,1.4914776076445044,0.32253663663104315,Pyruvic Acid;L-Glutamic Acid;L-Aspartic Acid;L-Ornithine;Dl-Alanine,0.8757012960621113,KEGG
Aerobic glycolysis (WikiPathways),3,8,1.784826512583108,0.32878139421177877,Pyruvic Acid;D-Glucose;Dihydroxyacetone Phosphate,0.8757012960621113,WikiPathways
Glyoxylate metabolism (WikiPathways),3,8,1.784826512583108,0.32878139421177877,Pyruvic Acid;Dl-Alanine;L-Hydroxyproline,0.8757012960621113,WikiPathways
Trans-sulfuration pathway (WikiPathways),3,8,1.784826512583108,0.32878139421177877,Pyruvic Acid;L-Glutamic Acid;L-(-)-Methionine,0.8757012960621113,WikiPathways
"Alanine, aspartate and glutamate metabolism (KEGG)",7,23,1.3053073067551764,0.3578175453023799,Pyruvic Acid;Γ-Aminobutyric Acid;L-Glutamic Acid;L-Aspartic Acid;Asparagine;Dl-Alanine;Guanosine 5'-Diphosphate (Gdp),0.8757012960621113,KEGG
Methionine de novo and salvage pathway (WikiPathways),4,12,1.4878910942943568,0.3603560331339548,Pyruvic Acid;L-Glutamic Acid;L-Ornithine;L-(-)-Methionine,0.8757012960621113,WikiPathways
Nitrogen metabolism (KEGG),4,12,1.4878910942943568,0.3603560331339548,Pyruvic Acid;L-Glutamic Acid;L-Aspartic Acid;Asparagine,0.8757012960621113,KEGG
Variant SLC6A14 may confer susceptibility towards obesity (Reactome),4,12,1.4878910942943568,0.3603560331339548,Tryptophan;L-(-)-Methionine;Leucine;Dl-Alanine,0.8757012960621113,Reactome
Activation of NMDA receptors and postsynaptic events (Reactome),2,5,1.97811969760981,0.37383739539493643,L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp),0.8757012960621113,Reactome
Branched-chain amino acid catabolism (Reactome),2,5,1.97811969760981,0.37383739539493643,L-Glutamic Acid;Leucine,0.8757012960621113,Reactome
Glycolysis in senescence (WikiPathways),2,5,1.97811969760981,0.37383739539493643,Pyruvic Acid;Dl-Lactic Acid,0.8757012960621113,WikiPathways
Phenylalanine and Tyrosine Metabolism (KEGG),2,5,1.97811969760981,0.37383739539493643,L-Glutamic Acid;Phenylacetylglutamine,0.8757012960621113,KEGG
Post NMDA receptor activation events (Reactome),2,5,1.97811969760981,0.37383739539493643,L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp),0.8757012960621113,Reactome
Pyrimidine biosynthesis (Reactome),2,5,1.97811969760981,0.37383739539493643,L-Glutamic Acid;L-Aspartic Acid,0.8757012960621113,Reactome
Serine biosynthesis (Reactome),2,5,1.97811969760981,0.37383739539493643,Pyruvic Acid;L-Glutamic Acid,0.8757012960621113,Reactome
Synthesis of wybutosine at G37 of tRNA(Phe) (Reactome),2,5,1.97811969760981,0.37383739539493643,Pyruvic Acid;L-(-)-Methionine,0.8757012960621113,Reactome
TP53 Regulates Metabolic Genes (Reactome),2,5,1.97811969760981,0.37383739539493643,L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp),0.8757012960621113,Reactome
The phototransduction cascade (Reactome),2,5,1.97811969760981,0.37383739539493643,L-(-)-Methionine;Guanosine 5'-Diphosphate (Gdp),0.8757012960621113,Reactome
Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),3,9,1.4843565492327007,0.4081899434148518,Pyruvic Acid;L-Glutamic Acid;Citric Acid,0.8948779528710213,WikiPathways
Aspartate and asparagine metabolism (Reactome),3,9,1.4843565492327007,0.4081899434148518,L-Glutamic Acid;L-Aspartic Acid;Asparagine,0.8948779528710213,Reactome
