cell_type,n_tests,lambda,n_hits
EN-L6b,12120995,1.1102886585873686,137
IN-MGE-SST,7060691,1.0176173999890588,273
EN-Newborn,12852089,1.0052595185378193,46
IN-CGE-Immature,7860406,0.9928312358916674,224
IN-MGE-Immature,7989830,0.9909750528468605,54
Astrocyte-Immature,7890779,0.9841072107773202,61
EN-Non-IT-Immature,8231243,0.9816903906654816,193
OPC,3541958,0.9808985085420242,118
EN-IT-Immature,13695685,0.9726166755886471,25
IPC-EN,2248718,0.9220188174219097,21
EN-L6-IT,13000872,0.9039458194827324,23
