gene,n_metabolites,n_cell_types,n_tests
ENSG00000253500,14,1,14
TSHZ2,13,4,13
GUCY1A1,12,3,14
EBF1,11,4,13
RARB,10,3,10
RYR2,10,3,10
RASGEF1B,9,3,9
RBFOX1,9,3,9
CORT,8,1,8
ENSG00000271774,8,2,8
PCP4,8,2,8
STRIP2,8,2,8
CNTNAP2,7,3,7
DACH1,7,3,7
DCC,7,3,7
LRMDA,7,3,8
MEIS2,7,2,7
PLCG2,7,3,7
ADGRV1,6,1,6
CHODL,6,1,6
FOXP1,6,2,6
GPR149,6,3,8
GRM3,6,2,6
PRKG1,6,3,6
TENM2,6,3,6
TRPS1,6,3,6
ADARB2,5,3,5
ARL17B,5,2,5
CDH8,5,2,5
CDH9,5,2,5
CEROX1,5,3,6
COL25A1,5,1,5
ENSG00000233005,5,1,5
FOXP2,5,2,7
GNAL,5,1,5
HS3ST4,5,1,5
KCTD16,5,2,5
NPY,5,2,5
RELN,5,3,5
RPL37A,5,4,5
SLC26A3,5,2,5
CALN1,4,2,6
CCSER1,4,3,4
CXXC4-AS1,4,2,4
DACH2,4,2,4
EEF1A1,4,3,4
FBN2,4,1,4
FOXO1,4,2,4
HS3ST5,4,2,4
IL1RAPL2,4,1,4
KCNIP4,4,1,4
MGAT4C,4,2,4
PARD3B,4,3,4
PBX3,4,1,4
PDE7B,4,2,4
PEG10,4,2,4
RALYL,4,4,4
RPL35A,4,3,4
RPL41,4,3,4
RPL7A,4,3,4
RPS25,4,3,4
RPS27,4,3,4
SLC35F3,4,1,4
SYNDIG1,4,1,4
TMSB10,4,3,4
TUBB2B,4,3,4
ZFHX4,4,3,4
ALCAM,3,1,3
CALB1,3,1,3
CNTN6,3,2,3
CNTNAP5,3,1,3
DIRC3-AS1,3,1,3
DLC1,3,1,3
DSCAM,3,2,3
EEF1B2,3,2,3
EEF1G,3,2,3
ENSG00000251680,3,2,3
ENSG00000259692,3,1,3
ENSG00000288035,3,1,3
EPHA4,3,1,3
GALNTL6,3,1,3
GRM8,3,2,3
GULP1,3,2,3
KCNQ5,3,3,3
MALAT1,3,2,3
MAP7,3,2,3
MSC-AS1,3,1,3
NR2F2-AS1,3,2,3
OPCML,3,2,3
PDE7B-AS1,3,1,3
PENK,3,2,3
POSTN,3,1,3
PRICKLE2,3,1,3
ROBO1,3,2,3
ROBO2,3,2,3
RPL10,3,3,3
RPL10A,3,2,3
RPL13,3,2,3
RPL13A,3,2,3
RPL18,3,2,3
RPL18A,3,2,3
RPL26,3,2,3
RPL27A,3,2,3
RPL28,3,3,3
RPL3,3,2,3
RPL30,3,2,3
RPL34,3,2,3
RPL36A,3,2,3
RPL39,3,2,3
RPL6,3,2,3
RPL7,3,2,3
RPL9,3,2,3
RPLP1,3,2,3
RPLP2,3,2,3
RPS10,3,2,3
RPS11,3,3,3
RPS12,3,2,3
RPS13,3,2,3
RPS15,3,2,3
RPS15A,3,2,3
RPS16,3,2,3
RPS17,3,2,3
RPS18,3,2,3
RPS2,3,2,3
RPS21,3,3,3
RPS23,3,2,3
RPS27A,3,2,3
RPS28,3,2,3
RPS29,3,3,3
RPS3A,3,2,3
RPS4X,3,2,3
RPS6,3,2,3
RPS8,3,2,3
RXRG,3,2,3
SGCZ,3,2,3
SKAP2,3,1,3
SOX2-OT,3,1,3
TLE4,3,3,3
TLL2,3,1,3
TMEM132C,3,3,3
TOX,3,2,3
UBA52,3,2,3
UNC5D,3,3,3
ADAMTS3,2,2,2
ADRA1A,2,1,2
ANKRD18A,2,1,2
ANKRD34B,2,1,2
ARHGAP10,2,1,2
ATP5F1E,2,2,2
BCAS1,2,1,2
CA10,2,1,2
CA8,2,1,2
CACNG5,2,1,2
CALM2,2,2,2
CALY,2,2,2
CCDC88C,2,1,2
CCK,2,1,2
CHSY3,2,1,2
CNTN4,2,2,2
CPNE8,2,1,2
CSMD1,2,1,2
