Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,Organoheterocyclic compounds,Pyrroles,99,1
C8-Pos-001061,Cholest-4-En-3-One,Lipids and lipid-like molecules,Steroids and steroid derivatives,73,2
Amide-Neg-000344,L-Ornithine,Organic acids and derivatives,Carboxylic acids and derivatives,70,3
Amide-Neg-000032,Pyruvic Acid,Organic acids and derivatives,Keto acids and derivatives,61,2
C8-Neg-002450,Lpc(20:1),Lipids and lipid-like molecules,Glycerophospholipids,55,1
Amide-Neg-000697,Dl-Arginine,Organic acids and derivatives,Carboxylic acids and derivatives,48,3
C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Organic acids and derivatives,Carboxylic acids and derivatives,48,3
C8-Neg-003439,Dgdg(18:0_11:1),Lipids and lipid-like molecules,Glycerolipids,36,3
Amide-Pos-002120,Dihydronicotinamide-Adenine Dinucleotide,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,32,2
C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",Lipids and lipid-like molecules,Prenol lipids,27,2
Amide-Neg-000484,L-Lysine,Organic acids and derivatives,Carboxylic acids and derivatives,23,3
Amide-Neg-000158,Maleic Hydrazide,Organoheterocyclic compounds,Diazines,18,3
C18-Neg-000020,Methyl Dihydrogen Phosphate,Organic acids and derivatives,Organic phosphoric acids and derivatives,18,1
C8-Neg-003807,Sqdg(14:0_30:6),Lipids and lipid-like molecules,Glycerolipids,18,2
C8-Pos-005214,Pc(14:1_28:3),Lipids and lipid-like molecules,Glycerophospholipids,18,3
C18-Pos-000742,Uric Acid,Organoheterocyclic compounds,Imidazopyrimidines,13,4
Amide-Neg-000108,2-Oxobutanoic Acid,Organic acids and derivatives,Keto acids and derivatives,12,2
Amide-Neg-001331,Pseudouridine,"Nucleosides, nucleotides, and analogues",Nucleoside and nucleotide analogues,12,3
Amide-Pos-000349,L-Hydroxyproline,Organic acids and derivatives,Carboxylic acids and derivatives,12,1
C8-Pos-000337,Geranyllinalool,Lipids and lipid-like molecules,Prenol lipids,11,1
C8-Pos-000820,Docosanamide,Lipids and lipid-like molecules,Fatty Acyls,10,2
Amide-Neg-001061,2-Deoxyribose 5-Phosphate,Organic oxygen compounds,Organooxygen compounds,9,2
Amide-Neg-001943,5'-Xanthylic Acid,"Nucleosides, nucleotides, and analogues",Purine nucleotides,9,1
C8-Pos-005464,Pc(26:6_21:6cho),Lipids and lipid-like molecules,Glycerophospholipids,9,3
