gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_nonzero,max_cooks,loo_unstable
FLG-AS1,-2.2704325009038904,3.5132732809506746,-6.3999346088712485,6.721011485453808e-6,0.09914836143341457,-3.996776217501255,,Amide-Neg-000011,Glycine,Astrocyte-Immature,11,0.09815046880481261,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00120;map00250;map00270;map00330;map00480;map00860;map00910;R-HSA-156587;R-HSA-156590;R-HSA-159418;R-HSA-159424;R-HSA-174403;R-HSA-177128;R-HSA-177135;R-HSA-189445;R-HSA-189451;R-HSA-192105;R-HSA-193368;R-HSA-194068;R-HSA-196757;R-HSA-2142691;R-HSA-2408508;R-HSA-2682334;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-389661;R-HSA-3928662;R-HSA-428559;R-HSA-438064;R-HSA-438066;R-HSA-442660;R-HSA-442742;R-HSA-442755;R-HSA-442982;R-HSA-5423646;R-HSA-5579006;R-HSA-5579029;R-HSA-5619041;R-HSA-5619044;R-HSA-5619089;R-HSA-5619094;R-HSA-5659735;R-HSA-6783984;R-HSA-6794362;R-HSA-6798163;R-HSA-71262;R-HSA-71288;R-HSA-73817;R-HSA-8849175;R-HSA-8849932;R-HSA-8955332;R-HSA-8956320;R-HSA-9018677;R-HSA-9026395;R-HSA-9026762;R-HSA-9026766;R-HSA-9617324;R-HSA-9620244;R-HSA-9664535;R-HSA-9749641;R-HSA-9753281;WP100;WP1495;WP176;WP241;WP2525;WP3584;WP3996;WP4259;WP4290;WP4292;WP4504;WP4518;WP4688;WP4917;WP5028;WP5029;WP5166;WP5169;WP5190;WP521;WP5312;WP561;WP715,C00037;C22407,NA,high,6,0.41725264142060753,FALSE
LINC01830,-0.9595226126276583,2.6828777617272817,-7.180646159342318,1.0391924676276946e-6,0.01730047620106586,-1.6989560217608681,,Amide-Neg-000094,Levulinic Acid,Astrocyte-Immature,15,0.030811021769244516,Organic acids and derivatives,Keto acids and derivatives,Gamma-keto acids and derivatives,NA,NA,NA,high,7,2.7493068541389,TRUE
GRM5P1,-1.043250148835341,3.748786156461928,-6.807719680512903,2.1335874278453944e-6,0.017759981749385062,-0.8766284577439736,,Amide-Neg-000094,Levulinic Acid,Astrocyte-Immature,15,0.0489307666923703,Organic acids and derivatives,Keto acids and derivatives,Gamma-keto acids and derivatives,NA,NA,NA,high,10,4.211594887636943,TRUE
GALNTL6,-1.8453529808197082,5.285812871002285,-6.568121017256249,4.9486944521365116e-6,0.08100023079257042,4.199200273049414,,Amide-Neg-000114,Γ-Aminobutyric Acid,Astrocyte-Immature,13,0.08180638886155822,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00250;R-HSA-112310;R-HSA-1236394;R-HSA-1296041;R-HSA-1296059;R-HSA-1296065;R-HSA-1296071;R-HSA-352230;R-HSA-420499;R-HSA-442660;R-HSA-888568;R-HSA-888590;R-HSA-888593;R-HSA-916853;R-HSA-977443;R-HSA-977444;R-HSA-991365;R-HSA-997272;WP3584;WP3679;WP3869;WP3871;WP4157;WP4159;WP4486;WP4549;WP4932;WP5200;WP5360;WP5366;WP5444;WP5470;WP550;WP727,C00334,NA,high,10,0.9323533230775128,FALSE
PIEZO2,-1.2438863250600316,2.8394678277912355,-7.410073501186357,2.3021676327385086e-6,0.03710633790447928,0.6185143619670814,,Amide-Neg-000149,2-Furoic Acid,Astrocyte-Immature,13,0.05140882602357293,Organoheterocyclic compounds,Furans,Furoic acid and derivatives,NA,C01546,NA,high,6,16.251517838775214,FALSE
GRM5P1,-2.8422048586444912,3.451970243535763,-10.287273732999742,1.4165068178674136e-7,0.0020771655977207754,-0.4653615640437243,,Amide-Neg-000195,L-Malic Acid,Astrocyte-Immature,10,0.008236151560012341,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00020;map00620;R-HSA-1614517;R-HSA-1614558;R-HSA-1614635;R-HSA-428643;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-71403;R-HSA-9856872;WP106;WP2453;WP3602;WP4206;WP4236;WP4241;WP4290;WP4315;WP4595;WP4661;WP5046;WP5050;WP5213;WP534;WP5401;WP5434;WP661;WP78,C00149,NA,high,5,179.3208417009033,FALSE
CTNNA2,-2.821576662681942,9.38485366762467,-8.047420432082946,3.7395042865642947e-7,0.00454812786687257,6.845384926262664,,Amide-Neg-000219,N-Acetylglycine,Astrocyte-Immature,10,0.015548732631526523,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,10,0.6647941407344762,FALSE
RALYL,-2.968031021188141,6.588205519599216,-7.7435683440599705,6.259465822835908e-7,0.00454812786687257,6.087779599759886,,Amide-Neg-000219,N-Acetylglycine,Astrocyte-Immature,10,0.022025167648204294,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,10,0.7147468174513685,FALSE
DPP6,-2.157742366031026,8.650697796992016,-6.980062491887207,2.410368556725548e-6,0.010686006675890368,5.043959904137086,,Amide-Neg-000219,N-Acetylglycine,Astrocyte-Immature,10,0.05287698850264613,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,10,1.057580013363722,FALSE
HS6ST3,-2.7138560092627215,6.460333470203215,-6.733624242136914,3.787743368829114e-6,0.010686006675890368,4.49208086639066,,Amide-Neg-000219,N-Acetylglycine,Astrocyte-Immature,10,0.06970652294556544,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,9,0.5037035832710024,FALSE
