gene,n_metabolites,n_cell_types,n_tests
TSHZ2,32,7,42
ENSG00000253500,29,1,29
HS3ST5,27,4,34
PLCG2,27,7,32
GUCY1A1,26,5,37
RARB,26,7,42
LRMDA,24,7,34
DACH1,23,4,37
RYR2,23,4,31
CNTNAP2,22,6,25
CORT,22,1,22
RASGEF1B,21,4,25
CDH8,20,6,23
CEROX1,20,3,29
EBF1,19,6,33
GALNTL6,19,7,20
DCC,18,5,18
PDE7B,18,4,31
PENK,18,4,24
RELN,18,4,20
RIT2,18,6,19
BCAS1,17,4,17
DACH2,17,2,17
ENSG00000271774,17,5,21
GPR149,17,4,30
HS3ST4,17,5,23
PBX3,17,3,22
ADGRV1,16,2,16
MEIS2,16,4,21
PCP4,16,3,25
RBFOX1,16,3,18
STRIP2,16,3,27
TENM2,16,4,16
TENM3,16,6,20
TMTC2,16,5,19
TRPS1,16,4,23
ANKRD18A,15,1,15
CALN1,15,3,21
CCSER1,15,6,17
CDH18,15,4,16
CHODL,15,1,15
GRM3,15,3,19
KIAA1217,15,6,17
NPAS3,15,6,19
ADAMTS3,14,5,14
CNTNAP5,14,5,15
FOXP2,14,4,19
KCNIP4,14,7,14
LINGO2,14,4,14
LNC-LBCS,14,5,19
NR2F2-AS1,14,3,14
PARD3B,14,5,18
PRKCB,14,4,21
RALYL,14,3,14
RXRG,14,3,18
SLC26A3,14,2,14
TLL2,14,1,14
TMSB10,14,6,14
ADARB2,13,7,14
ADRA1A,13,1,13
ARL17B,13,4,16
ARPP21,13,5,14
CA10,13,2,13
CSMD1,13,5,13
ERBB4,13,4,14
FOXO1,13,3,21
GLI3,13,3,19
IL1RAPL2,13,2,13
KCTD8,13,4,14
MGAT4C,13,3,14
NPY,13,4,13
RXFP1,13,4,17
SPON1,13,4,17
COL25A1,12,4,14
DGKG,12,3,12
FBN2,12,3,12
FOXP1,12,3,18
GNAL,12,6,16
MIR99AHG,12,6,14
PTPRM,12,7,18
RPL37A,12,7,12
RPS18,12,5,13
RPS29,12,5,12
RSPO2,12,4,12
SLC35F3,12,4,15
SMOC2,12,4,20
ST6GALNAC3,12,2,13
SV2C,12,3,20
TOX,12,3,12
UNC5C,12,3,13
ZFHX3,12,4,15
CDH9,11,2,11
CPNE8,11,1,11
DCHS2,11,4,16
DIRC3-AS1,11,3,15
DLC1,11,5,13
DNAH14,11,3,11
