gene,n_metabolites,n_cell_types,n_tests
RPS19,86,11,112
RPL37A,82,11,103
PLCG2,76,11,98
RPL13A,76,11,92
RPL41,75,11,93
RPL13,73,11,94
RPL26,71,11,91
RPL18A,70,11,99
RPL19,70,11,86
RPS15,70,11,87
RPS27,70,11,90
EBF1,69,9,116
GALNTL6,69,8,83
RPL11,69,10,81
RPS13,69,11,85
TMSB10,69,10,86
RARB,68,9,119
RPL10A,68,11,84
RPL28,68,11,83
RPL32,68,9,83
RPS3A,68,11,85
EEF1A1,67,10,81
RPL35A,67,10,86
RPLP1,67,9,79
RPS2,67,10,82
RPS24,67,10,83
RPL10,66,11,82
RPL35,66,10,81
RPL36,66,11,82
RPL36A,66,10,80
RPL38,66,10,86
RPL39,66,9,76
RPLP2,66,10,83
RPS11,66,11,82
RPS23,66,10,85
RPS25,66,10,81
TMSB4X,66,10,89
COX7C,65,10,77
RPL31,65,10,77
RPS10,65,10,81
RPS16,65,11,82
HS3ST5,64,7,95
RPL23,64,10,80
RPL23A,64,11,80
RPL7A,64,10,80
RPS18,64,11,87
RPS21,64,10,77
RPS27A,64,10,82
ATP5F1E,63,10,76
GUCY1A1,63,6,107
RPS12,63,10,81
RPS15A,63,10,73
RPS28,63,10,81
RPS8,63,8,71
RPS9,63,10,80
GAPDH,62,7,75
RPL29,62,11,77
RPS29,62,11,87
RPS4X,62,9,78
RPS5,62,10,78
RPL18,61,10,82
RPL34,61,10,78
RPL5,61,9,72
RPL7,61,11,78
RPL9,61,11,82
TUBB2A,61,10,77
EEF1B2,60,10,74
LRMDA,60,7,101
RPL21,60,11,85
RPL3,60,11,76
RPL30,60,11,77
RPS14,60,10,76
TUBA1A,60,8,72
ACTG1,59,8,72
CALM1,59,9,81
RPL27A,59,11,83
RPL37,59,9,74
UBA52,59,10,70
EEF1G,58,11,74
KCTD8,58,7,78
MARCKSL1,58,10,72
RPL12,58,9,68
RPL15,58,10,74
RPL17,58,11,75
ACTB,57,7,73
CFL1,57,9,71
DYNLL1,57,9,71
ENSG00000229618,57,5,77
HSP90AB1,57,8,73
RPL24,57,10,71
RPL8,57,10,73
RPS3,57,11,72
TUBB2B,57,10,74
FAU,56,10,69
NACA,56,9,67
RPS17,56,10,78
RPS7,56,10,66
TPT1,56,10,64
CACNA2D3,55,9,74
CDH8,55,8,79
MARCKS,55,10,67
PENK,55,5,79
RACK1,55,9,62
RPL6,55,9,68
FOXP2,54,7,79
RELN,54,10,80
STMN1,54,9,67
TENM3,54,9,81
TSHZ2,54,7,88
TUBB,54,9,66
C12orf57,53,10,61
CALN1,53,7,66
CNTNAP2,53,8,77
EIF1,53,10,61
RASGEF1B,53,7,75
RPL14,53,8,65
RPL22,53,9,70
TUBA1B,53,8,73
UNC5C,53,8,58
CNTNAP5,52,7,62
FTL,52,8,59
RPL27,52,10,69
COX4I1,51,7,57
ENSG00000231918,51,6,58
HSPA8,51,8,62
PPIA,51,9,62
PTMA,51,7,62
PTMS,51,10,60
RPL4,51,8,56
RPS20,51,10,65
RPS6,51,9,58
TOX,51,9,64
C4orf48,50,9,62
ENSG00000271774,50,7,79
LINGO2,50,7,56
MIF,50,10,57
NDUFB11,50,9,58
PBX3,50,7,72
SNHG6,50,10,59
TMTC2,50,7,68
ADAMTS3,49,7,55
ATP6V0C,49,7,62
DACH1,49,6,90
NDUFS5,49,9,52
PEG10,49,7,63
PFDN5,49,9,56
PTPRM,49,10,81
RPSA,49,10,56
YWHAH,49,8,59
BEX1,48,10,55
COX6A1,48,10,55
ENSG00000253500,48,1,48
LSAMP,48,7,67
MZT2B,48,10,57
NPAS3,48,9,69
RIT2,48,7,57
UBB,48,10,56
UQCRB,48,8,50
UQCRH,48,9,52
CALM2,47,7,61
GABRB1,47,8,64
GPC5,47,8,50
GUCY1B1,47,5,76
ITPR2,47,6,66
MYO16,47,6,59
SRP14,47,10,58
TMEM158,47,7,64
ADARB2,46,9,62
BEX3,46,7,54
CD24,46,9,48
COX7A2,46,8,57
CPNE4,46,7,57
ELOB,46,9,57
ENSG00000287683,46,9,67
FOXP1,46,5,76
FTH1,46,7,51
H4C3,46,8,54
NDUFA4,46,9,56
NME2,46,8,50
NNAT,46,6,53
TOMM7,46,8,56
CA8,45,6,51
EEF2,45,6,54
LNC-LBCS,45,6,78
NR2F2-AS1,45,8,52
PCDH11Y,45,6,60
PEBP1,45,8,56
RBFOX1,45,4,59
RPLP0,45,8,52
RXRG,45,3,66
TMA7,45,7,48
TUBB3,45,8,56
ZFHX4,45,8,76
CDH18,44,7,56
CHCHD2,44,9,55
FABP7,44,9,56
GNAL,44,7,79
GPC6,44,7,54
KIAA1217,44,7,56
MEG3,44,8,71
NOP53,44,7,51
PRKG1,44,9,63
ROBO2,44,6,54
RPS26,44,9,58
RYR2,44,5,70
TMEM132D,44,9,61
ADGRV1,43,6,47
ASIC2,43,6,48
BTF3,43,9,49
CA10,43,4,51
CCSER1,43,9,60
CEROX1,43,6,74
DCC,43,7,56
FRMPD4,43,8,51
HINT1,43,8,53
HS3ST4,43,8,71
NPY,43,5,46
PCP4,43,5,69
ROR1,43,4,53
ST18,43,9,62
EML5,42,6,60
ENSG00000283674,42,7,55
GAS5,42,9,46
GRM3,42,5,62
INHBA,42,5,62
MYL6,42,9,52
PCSK1N,42,8,46
PPP1R14B,42,10,47
SNHG29,42,8,51
UQCR11,42,8,47
ZFPM2,42,8,53
ATP5F1D,41,9,46
ATP5ME,41,9,47
ATP5MF,41,9,47
C8orf34,41,8,54
COX8A,41,8,50
EDF1,41,8,46
ENSG00000254394,41,6,52
HNRNPA1,41,9,50
PARD3B,41,6,61
PRDX1,41,8,46
RBMS3,41,8,53
RYR3,41,5,50
SET,41,8,51
SOX2-OT,41,6,62
TLE4,41,7,68
UCHL1,41,7,46
ZEB2,41,8,64
ZNF428,41,8,46
ARPP21,40,7,57
BBLN,40,5,43
CHSY3,40,8,53
GABARAP,40,8,48
GPR149,40,5,71
H3-3A,40,8,49
KCND2,40,5,43
NDN,40,6,48
NRGN,40,5,63
PRKCB,40,5,60
SHISA6,40,8,49
SUMO2,40,9,49
TENM2,40,8,43
TRPS1,40,5,71
ZBTB20,40,10,56
DACH2,39,5,47
DBI,39,7,46
ENSG00000228999,39,8,58
LINC03051,39,6,58
MEIS2,39,8,70
NRG1,39,10,55
OAZ1,39,9,48
OST4,39,9,46
PDZRN4,39,7,44
RABAC1,39,7,48
RNASEK,39,8,47
ST8SIA3,39,6,56
UBL5,39,9,47
YWHAB,39,5,47
CALM3,38,9,40
CNTN3,38,8,47
ENSG00000291034,38,4,45
HSP90AA1,38,6,48
HTR2C,38,6,51
IL1RAPL2,38,6,44
MIR924HG,38,6,47
PAFAH1B3,38,8,40
PIP5K1B,38,5,46
PTN,38,5,49
RORA,38,7,63
SH3D19,38,4,49
SPOCK3,38,7,57
SPON1,38,5,53
TRPM3,38,8,50
YWHAE,38,8,42
ATP5MG,37,6,41
BEX2,37,8,45
CALB1,37,3,50
CLSTN2,37,6,48
CNIH2,37,6,38
COL25A1,37,7,54
CSMD1,37,8,37
EEF1A2,37,8,38
ENSG00000251680,37,7,54
FBN2,37,4,37
FGF14,37,5,46
FOXO1,37,4,66
GABRA2,37,7,40
KCTD16,37,5,48
KITLG,37,5,52
LHFPL3,37,9,54
LRRC36,37,4,50
NDUFA13,37,8,46
NETO1,37,5,57
