Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
C8-Pos-005561,Pc(22:5cooh_25:8),Lipids and lipid-like molecules,Glycerophospholipids,6233,8
Amide-Neg-000089,Methanesulfonic Acid,Organic acids and derivatives,Organic sulfonic acids and derivatives,5992,8
Amide-Pos-000710,Meglumine,Organic oxygen compounds,Organooxygen compounds,4724,7
C8-Neg-003398,Pi(22:0_12:1),Lipids and lipid-like molecules,Glycerophospholipids,4391,7
Amide-Neg-000118,3-Hydroxybutyric Acid,Organic acids and derivatives,Hydroxy acids and derivatives,3956,8
C8-Neg-003656,Pe(19:1cooh_28:3),Lipids and lipid-like molecules,Glycerophospholipids,3528,7
C8-Pos-000148,Palmitoleic Acid,Lipids and lipid-like molecules,Fatty Acyls,2997,7
Amide-Pos-000091,1-Aminocyclopropanecarboxylic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,2791,9
C8-Neg-003439,Dgdg(18:0_11:1),Lipids and lipid-like molecules,Glycerolipids,2781,4
C8-Pos-000616,Progesterone,Lipids and lipid-like molecules,Steroids and steroid derivatives,2449,10
C8-Neg-003596,Ps(23:2_21:0),Lipids and lipid-like molecules,Glycerophospholipids,2130,7
C8-Pos-000855,Dipropyleneglycol Dibenzoate,Benzenoids,Benzene and substituted derivatives,2105,8
C18-Pos-002092,Adenosine 3'5'-Cyclic Monophosphate,"Nucleosides, nucleotides, and analogues",Purine nucleotides,1964,5
Amide-Pos-000686,"N6,N6,N6-Trimethyl-L-Lysine",Organic acids and derivatives,Carboxylic acids and derivatives,1850,6
C8-Pos-000495,"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",Lipids and lipid-like molecules,Steroids and steroid derivatives,1683,5
C8-Pos-005016,Pc(28:6_10:0cooh),Lipids and lipid-like molecules,Glycerophospholipids,1524,4
Amide-Neg-000697,Dl-Arginine,Organic acids and derivatives,Carboxylic acids and derivatives,1298,5
C8-Pos-000740,Geranylgeranylacetone,Lipids and lipid-like molecules,Prenol lipids,1298,6
Amide-Neg-000314,Mesaconic Acid,Lipids and lipid-like molecules,Fatty Acyls,1284,6
C8-Pos-004759,Pe(O-20:1_22:6),Lipids and lipid-like molecules,Glycerophospholipids,1259,6
Amide-Neg-000484,L-Lysine,Organic acids and derivatives,Carboxylic acids and derivatives,1245,4
C18-Pos-001811,N-Acetyl-1-Aspartylglutamic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,1145,5
C8-Neg-003546,Ps(23:4_21:5),Lipids and lipid-like molecules,Glycerophospholipids,1137,4
Amide-Pos-000690,Gly-Asp,Organic acids and derivatives,Carboxylic acids and derivatives,1079,3
Amide-Neg-000866,N-Acetyl-L-Methionine,Organic acids and derivatives,Carboxylic acids and derivatives,1067,6
Amide-Pos-001387,Asp-Pro-Asn,Organic acids and derivatives,Carboxylic acids and derivatives,951,5
C8-Pos-000610,"2-Methyl-5-{2-[2-(4-Methyl-3,6-Dioxocyclohexa-1,4-Dienyl)Ethoxy]Ethyl}Benzo-1,4-Quinone",Organic oxygen compounds,Organooxygen compounds,937,4
C18-Pos-001549,Triethyl Citrate,Organic acids and derivatives,Carboxylic acids and derivatives,883,3
C8-Pos-003685,Pe(O-26:3_7:0),Lipids and lipid-like molecules,Glycerophospholipids,843,4
Amide-Pos-000376,L(+)-Ornithine,Organic acids and derivatives,Carboxylic acids and derivatives,830,4
C8-Pos-005193,Pc(20:0_22:5),Lipids and lipid-like molecules,Glycerophospholipids,813,3
Amide-Neg-000001,Acrylic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,810,2
Amide-Neg-000158,Maleic Hydrazide,Organoheterocyclic compounds,Diazines,802,2
Amide-Pos-001105,Υ-L-Glutamyl-L-Glutamic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,749,7
C8-Pos-004891,Pet(20:0_23:6),Lipids and lipid-like molecules,Glycerophospholipids,725,4
Amide-Pos-000658,Trans-3-Indoleacrylic Acid,Organoheterocyclic compounds,Indoles and derivatives,722,5
C8-Pos-000350,Citroflex 2,Organic acids and derivatives,Carboxylic acids and derivatives,714,4
Amide-Neg-000486,L-Glutamine,Organic acids and derivatives,Carboxylic acids and derivatives,701,6
C8-Pos-004964,Bmp 22:5_22:6,Lipids and lipid-like molecules,Glycerophospholipids,701,2
C8-Pos-004035,Lpe 38:6,Lipids and lipid-like molecules,Glycerophospholipids,678,4
C8-Neg-003419,Ps(23:1_17:2),Lipids and lipid-like molecules,Glycerophospholipids,677,3
Amide-Pos-000372,Asparagine,Organic acids and derivatives,Carboxylic acids and derivatives,673,4
