n_fg,n_set_tested,fg_in_set,bg_in_set,OR,ci_lo,ci_hi,p,set_id,set_label,condition,source,level,set_type,pct_fg,pct_bg,reported,FDR,significant
542,193,12,181,3.2780979794825797,1.6524299296252365,5.915642068254025,5.729479400278161e-4,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,2.2140221402214024,0.6858918488764257,TRUE,8.594219100417241e-4,TRUE
542,25,2,23,4.245209144513684,0.4839857786598044,17.251109739752486,0.08952030782326904,ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,0.36900369003690037,0.08715752775777787,TRUE,0.10742436938792285,FALSE
542,23,1,22,2.2153391216939595,0.05358072255272002,13.761181436777497,0.373621878678853,t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,0.18450184501845018,0.08336807002917883,TRUE,0.373621878678853,FALSE
542,460,26,434,3.0131423652894376,1.927611739741894,4.5275968514779565,2.72402383730798e-6,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,4.797047970479705,1.6446246542119822,TRUE,8.352885395404944e-6,TRUE
542,112,12,100,5.951209554980573,2.9571171880632585,10.944877933751693,2.784295131801648e-6,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,2.2140221402214024,0.3789457728599038,TRUE,8.352885395404944e-6,TRUE
542,150,11,139,3.911786323855923,1.8971119958861087,7.274832715196067,2.3852448991087833e-4,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,2.029520295202952,0.5267346242752662,TRUE,4.7704897982175665e-4,TRUE
542,104,11,93,5.856418879707743,2.8093356892140275,11.051302561180387,8.180125508636683e-6,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro,2.029520295202952,0.3524195687597105,FALSE,3.272050203454673e-5,TRUE
542,129,8,121,3.252004494317332,1.365697310656262,6.661299357111549,0.004663142652676143,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro,1.4760147601476015,0.45852438516048355,FALSE,0.009326285305352285,TRUE
542,27,3,24,6.113235447142661,1.1748603062807461,20.21993488334561,0.016565202804378273,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro,0.5535055350553506,0.0909469854863769,FALSE,0.022086937072504365,TRUE
542,8,1,7,6.9648081811481015,0.15429113375605766,54.41120895072843,0.1501263778974945,scz_chick,SCZ (Chick 2025),SCZ,Chick 2025,paper,neuro,0.18450184501845018,0.02652620410019326,FALSE,0.1501263778974945,FALSE
