condition,gene,cell_type,n_metabolites
Epilepsy,ADGRV1,OPC,6
Epilepsy,EEF1A2,EN-Non-IT-Immature,1
Epilepsy,FGF12,EN-Newborn,1
Epilepsy,GABRB1,IN-CGE-Immature,1
Epilepsy,GABRB1,IPC-EN,1
Epilepsy,GRIK1,EN-IT-Immature,1
Epilepsy,LGI1,IN-MGE-SST,1
Epilepsy,NEUROD2,EN-L6b,1
Epilepsy,RBFOX1,IN-CGE-Immature,3
Epilepsy,RBFOX1,IN-MGE-Immature,3
Epilepsy,RBFOX1,OPC,3
Epilepsy,RELN,EN-L6b,2
Epilepsy,RELN,IN-CGE-Immature,2
Epilepsy,RELN,IN-MGE-Immature,1
Epilepsy,RYR2,IN-CGE-Immature,5
Epilepsy,RYR2,IN-MGE-SST,1
Epilepsy,RYR2,OPC,4
Epilepsy,SLC6A1,EN-L6b,1
NDD,BCL11B,IN-MGE-SST,1
NDD,EEF1A2,EN-Non-IT-Immature,1
NDD,ERF,EN-L6b,1
NDD,FBN2,IN-MGE-SST,4
NDD,FGF12,EN-Newborn,1
NDD,FOXP1,IN-CGE-Immature,2
NDD,FOXP1,IN-MGE-SST,4
NDD,FOXP2,IN-CGE-Immature,5
NDD,FOXP2,IN-MGE-SST,2
NDD,GLI3,EN-L6b,1
NDD,INHBA,EN-L6b,1
NDD,MEIS2,IN-CGE-Immature,6
NDD,MEIS2,IN-MGE-SST,1
NDD,PBX3,IN-MGE-SST,4
NDD,PRKCB,IN-MGE-SST,1
NDD,PRKG1,IN-CGE-Immature,4
NDD,PRKG1,IN-MGE-SST,1
NDD,PRKG1,IPC-EN,1
NDD,PTPRD,IN-MGE-Immature,1
NDD,RARB,EN-L6b,3
NDD,RARB,IN-CGE-Immature,6
NDD,RARB,OPC,1
NDD,RORA,EN-L6b,2
NDD,RPL10A,EN-Non-IT-Immature,2
NDD,RPL10A,IN-MGE-SST,1
NDD,RPL19,EN-Non-IT-Immature,1
NDD,RPL19,IN-MGE-SST,1
NDD,RYR2,IN-CGE-Immature,5
NDD,RYR2,IN-MGE-SST,1
NDD,RYR2,OPC,4
NDD,SLC6A1,EN-L6b,1
NDD,SYT1,IN-MGE-SST,2
NDD,TCF4,IN-MGE-SST,1
NDD,TRPM3,IN-MGE-SST,1
NDD,ZBTB20,OPC,2
NDD,ZEB2,IN-MGE-SST,1
NDD,ZFHX4,EN-L6b,1
NDD,ZFHX4,IN-CGE-Immature,1
NDD,ZFHX4,IN-MGE-SST,2
SCZ,BCL11B,IN-MGE-SST,1
SCZ,CALN1,IN-CGE-Immature,2
SCZ,CALN1,IN-MGE-SST,4
SCZ,CNTN4,Astrocyte-Immature,1
SCZ,CNTN4,EN-Newborn,1
SCZ,CSMD1,IN-MGE-SST,2
SCZ,DCC,IN-CGE-Immature,5
SCZ,DCC,IN-MGE-Immature,1
SCZ,DCC,IN-MGE-SST,1
SCZ,IL1RAPL1,EN-L6b,1
SCZ,IL1RAPL1,IN-MGE-SST,1
SCZ,NEGR1,EN-L6-IT,1
SCZ,NEGR1,EN-Non-IT-Immature,1
SCZ,OPCML,EN-Newborn,1
SCZ,OPCML,IN-MGE-SST,2
SCZ,PTPRD,IN-MGE-Immature,1
SCZ,SGCD,EN-L6b,1
SCZ,SGCD,EN-Non-IT-Immature,1
SCZ,SLC6A1,EN-L6b,1
SCZ,TMTC1,EN-L6b,1
