cell_type,set_id,gene,Compound.ID,Name,Class,Super.Class,logFC,set_label,condition,source,level,set_type,metabolite
EN-L6b,ndd_fu_dd477,GLI3,Amide-Neg-000171,Glutaric Anhydride,Lactones,Organoheterocyclic compounds,2.3078917340115455,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Glutaric Anhydride
EN-L6b,ndd_fu_dd477,RARB,Amide-Neg-001061,2-Deoxyribose 5-Phosphate,Organooxygen compounds,Organic oxygen compounds,3.9528635079669145,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,2-Deoxyribose 5-Phosphate
EN-L6b,ndd_fu_dd477,RARB,Amide-Pos-002120,Dihydronicotinamide-Adenine Dinucleotide,(5'->5')-dinucleotides,"Nucleosides, nucleotides, and analogues",-4.498980989400524,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Dihydronicotinamide-Adenine Dinucleotide
EN-L6b,ndd_fu_dd477,RORA,Amide-Pos-002120,Dihydronicotinamide-Adenine Dinucleotide,(5'->5')-dinucleotides,"Nucleosides, nucleotides, and analogues",-2.914470882966426,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Dihydronicotinamide-Adenine Dinucleotide
EN-L6b,ndd_fu_dd477,RARB,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Carboxylic acids and derivatives,Organic acids and derivatives,-3.741792220824819,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,S-4-(2-Oxo-Butyl)Glutathione
EN-L6b,ndd_fu_dd477,RORA,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Carboxylic acids and derivatives,Organic acids and derivatives,-2.357321221648669,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,S-4-(2-Oxo-Butyl)Glutathione
EN-L6b,ndd_fu_dd477,SLC6A1,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Carboxylic acids and derivatives,Organic acids and derivatives,-1.35379495496526,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,S-4-(2-Oxo-Butyl)Glutathione
EN-L6b,ndd_fu_dd477,INHBA,C8-Neg-003807,Sqdg(14:0_30:6),Glycerolipids,Lipids and lipid-like molecules,2.0215566282232813,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Sqdg(14:0_30:6)
EN-L6b,ndd_fu_dd477,ZFHX4,C8-Pos-004750,Pe 21:2_21:2,Glycerophospholipids,Lipids and lipid-like molecules,-3.0177406166720084,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Pe 21:2_21:2
EN-L6b,ndd_fu_dd477,ERF,C8-Pos-004921,Tg(49:11_2:0),Glycerolipids,Lipids and lipid-like molecules,-1.852541118540276,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Tg(49:11_2:0)
IN-MGE-SST,ndd_fu_dd477,RPL19,Amide-Neg-000032,Pyruvic Acid,Keto acids and derivatives,Organic acids and derivatives,1.0183881365372744,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Pyruvic Acid
IN-MGE-SST,ndd_fu_dd477,RPL10A,Amide-Neg-000032,Pyruvic Acid,Keto acids and derivatives,Organic acids and derivatives,1.0123643529479716,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Pyruvic Acid
IN-MGE-SST,ndd_fu_dd477,FOXP2,Amide-Neg-000078,Isobutyric Acid,Carboxylic acids and derivatives,Organic acids and derivatives,2.354530029110186,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Isobutyric Acid
