gene,cell_type,Compound.ID,Name,Class,Super.Class,logFC,set_id,set_label,condition,source,level,set_type
CNTN4,Astrocyte-Immature,Amide-Neg-001331,Pseudouridine,Nucleoside and nucleotide analogues,"Nucleosides, nucleotides, and analogues",1.8288304709949688,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
CNTN4,Astrocyte-Immature,Amide-Neg-001331,Pseudouridine,Nucleoside and nucleotide analogues,"Nucleosides, nucleotides, and analogues",1.8288304709949688,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
MAML2,EN-IT-Immature,C18-Pos-000742,Uric Acid,Imidazopyrimidines,Organoheterocyclic compounds,-1.156303151663183,ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control
GRIK1,EN-IT-Immature,C8-Pos-003535,Pe 16:1_16:1,Glycerophospholipids,Lipids and lipid-like molecules,-1.991292935519115,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
GRIK1,EN-IT-Immature,C8-Pos-003535,Pe 16:1_16:1,Glycerophospholipids,Lipids and lipid-like molecules,-1.991292935519115,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
PDE3A,EN-IT-Immature,C8-Pos-004750,Pe 21:2_21:2,Glycerophospholipids,Lipids and lipid-like molecules,-2.047250051542106,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
NEGR1,EN-L6-IT,Amide-Neg-000291,Dl-Pyroglutamic Acid,Carboxylic acids and derivatives,Organic acids and derivatives,0.719465924337837,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
NEGR1,EN-L6-IT,Amide-Neg-000291,Dl-Pyroglutamic Acid,Carboxylic acids and derivatives,Organic acids and derivatives,0.719465924337837,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
GLI3,EN-L6b,Amide-Neg-000171,Glutaric Anhydride,Lactones,Organoheterocyclic compounds,2.3078917340115455,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RELN,EN-L6b,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,3.0209610173295904,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
