cell_type,n_samples_pb,n_samples_both,n_male_both,n_female_both,gw_min,gw_max,n_gw_levels,median_cells,min_cells,total_cells,passes_min_samples,resid_df,n_associations,n_metabolites,n_genes,n_assoc_clean,n_metab_clean,n_genes_clean,n_too_few,retention,assoc_per_metab,assoc_per_metab_clean
EN-L6-IT,40,21,10,11,16,24,8,211,39,7513,TRUE,16,23,20,20,22,19,19,0,0.9565217391304348,1.15,1.1578947368421053
EN-IT-Immature,39,20,10,10,16,24,8,433.5,82,11250,TRUE,15,25,18,25,25,18,25,0,1,1.3888888888888888,1.3888888888888888
EN-Newborn,41,20,9,11,16,24,8,523.5,48,11200,TRUE,15,38,33,38,37,32,37,0,0.9736842105263158,1.1515151515151516,1.15625
EN-L6b,38,19,9,10,16,24,8,211,68,5449,TRUE,14,143,27,107,143,27,107,0,1,5.296296296296297,5.296296296296297
IN-MGE-Immature,35,18,8,10,16,24,8,75.5,32,1733,TRUE,13,51,40,43,51,40,43,0,1,1.275,1.275
IN-CGE-Immature,31,17,8,9,16,24,8,74,40,1729,TRUE,12,229,40,117,226,40,117,0,0.9868995633187773,5.725,5.65
Astrocyte-Immature,28,15,8,7,16,24,8,60,32,1120,TRUE,10,45,27,42,45,27,42,0,1,1.6666666666666667,1.6666666666666667
IN-MGE-SST,27,13,7,6,17,24,5,75,35,1073,TRUE,8,276,39,166,261,38,162,0,0.9456521739130435,7.076923076923077,6.868421052631579
EN-Non-IT-Immature,31,12,6,6,16,23,6,249,61,3447,TRUE,7,190,14,129,190,14,129,0,1,13.571428571428571,13.571428571428571
OPC,21,11,6,5,17,24,7,47,30,536,TRUE,6,109,76,45,100,68,45,0,0.9174311926605505,1.4342105263157894,1.4705882352941178
IPC-EN,26,10,6,4,16,21,5,143.5,33,1517,TRUE,5,5,4,5,5,4,5,0,1,1.25,1.25
