gene,n_metabolites,n_cell_types,n_associations,sfari_score,is_sfari,is_hub
DDX11L2,0,0,0,NA,FALSE,FALSE
MIR1302-2HG,0,0,0,NA,FALSE,FALSE
FAM138A,0,0,0,NA,FALSE,FALSE
ENSG00000290826,0,0,0,NA,FALSE,FALSE
OR4F5,0,0,0,NA,FALSE,FALSE
ENSG00000238009,0,0,0,NA,FALSE,FALSE
ENSG00000239945,0,0,0,NA,FALSE,FALSE
ENSG00000239906,0,0,0,NA,FALSE,FALSE
ENSG00000241860,0,0,0,NA,FALSE,FALSE
ENSG00000241599,0,0,0,NA,FALSE,FALSE
ENSG00000286448,0,0,0,NA,FALSE,FALSE
ENSG00000236601,0,0,0,NA,FALSE,FALSE
ENSG00000290385,0,0,0,NA,FALSE,FALSE
OR4F29,0,0,0,NA,FALSE,FALSE
ENSG00000235146,0,0,0,NA,FALSE,FALSE
OR4F16,0,0,0,NA,FALSE,FALSE
ENSG00000291215,0,0,0,NA,FALSE,FALSE
ENSG00000229905,0,0,0,NA,FALSE,FALSE
LINC01409,0,0,0,NA,FALSE,FALSE
ENSG00000290784,0,0,0,NA,FALSE,FALSE
FAM87B,0,0,0,NA,FALSE,FALSE
LINC00115,0,0,0,NA,FALSE,FALSE
LINC01128,0,0,0,NA,FALSE,FALSE
ENSG00000288531,0,0,0,NA,FALSE,FALSE
FAM41C,0,0,0,NA,FALSE,FALSE
ENSG00000272438,0,0,0,NA,FALSE,FALSE
ENSG00000230699,0,0,0,NA,FALSE,FALSE
ENSG00000241180,0,0,0,NA,FALSE,FALSE
LINC02593,0,0,0,NA,FALSE,FALSE
SAMD11,0,0,0,2,TRUE,FALSE
NOC2L,0,0,0,NA,FALSE,FALSE
KLHL17,0,0,0,NA,FALSE,FALSE
PLEKHN1,0,0,0,NA,FALSE,FALSE
PERM1,0,0,0,NA,FALSE,FALSE
ENSG00000272512,0,0,0,NA,FALSE,FALSE
HES4,0,0,0,NA,FALSE,FALSE
ISG15,0,0,0,NA,FALSE,FALSE
ENSG00000224969,0,0,0,NA,FALSE,FALSE
AGRN,0,0,0,NA,FALSE,FALSE
ENSG00000242590,0,0,0,NA,FALSE,FALSE
ENSG00000291156,0,0,0,NA,FALSE,FALSE
ENSG00000273443,0,0,0,NA,FALSE,FALSE
RNF223,0,0,0,NA,FALSE,FALSE
C1orf159,0,0,0,NA,FALSE,FALSE
ENSG00000285812,0,0,0,NA,FALSE,FALSE
LINC01342,0,0,0,NA,FALSE,FALSE
ENSG00000272141,0,0,0,NA,FALSE,FALSE
TTLL10-AS1,0,0,0,NA,FALSE,FALSE
TTLL10,0,0,0,NA,FALSE,FALSE
TNFRSF18,0,0,0,NA,FALSE,FALSE
TNFRSF4,0,0,0,NA,FALSE,FALSE
SDF4,0,0,0,NA,FALSE,FALSE
B3GALT6,0,0,0,NA,FALSE,FALSE
C1QTNF12,0,0,0,NA,FALSE,FALSE
ENSG00000260179,0,0,0,NA,FALSE,FALSE
UBE2J2,0,0,0,NA,FALSE,FALSE
LINC01786,0,0,0,NA,FALSE,FALSE
SCNN1D,0,0,0,NA,FALSE,FALSE
ACAP3,0,0,0,NA,FALSE,FALSE
PUSL1,0,0,0,NA,FALSE,FALSE
INTS11,0,0,0,NA,FALSE,FALSE
ENSG00000240731,0,0,0,NA,FALSE,FALSE
CPTP,0,0,0,NA,FALSE,FALSE
TAS1R3,0,0,0,NA,FALSE,FALSE
DVL1,0,0,0,NA,FALSE,FALSE
MXRA8,0,0,0,NA,FALSE,FALSE
AURKAIP1,0,0,0,NA,FALSE,FALSE
CCNL2,0,0,0,NA,FALSE,FALSE
MRPL20-AS1,0,0,0,NA,FALSE,FALSE
MRPL20,0,0,0,NA,FALSE,FALSE
MRPL20-DT,0,0,0,NA,FALSE,FALSE
ANKRD65,0,0,0,NA,FALSE,FALSE
ANKRD65-AS1,0,0,0,NA,FALSE,FALSE
TMEM88B,0,0,0,NA,FALSE,FALSE
LINC01770,0,0,0,NA,FALSE,FALSE
VWA1,0,0,0,NA,FALSE,FALSE
ATAD3C,0,0,0,NA,FALSE,FALSE
ATAD3B,0,0,0,NA,FALSE,FALSE
ENSG00000290916,0,0,0,NA,FALSE,FALSE
ATAD3A,0,0,0,NA,FALSE,FALSE
TMEM240,0,0,0,NA,FALSE,FALSE
SSU72,0,0,0,NA,FALSE,FALSE
ENSG00000215014,0,0,0,NA,FALSE,FALSE
FNDC10,0,0,0,NA,FALSE,FALSE
ENSG00000286989,0,0,0,NA,FALSE,FALSE
ENSG00000272106,0,0,0,NA,FALSE,FALSE
MIB2,0,0,0,NA,FALSE,FALSE
MMP23B,0,0,0,NA,FALSE,FALSE
CDK11B,0,0,0,NA,FALSE,FALSE
ENSG00000272004,0,0,0,NA,FALSE,FALSE
SLC35E2B,0,0,0,NA,FALSE,FALSE
CDK11A,0,0,0,NA,FALSE,FALSE
ENSG00000290854,0,0,0,NA,FALSE,FALSE
NADK,0,0,0,NA,FALSE,FALSE
GNB1,0,0,0,NA,FALSE,FALSE
GNB1-DT,0,0,0,NA,FALSE,FALSE
CALML6,0,0,0,NA,FALSE,FALSE
TMEM52,0,0,0,NA,FALSE,FALSE
CFAP74,0,0,0,NA,FALSE,FALSE
ENSG00000233542,0,0,0,NA,FALSE,FALSE
GABRD,0,0,0,NA,FALSE,FALSE
PRKCZ-DT,0,0,0,NA,FALSE,FALSE
PRKCZ,0,0,0,NA,FALSE,FALSE
ENSG00000271806,0,0,0,NA,FALSE,FALSE
PRKCZ-AS1,0,0,0,NA,FALSE,FALSE
FAAP20,0,0,0,NA,FALSE,FALSE
ENSG00000234396,0,0,0,NA,FALSE,FALSE
SKI,0,0,0,1,TRUE,FALSE
ENSG00000287356,0,0,0,NA,FALSE,FALSE
MORN1,0,0,0,NA,FALSE,FALSE
ENSG00000272161,0,0,0,NA,FALSE,FALSE
ENSG00000272420,0,0,0,NA,FALSE,FALSE
RER1,0,0,0,NA,FALSE,FALSE
PEX10,0,0,0,NA,FALSE,FALSE
PLCH2,0,0,0,NA,FALSE,FALSE
ENSG00000224387,0,0,0,NA,FALSE,FALSE
ENSG00000229393,0,0,0,NA,FALSE,FALSE
PANK4,0,0,0,NA,FALSE,FALSE
HES5,0,0,0,NA,FALSE,FALSE
ENSG00000272449,0,0,0,NA,FALSE,FALSE
TNFRSF14-AS1,0,0,0,NA,FALSE,FALSE
TNFRSF14,0,0,0,NA,FALSE,FALSE
ENSG00000228037,0,0,0,NA,FALSE,FALSE
ENSG00000289610,0,0,0,NA,FALSE,FALSE
PRXL2B,0,0,0,NA,FALSE,FALSE
MMEL1,0,0,0,NA,FALSE,FALSE
MMEL1-AS1,0,0,0,NA,FALSE,FALSE
TTC34,0,0,0,NA,FALSE,FALSE
ENSG00000285945,0,0,0,NA,FALSE,FALSE
ENSG00000283259,0,0,0,NA,FALSE,FALSE
ENSG00000233234,0,0,0,NA,FALSE,FALSE
ENSG00000287396,0,0,0,NA,FALSE,FALSE
ENSG00000231630,0,0,0,NA,FALSE,FALSE
ENSG00000284745,0,0,0,NA,FALSE,FALSE
ACTRT2,0,0,0,NA,FALSE,FALSE
PRDM16-DT,0,0,0,NA,FALSE,FALSE
PRDM16,0,0,0,NA,FALSE,FALSE
ENSG00000226286,0,0,0,NA,FALSE,FALSE
ENSG00000272235,0,0,0,NA,FALSE,FALSE
ENSG00000287828,0,0,0,NA,FALSE,FALSE
ENSG00000286518,0,0,0,NA,FALSE,FALSE
ARHGEF16,0,0,0,NA,FALSE,FALSE
ENSG00000272088,0,0,0,NA,FALSE,FALSE
MEGF6,0,0,0,NA,FALSE,FALSE
ENSG00000238260,0,0,0,NA,FALSE,FALSE
TPRG1L,0,0,0,NA,FALSE,FALSE
WRAP73,0,0,0,NA,FALSE,FALSE
TP73,0,0,0,NA,FALSE,FALSE
TP73-AS3,0,0,0,NA,FALSE,FALSE
TP73-AS2,0,0,0,NA,FALSE,FALSE
CCDC27,0,0,0,NA,FALSE,FALSE
SMIM1,0,0,0,NA,FALSE,FALSE
LRRC47,0,0,0,NA,FALSE,FALSE
ENSG00000272153,0,0,0,NA,FALSE,FALSE
CEP104,0,0,0,NA,FALSE,FALSE
DFFB,0,0,0,NA,FALSE,FALSE
C1orf174,0,0,0,NA,FALSE,FALSE
LINC01134,0,0,0,NA,FALSE,FALSE
LINC01346,0,0,0,NA,FALSE,FALSE
LINC01345,0,0,0,NA,FALSE,FALSE
LINC02780,0,0,0,NA,FALSE,FALSE
ENSG00000284703,0,0,0,NA,FALSE,FALSE
LINC01777,0,0,0,NA,FALSE,FALSE
ENSG00000284694,0,0,0,NA,FALSE,FALSE
ENSG00000227169,0,0,0,NA,FALSE,FALSE
LINC01646,0,0,0,NA,FALSE,FALSE
AJAP1,0,0,0,NA,FALSE,FALSE
ENSG00000287586,0,0,0,NA,FALSE,FALSE
ENSG00000284739,0,0,0,NA,FALSE,FALSE
LINC02781,0,0,0,NA,FALSE,FALSE
LINC02782,0,0,0,NA,FALSE,FALSE
ENSG00000284616,0,0,0,NA,FALSE,FALSE
ENSG00000284692,0,0,0,NA,FALSE,FALSE
ENSG00000284666,0,0,0,NA,FALSE,FALSE
ENSG00000260972,0,0,0,NA,FALSE,FALSE
ENSG00000236948,0,0,0,NA,FALSE,FALSE
ENSG00000289893,0,0,0,NA,FALSE,FALSE
NPHP4,0,0,0,NA,FALSE,FALSE
KCNAB2,0,0,0,NA,FALSE,FALSE
CHD5,0,0,0,NA,FALSE,FALSE
RPL22,2,1,2,NA,FALSE,FALSE
RNF207-AS1,0,0,0,NA,FALSE,FALSE
RNF207,0,0,0,NA,FALSE,FALSE
ICMT,0,0,0,NA,FALSE,FALSE
ICMT-DT,0,0,0,NA,FALSE,FALSE
HES3,0,0,0,NA,FALSE,FALSE
GPR153,0,0,0,NA,FALSE,FALSE
ACOT7,0,0,0,NA,FALSE,FALSE
ENSG00000271746,0,0,0,NA,FALSE,FALSE
