gene,n_metabolites,n_cell_types,n_associations,is_sfari,sfari_score,is_hub
ENSG00000253500,14,1,14,FALSE,NA,TRUE
TSHZ2,13,4,13,FALSE,NA,TRUE
GUCY1A1,12,3,14,FALSE,NA,TRUE
EBF1,11,4,13,FALSE,NA,TRUE
RARB,10,3,10,FALSE,NA,TRUE
RYR2,10,3,10,FALSE,NA,TRUE
RASGEF1B,9,3,9,FALSE,NA,TRUE
RBFOX1,9,3,9,TRUE,2,TRUE
CORT,8,1,8,FALSE,NA,TRUE
ENSG00000271774,8,2,8,FALSE,NA,TRUE
PCP4,8,2,8,FALSE,NA,TRUE
STRIP2,8,2,8,FALSE,NA,TRUE
CNTNAP2,7,3,7,TRUE,2,TRUE
DACH1,7,3,7,FALSE,NA,TRUE
DCC,7,3,7,TRUE,2,TRUE
LRMDA,7,3,8,FALSE,NA,TRUE
MEIS2,7,2,7,TRUE,1,TRUE
PLCG2,7,3,7,FALSE,NA,TRUE
ADGRV1,6,1,6,FALSE,NA,TRUE
CHODL,6,1,6,FALSE,NA,TRUE
FOXP1,6,2,6,TRUE,1,TRUE
GPR149,6,3,8,FALSE,NA,TRUE
GRM3,6,2,6,FALSE,NA,TRUE
PRKG1,6,3,6,FALSE,NA,TRUE
TENM2,6,3,6,FALSE,NA,TRUE
TRPS1,6,3,6,FALSE,NA,TRUE
ADARB2,5,3,5,FALSE,NA,TRUE
ARL17B,5,2,5,FALSE,NA,TRUE
CDH8,5,2,5,TRUE,2,TRUE
CDH9,5,2,5,TRUE,2,TRUE
CEROX1,5,3,6,FALSE,NA,TRUE
COL25A1,5,1,5,FALSE,NA,TRUE
ENSG00000233005,5,1,5,FALSE,NA,TRUE
FOXP2,5,2,7,TRUE,1,TRUE
GNAL,5,1,5,FALSE,NA,TRUE
HS3ST4,5,1,5,FALSE,NA,TRUE
KCTD16,5,2,5,FALSE,NA,TRUE
NPY,5,2,5,FALSE,NA,TRUE
RELN,5,3,5,TRUE,1,TRUE
RPL37A,5,4,5,FALSE,NA,TRUE
SLC26A3,5,2,5,FALSE,NA,TRUE
CALN1,4,2,6,FALSE,NA,FALSE
CCSER1,4,3,4,TRUE,2,FALSE
CXXC4-AS1,4,2,4,FALSE,NA,FALSE
DACH2,4,2,4,FALSE,NA,FALSE
EEF1A1,4,3,4,FALSE,NA,FALSE
FBN2,4,1,4,FALSE,NA,FALSE
FOXO1,4,2,4,FALSE,NA,FALSE
HS3ST5,4,2,4,TRUE,2,FALSE
IL1RAPL2,4,1,4,TRUE,2,FALSE
KCNIP4,4,1,4,FALSE,NA,FALSE
MGAT4C,4,2,4,FALSE,NA,FALSE
PARD3B,4,3,4,TRUE,2,FALSE
PBX3,4,1,4,FALSE,NA,FALSE
PDE7B,4,2,4,FALSE,NA,FALSE
PEG10,4,2,4,FALSE,NA,FALSE
RALYL,4,4,4,FALSE,NA,FALSE
RPL35A,4,3,4,FALSE,NA,FALSE
RPL41,4,3,4,FALSE,NA,FALSE
RPL7A,4,3,4,FALSE,NA,FALSE
RPS25,4,3,4,FALSE,NA,FALSE
RPS27,4,3,4,FALSE,NA,FALSE
SLC35F3,4,1,4,FALSE,NA,FALSE
SYNDIG1,4,1,4,FALSE,NA,FALSE
TMSB10,4,3,4,FALSE,NA,FALSE
TUBB2B,4,3,4,FALSE,NA,FALSE
ZFHX4,4,3,4,TRUE,3,FALSE
ALCAM,3,1,3,FALSE,NA,FALSE
CALB1,3,1,3,FALSE,NA,FALSE
CNTN6,3,2,3,TRUE,2,FALSE
CNTNAP5,3,1,3,TRUE,2,FALSE
DIRC3-AS1,3,1,3,FALSE,NA,FALSE
DLC1,3,1,3,FALSE,NA,FALSE
DSCAM,3,2,3,TRUE,1,FALSE
EEF1B2,3,2,3,FALSE,NA,FALSE
EEF1G,3,2,3,FALSE,NA,FALSE
ENSG00000251680,3,2,3,FALSE,NA,FALSE
ENSG00000259692,3,1,3,FALSE,NA,FALSE
ENSG00000288035,3,1,3,FALSE,NA,FALSE
EPHA4,3,1,3,FALSE,NA,FALSE
GALNTL6,3,1,3,FALSE,NA,FALSE
GRM8,3,2,3,FALSE,NA,FALSE
GULP1,3,2,3,FALSE,NA,FALSE
KCNQ5,3,3,3,FALSE,NA,FALSE
MALAT1,3,2,3,FALSE,NA,FALSE
MAP7,3,2,3,FALSE,NA,FALSE
MSC-AS1,3,1,3,FALSE,NA,FALSE
NR2F2-AS1,3,2,3,FALSE,NA,FALSE
OPCML,3,2,3,FALSE,NA,FALSE
PDE7B-AS1,3,1,3,FALSE,NA,FALSE
PENK,3,2,3,FALSE,NA,FALSE
POSTN,3,1,3,FALSE,NA,FALSE
PRICKLE2,3,1,3,TRUE,2,FALSE
ROBO1,3,2,3,FALSE,NA,FALSE
ROBO2,3,2,3,TRUE,2,FALSE
RPL10,3,3,3,TRUE,2,FALSE
RPL10A,3,2,3,FALSE,NA,FALSE
RPL13,3,2,3,FALSE,NA,FALSE
RPL13A,3,2,3,FALSE,NA,FALSE
RPL18,3,2,3,FALSE,NA,FALSE
RPL18A,3,2,3,FALSE,NA,FALSE
RPL26,3,2,3,FALSE,NA,FALSE
RPL27A,3,2,3,FALSE,NA,FALSE
RPL28,3,3,3,FALSE,NA,FALSE
RPL3,3,2,3,FALSE,NA,FALSE
RPL30,3,2,3,FALSE,NA,FALSE
RPL34,3,2,3,FALSE,NA,FALSE
RPL36A,3,2,3,FALSE,NA,FALSE
RPL39,3,2,3,FALSE,NA,FALSE
RPL6,3,2,3,FALSE,NA,FALSE
RPL7,3,2,3,FALSE,NA,FALSE
RPL9,3,2,3,FALSE,NA,FALSE
RPLP1,3,2,3,FALSE,NA,FALSE
