metab_class,group,std_residual,expected,observed,p_residual,FDR_residual
Pyrroles,Non-SFARI,3.845941926275358,84.8349687778769,98,1.2009020603531125e-4,0.004563427829341827
Pyrroles,SFARI,-3.845941926275358,15.165031222123105,2,1.2009020603531125e-4,0.004563427829341827
Glycerophospholipids,Non-SFARI,-3.6256248079167332,169.6699375557538,153,2.8826363023415303e-4,0.005477008974448907
Glycerophospholipids,SFARI,3.6256248079167332,30.33006244424621,47,2.8826363023415303e-4,0.005477008974448907
Steroids and steroid derivatives,Non-SFARI,3.15509951803898,64.47457627118644,74,0.0016044336791192397,0.020322826602177158
Steroids and steroid derivatives,SFARI,-3.1550995180389783,11.525423728813559,2,0.0016044336791192493,0.020322826602177158
Nucleoside and nucleotide analogues,Non-SFARI,-2.5733047711616583,10.180196253345228,7,0.01007324599410821,0.06928463434822073
Nucleoside and nucleotide analogues,SFARI,2.5733047711616583,1.8198037466547725,5,0.01007324599410821,0.06928463434822073
Carboxylic acids and derivatives,SFARI,2.571238383730093,43.52363960749331,57,0.01013355468808367,0.06928463434822073
Carboxylic acids and derivatives,Non-SFARI,-2.5712383837300905,243.47636039250668,230,0.010133554688083747,0.06928463434822073
Benzodioxoles,Non-SFARI,-2.490315924329287,2.545049063336307,1,0.012762958958882766,0.06928463434822073
Indoles and derivatives,Non-SFARI,-2.490315924329287,2.545049063336307,1,0.012762958958882766,0.06928463434822073
Benzodioxoles,SFARI,2.490315924329287,0.45495093666369313,2,0.012762958958882766,0.06928463434822073
Indoles and derivatives,SFARI,2.490315924329287,0.45495093666369313,2,0.012762958958882766,0.06928463434822073
Biotin and derivatives,Non-SFARI,-2.3662443650134666,0.848349687778769,0,0.017969579274956744,0.08535550155604453
Biotin and derivatives,SFARI,2.3662443650134666,0.15165031222123104,1,0.017969579274956744,0.08535550155604453
Keto acids and derivatives,Non-SFARI,1.7909216079600048,63.62622658340767,69,0.07330587566099254,0.30951369723530187
Keto acids and derivatives,SFARI,-1.7909216079600048,11.373773416592329,6,0.07330587566099254,0.30951369723530187
Organooxygen compounds,SFARI,-1.7321322433077324,4.24620874219447,1,0.08325001950960421,0.31635007413649635
