cell_type,stratum,n_tested,n_hit,rate
Astrocyte-Immature,Score 1,236,0,0
Astrocyte-Immature,Score 2,577,3,0.005199306759098787
Astrocyte-Immature,Score 3,213,1,0.004694835680751174
Astrocyte-Immature,Unscored,87,1,0.011494252873563218
EN-IT-Immature,Score 1,242,0,0
EN-IT-Immature,Score 2,656,1,0.001524390243902439
EN-IT-Immature,Score 3,229,0,0
EN-IT-Immature,Unscored,93,0,0
EN-L6-IT,Score 1,242,0,0
EN-L6-IT,Score 2,655,5,0.007633587786259542
EN-L6-IT,Score 3,226,1,0.004424778761061947
EN-L6-IT,Unscored,93,0,0
EN-L6b,Score 1,241,2,0.008298755186721992
EN-L6b,Score 2,650,9,0.013846153846153847
EN-L6b,Score 3,223,2,0.008968609865470852
EN-L6b,Unscored,92,1,0.010869565217391304
EN-Newborn,Score 1,241,2,0.008298755186721992
EN-Newborn,Score 2,647,4,0.0061823802163833074
EN-Newborn,Score 3,226,0,0
EN-Newborn,Unscored,93,0,0
EN-Non-IT-Immature,Score 1,242,0,0
EN-Non-IT-Immature,Score 2,633,3,0.004739336492890996
EN-Non-IT-Immature,Score 3,222,1,0.0045045045045045045
EN-Non-IT-Immature,Unscored,90,3,0.03333333333333333
IN-CGE-Immature,Score 1,235,7,0.029787234042553193
IN-CGE-Immature,Score 2,572,13,0.022727272727272728
IN-CGE-Immature,Score 3,216,3,0.013888888888888888
IN-CGE-Immature,Unscored,87,0,0
IN-MGE-Immature,Score 1,236,2,0.00847457627118644
IN-MGE-Immature,Score 2,578,9,0.015570934256055362
IN-MGE-Immature,Score 3,215,1,0.004651162790697674
IN-MGE-Immature,Unscored,84,0,0
IN-MGE-SST,Score 1,235,7,0.029787234042553193
IN-MGE-SST,Score 2,580,14,0.02413793103448276
IN-MGE-SST,Score 3,214,5,0.02336448598130841
IN-MGE-SST,Unscored,84,3,0.03571428571428571
OPC,Score 1,229,1,0.004366812227074236
OPC,Score 2,535,7,0.013084112149532711
OPC,Score 3,208,1,0.004807692307692308
OPC,Unscored,80,0,0
