gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,max_dfb,dfb_cut,stable
RPS6,8.974392266464298,7.68218745015793,5.606166127467713,3.024606243865026e-6,6.222168844773603e-4,3.792203774748299,,Amide-Neg-000032,Pyruvic Acid,IN-MGE-SST,10,0.05192158852490434,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives,map00020;map00250;map00270;map00330;map00520;map00620;map00910;R-HSA-1614558;R-HSA-1614635;R-HSA-196807;R-HSA-197264;R-HSA-204174;R-HSA-2408508;R-HSA-389661;R-HSA-4085001;R-HSA-427601;R-HSA-428643;R-HSA-433692;R-HSA-446219;R-HSA-5362517;R-HSA-5619070;R-HSA-6782315;R-HSA-6782861;R-HSA-70171;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-71240;R-HSA-73621;R-HSA-8956319;R-HSA-8963691;R-HSA-8964208;R-HSA-8964539;R-HSA-8964540;R-HSA-9749641;R-HSA-977347;R-HSA-9861559;R-HSA-9861718;WP106;WP1495;WP1584;WP1946;WP2333;WP2453;WP2456;WP2868;WP357;WP3580;WP3602;WP3644;WP3965;WP4141;WP4206;WP4236;WP4290;WP4297;WP4504;WP4595;WP4628;WP4629;WP4661;WP4688;WP4742;WP5030;WP5031;WP5046;WP5049;WP5050;WP5166;WP5178;WP5211;WP5213;WP5216;WP5220;WP528;WP5312;WP5314;WP534;WP5433;WP661,C00022,NA,high,0.4493284877763622,0.6324555320336759,TRUE
ZBTB20-AS2,-1.153625137598739,-0.20298446352650273,-6.2770428795363005,4.600676282065985e-6,0.1057419436670046,-2.5743957966423814,,Amide-Neg-000116,Malonic Acid,EN-L6b,19,0.06704577290086006,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,map00250;WP4686,C02028;C00383;C04025,NA,high,0.3935279014254137,0.4588314677411235,TRUE
ARL14EP-DT,-1.304098412480298,2.3380325161907165,-6.31734317543808,8.881163442418676e-6,0.009431795575848634,3.6632536773724516,,Amide-Neg-000118,3-Hydroxybutyric Acid,EN-IT-Immature,17,0.0994748257562884,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.47445118322652713,0.48507125007266594,TRUE
LSAMP,-0.4676074168638618,10.639402139679952,-6.578611211159194,3.651031161627771e-6,7.620172727716586e-4,4.0742369716800475,,Amide-Neg-000118,3-Hydroxybutyric Acid,EN-L6b,16,0.05836502085877482,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.327072625660797,0.5,TRUE
ENSG00000285741,-1.0400525634478175,1.6155434524915886,-6.4772086587865685,4.4574857604136436e-6,8.027069115325538e-4,4.391043600333381,,Amide-Neg-000118,3-Hydroxybutyric Acid,EN-L6b,16,0.06588178072361643,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.4729098378846179,0.5,TRUE
PARD3B,-1.2574275549243503,4.147141303573408,-6.464818934151268,3.503187109312304e-6,4.1392776190819243e-4,4.622156182069852,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.05695939267042527,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.5744073322141388,0.6324555320336759,TRUE
LINC03051,-0.7054552965058762,8.168945854867804,-6.856419716883193,1.5837430053205003e-6,2.2210885549382644e-4,5.15431768390175,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.034206557163377775,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.5038139182044895,0.6324555320336759,TRUE
ENSG00000239381,-0.9767482434563747,7.362051377608468,-7.693734570982469,3.1090581047922415e-7,6.66493227435891e-5,6.846847872117724,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.01143879200418618,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.5012127523008314,0.6324555320336759,TRUE
GABRG1,-1.4635825700986456,4.221560503286032,-7.634089097689467,3.48046852432394e-7,6.96372142346734e-5,6.834112896755121,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.012282796003000468,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.506342107070941,0.6324555320336759,TRUE
CCSER1,-0.5024186130036581,11.235902040207494,-8.280182597781929,1.0511840107891745e-7,2.8098655569381347e-5,7.689853053057312,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.005418012771752837,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.5953200767987212,0.6324555320336759,TRUE
SAMD3,-1.1793732774652652,4.911383729468044,-6.136839787654478,6.918628964983767e-6,6.3417038982272e-4,3.9164202406470086,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.08607690374710437,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.5832501113761152,0.6324555320336759,TRUE
NPY,-1.951227321062525,8.48583413166634,-9.97526899291153,5.838819988856041e-9,3.24508639825088e-6,10.727693646388762,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,6.922424958294693e-4,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.49166133176596,0.6324555320336759,TRUE
FOXP2,-1.657830530582094,4.3950730529895425,-7.619458691955002,3.5784148257710637e-7,6.979325487675661e-5,6.813546191616642,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.012481238265918402,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.250872710689572,0.6324555320336759,TRUE
ADRA1A,-1.7948254648441706,3.2740953133521526,-7.950587159630232,1.922805718209197e-7,4.382481750066228e-5,7.313210743363627,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.0082183023328263,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.5953717727027708,0.6324555320336759,TRUE
PENK,-2.0378495887925405,3.546017136222753,-8.751905617415622,4.5388091473510365e-8,1.5479402287534013e-5,8.626518232993437,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.0030818351854881142,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.45091047597928263,0.6324555320336759,TRUE
ZFHX4,-1.9381194676103888,2.958577112940897,-8.822630037177872,4.011557060624351e-8,1.4332720298030717e-5,8.651535633248606,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.00281897495255312,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.5882387281211091,0.6324555320336759,TRUE
MPDZ,-0.6905915773253176,6.973393395880464,-6.635317290483507,2.4731711973437013e-6,3.145119236215219e-4,4.811857950674032,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.045739966839329106,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.3969375173469197,0.6324555320336759,TRUE
FOCAD,-0.6856799718535044,7.171574616556439,-6.373452234026303,4.2284683761776346e-6,4.6656173862442345e-4,4.247859905213269,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.06367598944319051,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.5635158040054805,0.6324555320336759,TRUE
PCDH15,-1.1395569926121831,8.05083622175563,-9.621632410825399,1.0372559420949297e-8,5.188354222358838e-6,10.212757230972374,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.001052971743958576,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.49889528673936423,0.6324555320336759,TRUE
NAV2,0.5764459304556445,9.670768870169422,6.074051163965828,7.89391259879525e-6,7.009233873226126e-4,3.5533455985913296,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.09326254296625162,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.35120981362496273,0.6324555320336759,TRUE
ENSG00000287722,-1.4532970022642813,2.3465886810466254,-6.271809143653781,5.219808580064306e-6,5.328465819894215e-4,4.159947733387423,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.07262132742623446,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.45702920148749143,0.6324555320336759,TRUE
ANKRD34C-AS1,-1.7012588307612824,2.0536969908527736,-6.841143658571356,1.6329262300490071e-6,2.2474729186815721e-4,5.218524026427786,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.034892206366075644,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.2966862199434229,0.6324555320336759,TRUE
EPB41L3,-0.7437129487723668,6.158982772195354,-6.443854379294586,3.65739600978995e-6,4.199826905707286e-4,4.482740801772167,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,0.05839494822200703,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.5410975935441458,0.6324555320336759,TRUE
RIT2,-1.4800560427087572,6.845679702276022,-10.444286810614114,2.784328284496822e-9,2.321201679842184e-6,11.559380521058884,,Amide-Neg-000118,3-Hydroxybutyric Acid,IN-MGE-SST,10,4.078136045864424e-4,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,map00072;R-HSA-3296197;R-HSA-433692;R-HSA-5619070;R-HSA-74182;R-HSA-77108;R-HSA-77111;R-HSA-9749641;WP3602;WP4686;WP4742;WP5175;WP5195;WP661,NA,NA,high,0.5640865589724147,0.6324555320336759,TRUE
MLLT11,-3.600915389400806,6.52580349546828,-7.47753465708119,2.7565131745683196e-6,5.097648329382724e-4,4.980230679873431,,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.0490148428360452,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0.37452477356798475,0.6030226891555273,TRUE
TUBB2B,-4.131684816607803,8.407734559648087,-7.373131677889317,3.2382064210371768e-6,5.557280331527162e-4,4.840551669984658,,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.054325788946802074,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0.5794733556952223,0.6030226891555273,TRUE
HSP90AB1,-3.9779639762955736,7.2159756108791155,-8.668183273862493,4.832351218318175e-7,1.4008594369643444e-4,6.648324100551114,,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.0153377346706032,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0.5052705640889817,0.6030226891555273,TRUE
PPIA,-4.271070024866164,7.028294704867052,-8.520251856030828,5.944657591708436e-7,1.6136926480240157e-4,6.44493055692205,,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.017659916409117432,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0.5796324328396821,0.6030226891555273,TRUE
SRP14,-5.092069877501939,6.286133097455802,-8.777441764834798,4.15337952626337e-7,1.3499742060212397e-4,6.655365295128669,,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.013835537163748681,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0.436624203249301,0.6030226891555273,TRUE
EIF1,-4.509498771665685,6.457562925337854,-8.192868781724377,9.487448003158426e-7,2.1651567506782398e-4,5.954658742119858,,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.024367033463548935,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0.34799220130581554,0.6030226891555273,TRUE
CALM3,-5.177914209698516,6.05322416550876,-6.878731611550072,7.078528951699306e-6,9.63202362915619e-4,4.040684754417109,,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.08732064920999295,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0.5132113507262781,0.6030226891555273,TRUE
FTL,-4.435541506725493,6.428849619462778,-7.113168256315831,4.865664467772761e-6,7.402711642741933e-4,4.434742674381719,,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.06950483575112994,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0.48567397854494954,0.6030226891555273,TRUE
CNTN1,12.154770287967285,8.478935242221652,6.320545294756324,3.4241517828724236e-6,0.008984403586293427,2.7072160198559327,,Amide-Neg-000171,Glutaric Anhydride,IN-MGE-SST,13,0.056198118236595505,Organoheterocyclic compounds,Lactones,Delta valerolactones,NA,NA,NA,high,0.4893673241273226,0.5547001962252291,TRUE
ENSG00000261502,-0.7413275053463904,1.4693429527948028,-7.908631644452861,2.2221966152109938e-7,5.16579905886912e-4,6.852385378201669,,Amide-Neg-000149,2-Furoic Acid,EN-IT-Immature,19,0.009116451657371035,Organoheterocyclic compounds,Furans,Furoic acid and derivatives,NA,C01546,NA,high,0.3147206864233817,0.4588314677411235,TRUE
TMEM200C,-0.738589565588021,2.7095142449317837,-8.610484994733282,6.283365566018106e-8,2.0083992611081124e-4,8.269008199846775,,Amide-Neg-000149,2-Furoic Acid,EN-IT-Immature,19,0.003832046242039421,Organoheterocyclic compounds,Furans,Furoic acid and derivatives,NA,C01546,NA,high,0.38080713501479146,0.4588314677411235,TRUE
