gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_imputed,n_observed,too_few_observed,slope_full,p_full,slope_noimpute,p_noimpute,direction_same,sig_noimpute,imputation_sensitive,dfbetas_stable,imp_insensitive,max_dfb,dfb_cut,stable
RPS6,8.974392266464298,7.68218745015793,5.606166127467722,3.0246062438649487e-6,6.222168844773443e-4,3.7922037747483186,NA,Amide-Neg-000032,Pyruvic Acid,IN-MGE-SST,10,0.06094963991764112,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives,map00020;map00250;map00270;map00330;map00520;map00620;map00910;R-HSA-1614558;R-HSA-1614635;R-HSA-196807;R-HSA-197264;R-HSA-204174;R-HSA-2408508;R-HSA-389661;R-HSA-4085001;R-HSA-427601;R-HSA-428643;R-HSA-433692;R-HSA-446219;R-HSA-5362517;R-HSA-5619070;R-HSA-6782315;R-HSA-6782861;R-HSA-70171;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-71240;R-HSA-73621;R-HSA-8956319;R-HSA-8963691;R-HSA-8964208;R-HSA-8964539;R-HSA-8964540;R-HSA-9749641;R-HSA-977347;R-HSA-9861559;R-HSA-9861718;WP106;WP1495;WP1584;WP1946;WP2333;WP2453;WP2456;WP2868;WP357;WP3580;WP3602;WP3644;WP3965;WP4141;WP4206;WP4236;WP4290;WP4297;WP4504;WP4595;WP4628;WP4629;WP4661;WP4688;WP4742;WP5030;WP5031;WP5046;WP5049;WP5050;WP5166;WP5178;WP5211;WP5213;WP5216;WP5220;WP528;WP5312;WP5314;WP534;WP5433;WP661,C00022,NA,high,0,10,FALSE,6.711598611831781,0.00348614175530139,6.711598611831781,0.00348614175530139,TRUE,TRUE,FALSE,TRUE,TRUE,0.4493284877763622,0.6324555320336759,TRUE
CNTN1,12.154770287967285,8.478935242221652,6.320545294756321,3.4241517828724625e-6,0.00898440358629353,2.707216019855924,NA,Amide-Neg-000171,Glutaric Anhydride,IN-MGE-SST,13,0.06581921384087845,Organoheterocyclic compounds,Lactones,Delta valerolactones,NA,NA,NA,high,0,13,FALSE,8.469594050346862,5.850217354519314e-4,8.469594050346862,5.850217354519314e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.4893673241273226,0.5547001962252291,TRUE
MLLT11,-3.600915389400809,6.52580349546828,-7.477534657081173,2.756513174568376e-6,5.097648329382828e-4,4.98023067987341,NA,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.05756177752148765,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0,11,FALSE,-2.443127614079611,1.5365164574680147e-4,-2.443127614079611,1.5365164574680147e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.37452477356798475,0.6030226891555273,TRUE
TUBB2B,-4.131684816607803,8.407734559648087,-7.373131677889353,3.238206421036979e-6,5.557280331526823e-4,4.840551669984713,NA,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.06373701970950281,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0,11,FALSE,-2.7931547911051364,0.00124591918117506,-2.7931547911051364,0.00124591918117506,TRUE,TRUE,FALSE,TRUE,TRUE,0.5794733556952223,0.6030226891555273,TRUE
HSP90AB1,-3.977963976295576,7.2159756108791155,-8.668183273862493,4.832351218318163e-7,1.400859436964341e-4,6.6483241005511156,NA,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.0184544378266549,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0,11,FALSE,-2.707071610363812,6.436952175577231e-5,-2.707071610363812,6.436952175577231e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.5052705640889817,0.6030226891555273,TRUE
PPIA,-4.2710700248661615,7.028294704867052,-8.520251856030836,5.944657591708365e-7,1.6136926480240192e-4,6.4449305569220625,NA,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.02116671724672983,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0,11,FALSE,-2.8941291012427106,1.7257178039432457e-4,-2.8941291012427106,1.7257178039432457e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.5796324328396821,0.6030226891555273,TRUE
SRP14,-5.092069877501943,6.286133097455802,-8.777441764834808,4.1533795262632977e-7,1.349974206021216e-4,6.655365295128682,NA,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.01669524888474663,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0,11,FALSE,-3.4300453559673225,8.043065207073088e-5,-3.4300453559673225,8.043065207073088e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.436624203249301,0.6030226891555273,TRUE
EIF1,-4.509498771665685,6.457562925337854,-8.192868781724382,9.48744800315831e-7,2.1651567506782133e-4,5.954658742119866,NA,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.02889389583917623,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0,11,FALSE,-3.0358569630356707,2.260672843731515e-4,-3.0358569630356707,2.260672843731515e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.34799220130581554,0.6030226891555273,TRUE
FTL,-4.4355415067254915,6.428849619462778,-7.1131682563158325,4.865664467772738e-6,7.402711642741899e-4,4.434742674381724,NA,Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,EN-Non-IT-Immature,11,0.0809063101384271,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives,NA,C05942,NA,high,0,11,FALSE,-3.0073110035573736,6.185209037850636e-4,-3.0073110035573736,6.185209037850636e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.48567397854494954,0.6030226891555273,TRUE
CTNNA2,-2.821576662681942,9.38485366762467,-8.047420432082946,3.7395042865642947e-7,0.00454812786687257,6.845384926262664,NA,Amide-Neg-000219,N-Acetylglycine,Astrocyte-Immature,10,0.01554873263152652,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,0,10,FALSE,-2.0734256076254876,0.00432831750370554,-2.0734256076254876,0.00432831750370554,TRUE,TRUE,FALSE,TRUE,TRUE,0.46662105781001967,0.6324555320336759,TRUE
